Stock Name,Symbol,Sector,Industry,Market Cap(Rs. Cr.),Source_File
Grindwell Norton Ltd.,GRINDWELL,Abrasives,Abrasives,23957.59,sectors\abrasives.csv
Carborundum Universal Ltd.,CARBORUNIV,Abrasives,Abrasives,21943.36,sectors\abrasives.csv
Wendt (India) Ltd.,WENDT,Abrasives,Abrasives,1588.16,sectors\abrasives.csv
Tata Consumer Products Ltd.,TATACONSUM,Agriculture,Tea/Coffee,106985.49,sectors\agriculture.csv
CCL Products (India) Ltd.,CCL,Agriculture,Tea/Coffee,15164.1,sectors\agriculture.csv
E.I.D. - Parry (India) Ltd.,EIDPARRY,Agriculture,Sugar,13794.24,sectors\agriculture.csv
Balrampur Chini Mills Ltd.,BALRAMCHIN,Agriculture,Sugar,13214.58,sectors\agriculture.csv
Gujarat Ambuja Exports Ltd.,GAEL,Agriculture,Solvent  Extraction,7928.12,sectors\agriculture.csv
Triveni Engineering & Industries Ltd.,TRIVENI,Agriculture,Sugar,5866.06,sectors\agriculture.csv
Shree Renuka Sugars Ltd.,RENUKA,Agriculture,Sugar,4672.04,sectors\agriculture.csv
Bannari Amman Sugars Ltd.,BANARISUG,Agriculture,Sugar,4326.2,sectors\agriculture.csv
Bajaj Hindusthan Sugar Ltd.,BAJAJHIND,Agriculture,Sugar,4147.81,sectors\agriculture.csv
Kaveri Seed Company Ltd.,KSCL,Agriculture,Agriculture,4007.62,sectors\agriculture.csv
Dalmia Bharat Sugar And Industries Ltd.,DALMIASUG,Agriculture,Sugar,3420.49,sectors\agriculture.csv
Apcotex Industries Ltd.,APCOTEXIND,Agriculture,Rubber  Products,3103.18,sectors\agriculture.csv
Pix Transmissions Ltd.,PIXTRANS,Agriculture,Rubber  Products,2585.18,sectors\agriculture.csv
BN Agrochem Ltd.,BNAGROCHEM,Agriculture,Solvent  Extraction,2398.37,sectors\agriculture.csv
Venky'S (India) Ltd.,VENKEYS,Agriculture,Agriculture,2151.63,sectors\agriculture.csv
Tinna Rubber And Infrastructure Ltd.,TINNARUBR,Agriculture,Rubber  Products,1961.47,sectors\agriculture.csv
Apex Frozen Foods Ltd.,APEX,Agriculture,Aquaculture,1330.31,sectors\agriculture.csv
Avadh Sugar & Energy Ltd.,AVADHSUGAR,Agriculture,Sugar,1302.8,sectors\agriculture.csv
Andrew Yule & Company Ltd.,ANDREWYU,Agriculture,Tea/Coffee,1276.16,sectors\agriculture.csv
Godavari Biorefineries Ltd.,GODAVARIB,Agriculture,Sugar,1264.56,sectors\agriculture.csv
AVT Natural Products Ltd.,AVTNPL,Agriculture,Agriculture,1239.74,sectors\agriculture.csv
Shri Venkatesh Refineries Ltd.,SVRL,Agriculture,Solvent  Extraction,1218.55,sectors\agriculture.csv
M.V.K. Agro Food Product Ltd.,MVKAGRO,Agriculture,Sugar,1156.29,sectors\agriculture.csv
GRP Ltd.,GRPLTD,Agriculture,Rubber  Products,1074.67,sectors\agriculture.csv
Dhampur Sugar Mills Ltd.,DHAMPURSUG,Agriculture,Sugar,1032.44,sectors\agriculture.csv
Uttam Sugar Mills Ltd.,UTTAMSUGAR,Agriculture,Sugar,1010.28,sectors\agriculture.csv
Bombay Super Hybrid Seeds Ltd.,BSHSL,Agriculture,Agriculture,918.73,sectors\agriculture.csv
Regaal Resources Ltd.,REGAAL,Agriculture,Agriculture,888.53,sectors\agriculture.csv
Freshara Agro Exports Ltd.,FRESHARA,Agriculture,Agriculture,834.57,sectors\agriculture.csv
Dwarikesh Sugar Industries Ltd.,DWARKESH,Agriculture,Sugar,795.5,sectors\agriculture.csv
Dhampur Bio Organics Ltd.,DBOL,Agriculture,Sugar,795.46,sectors\agriculture.csv
Magadh Sugar & Energy Ltd.,MAGADSUGAR,Agriculture,Sugar,767.64,sectors\agriculture.csv
Zuari Industries Ltd.,ZUARIIND,Agriculture,Sugar,765.67,sectors\agriculture.csv
Sharat Industries Ltd.,SHINDL,Agriculture,Aquaculture,638.61,sectors\agriculture.csv
DCM Shriram Industries Ltd.,DCMSRIND,Agriculture,Sugar,551.83,sectors\agriculture.csv
The Ugar Sugar Works Ltd.,UGARSUGAR,Agriculture,Sugar,540.67,sectors\agriculture.csv
Mcleod Russel India Ltd.,MCLEODRUSS,Agriculture,Tea/Coffee,485.3,sectors\agriculture.csv
Mangalam Global Enterprise Ltd.,MGEL,Agriculture,Agriculture,476.87,sectors\agriculture.csv
Goodricke Group Ltd.,GOODRICKE,Agriculture,Tea/Coffee,466.34,sectors\agriculture.csv
Kotyark Industries Ltd.,KOTYARK,Agriculture,Agriculture,458.39,sectors\agriculture.csv
Mawana Sugars Ltd.,MAWANASUG,Agriculture,Sugar,453.56,sectors\agriculture.csv
Davangere Sugar Company Ltd.,DAVANGERE,Agriculture,Sugar,430.43,sectors\agriculture.csv
Sheetal Universal Ltd.,SHEETAL,Agriculture,Agriculture,382.68,sectors\agriculture.csv
Harrisons Malayalam Ltd.,HARRMALAYA,Agriculture,Rubber  Products,366.89,sectors\agriculture.csv
Rubfila International Ltd.,RUBFILA,Agriculture,Rubber  Products,363.1,sectors\agriculture.csv
SBEC Sugar Ltd.,SBECSUG,Agriculture,Sugar,341.68,sectors\agriculture.csv
K.C.P. Sugar And Industries Corporation Ltd.,KCPSUGIND,Agriculture,Sugar,337.32,sectors\agriculture.csv
Ponni Sugars (Erode) Ltd.,PONNIERODE,Agriculture,Sugar,296.65,sectors\agriculture.csv
Nath Bio-Genes (India) Ltd.,NATHBIOGEN,Agriculture,Agriculture,296.27,sectors\agriculture.csv
Elgi Rubber Company Ltd.,ELGIRUBCO,Agriculture,Rubber  Products,291.94,sectors\agriculture.csv
Gayatri Rubbers and Chemicals Ltd.,GRCL,Agriculture,Rubber  Products,289.77,sectors\agriculture.csv
Jay Shree Tea & Industries Ltd.,JAYSREETEA,Agriculture,Tea/Coffee,265.36,sectors\agriculture.csv
Indag Rubber Ltd.,INDAG,Agriculture,Rubber  Products,262.21,sectors\agriculture.csv
K.M. Sugar Mills Ltd.,KMSUGAR,Agriculture,Sugar,253.92,sectors\agriculture.csv
SC Agrotech Ltd.,SCAGRO,Agriculture,Agriculture,242.88,sectors\agriculture.csv
Horizon Reclaim (India) Ltd.,HORIZON,Agriculture,Rubber  Products,241.41,sectors\agriculture.csv
Kings Infra Ventures Ltd.,KINGSINFR,Agriculture,Aquaculture,237.95,sectors\agriculture.csv
