Rank,Sector_Name,Symbol,Market_Cap_Cr
,Nifty 50,NIFTY 50,
,Nifty Next 50,NIFTY NEXT 50,
,Nifty 100,NIFTY 100,
,Nifty Next 100,,
,Nifty 200,NIFTY 200,
,Nifty Total Market,NIFTY TOTAL MKT,
,Nifty 500,NIFTY 500,
,Nifty500 Multicap 50:25:25,NIFTY500 MULTICAP,
,Nifty500 LargeMidSmall Equal-Cap Weighted,NIFTY500 LMS EQL,
,Nifty Midcap150,NIFTY MIDCAP 150,
,Nifty Midcap 50,NIFTY MIDCAP 50,
,Nifty Midcap Select,NIFTY MID SELECT,
,Nifty Midcap 100,NIFTY MIDCAP 100,
,Nifty Smallcap 500,,
,Nifty Smallcap 250,NIFTY SMLCAP 250,
,Nifty Smallcap 50,NIFTY SMLCAP 50,
,Nifty Smallcap 100,NIFTY SMLCAP 100,
,Nifty Microcap 250,NIFTY MICROCAP250,
,Nifty LargeMidcap 250,NIFTY LARGEMID250,
,Nifty MidSmallcap 400,NIFTY MIDSML 400,
,Nifty MidSmallcap400 50:50,,
,Nifty India FPI 150,NIFTY FPI 150,
