Rank,Stock_Name,Symbol,Sector,Industry,Market_Cap
1,Reliance Industries Ltd.,RELIANCE,Crude Oil,Refineries,1770056
2,Bharti Airtel Ltd.,BHARTIARTL,Telecom,Telecommunication - Service  Provider,1243238
3,HDFC Bank Ltd.,HDFCBANK,Banking,Bank - Private,1120928
4,ICICI Bank Ltd.,ICICIBANK,Banking,Bank - Private,1017618
5,State Bank Of India,SBIN,Banking,Bank - Public,985830
6,Tata Consultancy Services Ltd.,TCS,Information Technology,IT - Software,853507
7,Bajaj Finance Ltd.,BAJFINANCE,Finance,Finance - NBFC,677197
8,Larsen & Toubro Ltd.,LT,Infrastructure,Engineering - Construction,558973
9,Life Insurance Corporation of India,LICI,Finance,Insurance,523330
10,Hindustan Unilever Ltd.,HINDUNILVR,Fast Moving Consumer Goods,Household & Personal Products,490888
11,Infosys Ltd.,INFY,Information Technology,IT - Software,474407
12,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,Healthcare,Pharmaceuticals & Drugs,461848
13,Titan Company Ltd.,TITAN,Diamond & Jewellery,Diamond  &  Jewellery,450907
14,Maruti Suzuki India Ltd.,MARUTI,Automobile & Ancillaries,Automobiles - Passenger Cars,435919
15,Mahindra & Mahindra Ltd.,M&M,Automobile & Ancillaries,Automobiles - Passenger Cars,427650
16,Adani Enterprises Ltd.,ADANIENT,Trading,Trading,411532
17,Adani Power Ltd.,ADANIPOWER,Power,Power Generation/Distribution,395818
18,Kotak Mahindra Bank Ltd.,KOTAKBANK,Banking,Bank - Private,390932
19,Adani Ports and Special Economic Zone Ltd.,ADANIPORTS,Logistics,Port,390521
20,Axis Bank Ltd.,AXISBANK,Banking,Bank - Private,378950
21,HCL Technologies Ltd.,HCLTECH,Information Technology,IT - Software,369058
22,ITC Ltd.,ITC,Fast Moving Consumer Goods,Cigarettes/Tobacco,347827
23,Ultratech Cement Ltd.,ULTRACEMCO,Construction Materials,Cement & Construction Materials,345217
24,Hindustan Aeronautics Ltd.,HAL,Capital Goods,Aerospace & Defense,335424
25,NTPC Ltd.,NTPC,Power,Power Generation/Distribution,330656
26,Bajaj Finserv Ltd.,BAJAJFINSV,Finance,Finance - Investment,325218
27,Bajaj Auto Ltd.,BAJAJ-AUTO,Automobile & Ancillaries,Automobile Two & Three Wheelers,321520
28,JSW Steel Ltd.,JSWSTEEL,Iron & Steel,Steel & Iron Products,309839
29,Eternal Ltd.,ETERNAL,Information Technology,e-Commerce,306881
30,Bharat Electronics Ltd.,BEL,Capital Goods,Aerospace & Defense,299993
31,Oil & Natural Gas Corporation Ltd.,ONGC,Crude Oil,Oil Exploration,297398
32,Nestle India Ltd.,NESTLEIND,Fast Moving Consumer Goods,Consumer Food,289286
33,Shriram Finance Ltd.,SHRIRAMFIN,Finance,Finance - NBFC,264499
34,Avenue Supermarts Ltd.,DMART,Retailing,Retailing,264427
35,Asian Paints Ltd.,ASIANPAINT,Chemicals,Paints,259943
36,Coal India Ltd.,COALINDIA,Mining,Mining & Minerals,251624
37,Power Grid Corporation Of India Ltd.,POWERGRID,Power,Power Generation/Distribution,247861
38,Hindustan Zinc Ltd.,HINDZINC,Non - Ferrous Metals,Metal - Non Ferrous,237421
39,Hindalco Industries Ltd.,HINDALCO,Non - Ferrous Metals,Metal - Non Ferrous,232431
40,Tata Steel Ltd.,TATASTEEL,Iron & Steel,Steel & Iron Products,228947
41,Divi's Laboratories Ltd.,DIVISLAB,Healthcare,Pharmaceuticals & Drugs,225648
42,Eicher Motors Ltd.,EICHERMOT,Automobile & Ancillaries,Automobile Two & Three Wheelers,223046
43,Adani Green Energy Ltd.,ADANIGREEN,Power,Power Generation/Distribution,221545
44,Grasim Industries Ltd.,GRASIM,Construction Materials,Cement & Construction Materials,221121
45,TVS Motor Company Ltd.,TVSMOTOR,Automobile & Ancillaries,Automobile Two & Three Wheelers,205513
46,Interglobe Aviation Ltd.,INDIGO,Aviation,Airlines,205513
47,Adani Energy Solutions Ltd.,ADANIENSOL,Power,Power Generation/Distribution,197752
48,Indian Oil Corporation Ltd.,IOC,Crude Oil,Refineries,196850
49,Torrent Pharmaceuticals Ltd.,TORNTPHARM,Healthcare,Pharmaceuticals & Drugs,184109
50,Wipro Ltd.,WIPRO,Information Technology,IT - Software,182040
51,SBI Life Insurance Company Ltd.,SBILIFE,Finance,Insurance,181289
52,Solar Industries India Ltd.,SOLARINDS,Chemicals,Chemicals,180799
53,Hyundai Motor India Ltd.,HYUNDAI,Automobile & Ancillaries,Automobiles - Passenger Cars,178759
54,Samvardhana Motherson International Ltd.,MOTHERSON,Automobile & Ancillaries,Auto Ancillary,177631
55,Tata Motors Ltd.,TMCV,Automobile & Ancillaries,Automobiles-Trucks/Lcv,174505
56,Pidilite Industries Ltd.,PIDILITIND,Chemicals,Chemicals,172007
57,JIO Financial Services Ltd.,JIOFIN,Finance,Finance - NBFC,165079
58,DLF Ltd.,DLF,Realty,Construction - Real Estate,164113
59,Cholamandalam Investment and Finance Company Ltd.,CHOLAFIN,Finance,Finance - NBFC,162700
60,ABB India Ltd.,ABB,Capital Goods,Electric Equipment,162004
61,Tech Mahindra Ltd.,TECHM,Information Technology,IT - Software,160214
62,Trent Ltd.,TRENT,Retailing,Retailing,159436
63,Hitachi Energy India Ltd.,POWERINDIA,Capital Goods,Electric Equipment,159034
64,Tata Capital Ltd.,TATACAP,Finance,Finance - NBFC,154641
65,ICICI Prudential Asset Management Company Ltd.,ICICIAMC,Finance,Finance - Asset Management,153270
66,Vodafone Idea Ltd.,IDEA,Telecom,Telecommunication - Service  Provider,152764
67,Cummins India Ltd.,CUMMINSIND,Automobile & Ancillaries,Diesel Engines,149800
68,Varun Beverages Ltd.,VBL,Fast Moving Consumer Goods,Consumer Food,147509
69,Bharat Heavy Electricals Ltd.,BHEL,Capital Goods,Engineering - Industrial Equipments,146978
70,Union Bank Of India,UNIONBANK,Banking,Bank - Public,142748
71,CG Power and Industrial Solutions Ltd.,CGPOWER,Capital Goods,Electric Equipment,140688
72,BSE Ltd.,BSE,Finance,Finance - Others,140598
73,LTM Ltd.,LTM,Information Technology,IT - Software,140302
74,Siemens Ltd.,SIEMENS,Capital Goods,Electric Equipment,139959
75,Polycab India Ltd.,POLYCAB,Electricals,Cable,139813
76,Bosch Ltd.,BOSCHLTD,Automobile & Ancillaries,Auto Ancillary,138812
77,Bharat Petroleum Corporation Ltd.,BPCL,Crude Oil,Refineries,138073
78,Punjab National Bank,PNB,Banking,Bank - Public,135042
79,Britannia Industries Ltd.,BRITANNIA,Fast Moving Consumer Goods,Consumer Food,133682
80,Bank Of Baroda,BANKBARODA,Banking,Bank - Public,128353
81,Apollo Hospitals Enterprise Ltd.,APOLLOHOSP,Healthcare,Hospital & Healthcare Services,128328
82,Bajaj Holdings & Investment Ltd.,BAJAJHLDNG,Finance,Finance - NBFC,126953
83,Siemens Energy India Ltd.,ENRIN,Capital Goods,Electric Equipment,126120
84,Power Finance Corporation Ltd.,PFC,Finance,Finance Term Lending,124430
85,Lodha Developers Ltd.,LODHA,Realty,Construction - Real Estate,123898
86,Tata Motors Passenger Vehicles Ltd.,TMPV,Automobile & Ancillaries,Automobiles - Passenger Cars,123082
87,Billionbrains Garage Ventures Ltd.,GROWW,Finance,Finance - Stock Broking,123057
88,Tata Power Company Ltd.,TATAPOWER,Power,Power Generation/Distribution,122445
89,Indian Bank,INDIANB,Banking,Bank - Public,121227
90,Canara Bank,CANBK,Banking,Bank - Public,118962
91,LG Electronics India Ltd.,LGEINDIA,Consumer Durables,Consumer Durables - Electronics,117557
92,Cipla Ltd.,CIPLA,Healthcare,Pharmaceuticals & Drugs,117139
93,HDFC Life Insurance Company Ltd.,HDFCLIFE,Finance,Insurance,116771
94,Hero MotoCorp Ltd.,HEROMOTOCO,Automobile & Ancillaries,Automobile Two & Three Wheelers,115982
95,Indian Railway Finance Corporation Ltd.,IRFC,Finance,Finance Term Lending,114480
96,GAIL (India) Ltd.,GAIL,Gas Transmission,Gas Transmission/Marketing,114440
97,Muthoot Finance Ltd.,MUTHOOTFIN,Finance,Finance - NBFC,114218
98,Zydus Lifesciences Ltd.,ZYDUSLIFE,Healthcare,Pharmaceuticals & Drugs,113715
99,Marico Ltd.,MARICO,Fast Moving Consumer Goods,Edible Oil,112440
100,Jindal Steel Ltd.,JINDALSTEL,Iron & Steel,Steel/Sponge Iron/Pig Iron,112210
