Rank,Sector_Name,Symbol,Market_Cap_Cr
,Nifty Auto,NIFTY AUTO,
,Nifty Bank,NIFTY BANK,
,Nifty Capital Goods,,
,Nifty Cement,,
,Nifty Chemicals,NIFTY CHEMICALS,
,Nifty Commercial & Transport Services,,
,Nifty Construction,,
,Nifty Consumer Durables,NIFTY CONSR DURBL,
,Nifty Consumer Services,,
,Nifty Financial Services,NIFTY FIN SERVICE,
,Nifty Financial Services 25/50,NIFTY FINSRV25 50,
,Nifty Financial Services Ex Bank,NIFTY FINSEREXBNK,
,Nifty FMCG,NIFTY FMCG,
,Nifty Healthcare,NIFTY HEALTHCARE,
,Nifty Hospitals,,
,Nifty Housing Finance,,
,Nifty Insurance,,
,Nifty IT,NIFTY IT,
,Nifty Media,NIFTY MEDIA,
,Nifty Metal,NIFTY METAL,
,Nifty NBFC,,
,Nifty Oil and Gas,NIFTY OIL AND GAS,
,Nifty Pharma,NIFTY PHARMA,
,Nifty Power,,
,Nifty Private Bank,NIFTY PVT BANK,
,Nifty PSU Bank,NIFTY PSU BANK,
,Nifty Realty,NIFTY REALTY,
,Nifty REITs & Realty,,
,Nifty Retail,,
,Nifty Telecommunications,,
,Nifty500 Healthcare,NIFTY500 HEALTH,
,Nifty MidSmall Financial Services,NIFTY MS FIN SERV,
,Nifty MidSmall Healthcare,NIFTY MIDSML HLTH,
,Nifty MidSmall IT & Telecom,NIFTY MS IT TELCM,
