Company Name,Industry,Symbol,Series,ISIN Code
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,EQ,INE742F01042
Awfis Space Solutions Ltd.,Services,AWFIS,EQ,INE108V01019
Blackbuck Ltd.,Services,BLACKBUCK,EQ,INE0UIZ01018
Blue Dart Express Ltd.,Services,BLUEDART,EQ,INE233B01017
CMS Info Systems Ltd.,Services,CMSINFO,EQ,INE925R01014
Container Corporation of India Ltd.,Services,CONCOR,EQ,INE111A01025
Delhivery Ltd.,Services,DELHIVERY,EQ,INE148O01028
Firstsource Solutions Ltd.,Services,FSL,EQ,INE684F01012
GMR Airports Ltd.,Services,GMRAIRPORT,EQ,INE776C01039
Great Eastern Shipping Co. Ltd.,Services,GESHIP,EQ,INE017A01032
Gujarat Pipavav Port Ltd.,Services,GPPL,EQ,INE517F01014
Hemisphere Properties India Ltd.,Services,HEMIPROP,EQ,INE0AJG01018
Inox Green Energy Services Ltd.,Services,INOXGREEN,EQ,INE510W01014
InterGlobe Aviation Ltd.,Services,INDIGO,EQ,INE646L01027
International Gemological Institute Ltd.,Services,IGIL,EQ,INE0Q9301021
JSW Infrastructure Ltd.,Services,JSWINFRA,EQ,INE880J01026
MMTC Ltd.,Services,MMTC,EQ,INE123F01029
MSTC Ltd.,Services,MSTCLTD,EQ,INE255X01014
NESCO Ltd.,Services,NESCO,EQ,INE317F01035
Quess Corp Ltd.,Services,QUESS,EQ,INE615P01015
Redington Ltd.,Services,REDINGTON,EQ,INE891D01026
Shipping Corporation of India Ltd.,Services,SCI,EQ,INE109A01011
Smartworks Coworking Spaces Ltd.,Services,SMARTWORKS,EQ,INE0NAZ01010
TVS Supply Chain Solutions Ltd.,Services,TVSSCS,EQ,INE395N01027
WeWork India Management Ltd.,Services,WEWORK,EQ,INE085001019
eClerx Services Ltd.,Services,ECLERX,EQ,INE738I01010
