Company Name,Industry,Symbol,Series,ISIN Code
Afcons Infrastructure Ltd.,Construction,AFCONS,EQ,INE101I01011
Ahluwalia Contracts (India) Ltd.,Construction,AHLUCONT,EQ,INE758C01029
Ashoka Buildcon Ltd.,Construction,ASHOKA,EQ,INE442H01029
Cemindia Projects Ltd.,Construction,CEMPRO,EQ,INE686A01026
Dilip Buildcon Ltd.,Construction,DBL,EQ,INE917M01012
Engineers India Ltd.,Construction,ENGINERSIN,EQ,INE510A01028
H.G. Infra Engineering Ltd.,Construction,HGINFRA,EQ,INE926X01010
Hindustan Construction Co. Ltd.,Construction,HCC,EQ,INE549A01026
IRB Infrastructure Developers Ltd.,Construction,IRB,EQ,INE821I01022
IRCON International Ltd.,Construction,IRCON,EQ,INE962Y01021
KNR Constructions Ltd.,Construction,KNRCON,EQ,INE634I01029
Kalpataru Projects International Ltd.,Construction,KPIL,EQ,INE220B01022
Kec International Ltd.,Construction,KEC,EQ,INE389H01022
Larsen & Toubro Ltd.,Construction,LT,EQ,INE018A01030
NBCC (India) Ltd.,Construction,NBCC,EQ,INE095N01031
NCC Ltd.,Construction,NCC,EQ,INE868B01028
PNC Infratech Ltd.,Construction,PNCINFRA,EQ,INE195J01029
Power Mech Projects Ltd.,Construction,POWERMECH,EQ,INE211R01019
RITES Ltd.,Construction,RITES,EQ,INE320J01015
Rail Vikas Nigam Ltd.,Construction,RVNL,EQ,INE415G01027
Sterling and Wilson Renewable Energy Ltd.,Construction,SWSOLAR,EQ,INE00M201021
Techno Electric & Engineering Company Ltd.,Construction,TECHNOE,EQ,INE285K01026
Welspun Enterprises Ltd.,Construction,WELENT,EQ,INE625G01013
