Company Name,Industry,Symbol,Series,ISIN Code
Canara HSBC Life Insurance Company Ltd.,Financial Services,CANHLIFE,EQ,INE01TY01017
General Insurance Corporation of India,Financial Services,GICRE,EQ,INE481Y01014
Go Digit General Insurance Ltd.,Financial Services,GODIGIT,EQ,INE03JT01014
HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE,EQ,INE795G01014
ICICI Lombard General Insurance Company Ltd.,Financial Services,ICICIGI,EQ,INE765G01017
ICICI Prudential Life Insurance Company Ltd.,Financial Services,ICICIPRULI,EQ,INE726G01019
Life Insurance Corporation of India,Financial Services,LICI,EQ,INE0J1Y01017
Max Financial Services Ltd.,Financial Services,MFSL,EQ,INE180A01020
Niva Bupa Health Insurance Company Ltd.,Financial Services,NIVABUPA,EQ,INE995S01015
SBI Life Insurance Company Ltd.,Financial Services,SBILIFE,EQ,INE123W01016
Star Health and Allied Insurance Company Ltd.,Financial Services,STARHEALTH,EQ,INE575P01011
The New India Assurance Company Ltd.,Financial Services,NIACL,EQ,INE470Y01017
