Company Name,Industry,Symbol,Series,ISIN Code
Authum Investment & Infrastructure Ltd.,Financial Services,AIIL,EQ,INE206F01022
Bajaj Finance Ltd.,Financial Services,BAJFINANCE,EQ,INE296A01032
Capri Global Capital Ltd.,Financial Services,CGCL,EQ,INE180C01042
Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN,EQ,INE121A01024
Fedbank Financial Services Ltd.,Financial Services,FEDFINA,EQ,INE007N01010
Five-Star Business Finance Ltd.,Financial Services,FIVESTAR,EQ,INE128S01021
HDB Financial Services Ltd.,Financial Services,HDBFS,EQ,INE756I01012
IIFL Finance Ltd.,Financial Services,IIFL,EQ,INE530B01024
L&T Finance Ltd.,Financial Services,LTF,EQ,INE498L01015
Mahindra & Mahindra Financial Services Ltd.,Financial Services,M&MFIN,EQ,INE774D01024
Manappuram Finance Ltd.,Financial Services,MANAPPURAM,EQ,INE522D01027
Muthoot Finance Ltd.,Financial Services,MUTHOOTFIN,EQ,INE414G01012
Piramal Finance Ltd.,Financial Services,PIRAMALFIN,EQ,INE202B01038
Poonawalla Fincorp Ltd.,Financial Services,POONAWALLA,EQ,INE511C01022
SBFC Finance Ltd.,Financial Services,SBFC,EQ,INE423Y01016
SBI Cards and Payment Services Ltd.,Financial Services,SBICARD,EQ,INE018E01016
Shriram Finance Ltd.,Financial Services,SHRIRAMFIN,EQ,INE721A01047
Sundaram Finance Ltd.,Financial Services,SUNDARMFIN,EQ,INE660A01013
Tata Capital Ltd.,Financial Services,TATACAP,EQ,INE976I01016
