Company Name,Industry,Symbol,Series,ISIN Code
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,EQ,INE397D01024
Bharti Hexacom Ltd.,Telecommunication,BHARTIHEXA,EQ,INE343G01021
HFCL Ltd.,Telecommunication,HFCL,EQ,INE548A01028
ITI Ltd.,Telecommunication,ITI,EQ,INE248A01017
Indus Towers Ltd.,Telecommunication,INDUSTOWER,EQ,INE121J01017
Optiemus Infracom Ltd.,Telecommunication,OPTIEMUS,EQ,INE350C01017
Railtel Corporation Of India Ltd.,Telecommunication,RAILTEL,EQ,INE0DD101019
Route Mobile Ltd.,Telecommunication,ROUTE,EQ,INE450U01017
Sterlite Technologies Ltd.,Telecommunication,STLTECH,BE,INE089C01029
Tata Communications Ltd.,Telecommunication,TATACOMM,EQ,INE151A01013
Tata Teleservices (Maharashtra) Ltd.,Telecommunication,TTML,EQ,INE517B01013
Tejas Networks Ltd.,Telecommunication,TEJASNET,EQ,INE010J01012
Vodafone Idea Ltd.,Telecommunication,IDEA,EQ,INE669E01016
