Rank,Stock_Name,Symbol,Sector,Industry,Market_Cap_Cr
1,Tata Consumer Products Ltd.,TATACONSUM,Agriculture,Tea/Coffee,106985.49
2,CCL Products (India) Ltd.,CCL,Agriculture,Tea/Coffee,15164.1
3,E.I.D. - Parry (India) Ltd.,EIDPARRY,Agriculture,Sugar,13794.24
4,Balrampur Chini Mills Ltd.,BALRAMCHIN,Agriculture,Sugar,13214.58
5,Gujarat Ambuja Exports Ltd.,GAEL,Agriculture,Solvent  Extraction,7928.12
6,Triveni Engineering & Industries Ltd.,TRIVENI,Agriculture,Sugar,5866.06
7,Shree Renuka Sugars Ltd.,RENUKA,Agriculture,Sugar,4672.04
8,Bannari Amman Sugars Ltd.,BANARISUG,Agriculture,Sugar,4326.2
9,Bajaj Hindusthan Sugar Ltd.,BAJAJHIND,Agriculture,Sugar,4147.81
10,Kaveri Seed Company Ltd.,KSCL,Agriculture,Agriculture,4007.62
11,Dalmia Bharat Sugar And Industries Ltd.,DALMIASUG,Agriculture,Sugar,3420.49
12,Apcotex Industries Ltd.,APCOTEXIND,Agriculture,Rubber  Products,3103.18
13,Pix Transmissions Ltd.,PIXTRANS,Agriculture,Rubber  Products,2585.18
14,BN Agrochem Ltd.,BNAGROCHEM,Agriculture,Solvent  Extraction,2398.37
15,Venky'S (India) Ltd.,VENKEYS,Agriculture,Agriculture,2151.63
16,Tinna Rubber And Infrastructure Ltd.,TINNARUBR,Agriculture,Rubber  Products,1961.47
17,Apex Frozen Foods Ltd.,APEX,Agriculture,Aquaculture,1330.31
18,Avadh Sugar & Energy Ltd.,AVADHSUGAR,Agriculture,Sugar,1302.8
19,Andrew Yule & Company Ltd.,ANDREWYU,Agriculture,Tea/Coffee,1276.16
20,Godavari Biorefineries Ltd.,GODAVARIB,Agriculture,Sugar,1264.56
21,AVT Natural Products Ltd.,AVTNPL,Agriculture,Agriculture,1239.74
22,Shri Venkatesh Refineries Ltd.,SVRL,Agriculture,Solvent  Extraction,1218.55
23,M.V.K. Agro Food Product Ltd.,MVKAGRO,Agriculture,Sugar,1156.29
24,GRP Ltd.,GRPLTD,Agriculture,Rubber  Products,1074.67
25,Dhampur Sugar Mills Ltd.,DHAMPURSUG,Agriculture,Sugar,1032.44
26,Uttam Sugar Mills Ltd.,UTTAMSUGAR,Agriculture,Sugar,1010.28
27,Bombay Super Hybrid Seeds Ltd.,BSHSL,Agriculture,Agriculture,918.73
28,Regaal Resources Ltd.,REGAAL,Agriculture,Agriculture,888.53
29,Freshara Agro Exports Ltd.,FRESHARA,Agriculture,Agriculture,834.57
30,Dwarikesh Sugar Industries Ltd.,DWARKESH,Agriculture,Sugar,795.5
31,Dhampur Bio Organics Ltd.,DBOL,Agriculture,Sugar,795.46
32,Magadh Sugar & Energy Ltd.,MAGADSUGAR,Agriculture,Sugar,767.64
33,Zuari Industries Ltd.,ZUARIIND,Agriculture,Sugar,765.67
34,Sharat Industries Ltd.,SHINDL,Agriculture,Aquaculture,638.61
35,DCM Shriram Industries Ltd.,DCMSRIND,Agriculture,Sugar,551.83
36,The Ugar Sugar Works Ltd.,UGARSUGAR,Agriculture,Sugar,540.67
37,Mcleod Russel India Ltd.,MCLEODRUSS,Agriculture,Tea/Coffee,485.3
38,Mangalam Global Enterprise Ltd.,MGEL,Agriculture,Agriculture,476.87
39,Goodricke Group Ltd.,GOODRICKE,Agriculture,Tea/Coffee,466.34
40,Kotyark Industries Ltd.,KOTYARK,Agriculture,Agriculture,458.39
41,Mawana Sugars Ltd.,MAWANASUG,Agriculture,Sugar,453.56
42,Davangere Sugar Company Ltd.,DAVANGERE,Agriculture,Sugar,430.43
43,Sheetal Universal Ltd.,SHEETAL,Agriculture,Agriculture,382.68
44,Harrisons Malayalam Ltd.,HARRMALAYA,Agriculture,Rubber  Products,366.89
45,Rubfila International Ltd.,RUBFILA,Agriculture,Rubber  Products,363.1
46,SBEC Sugar Ltd.,SBECSUG,Agriculture,Sugar,341.68
47,K.C.P. Sugar And Industries Corporation Ltd.,KCPSUGIND,Agriculture,Sugar,337.32
48,Ponni Sugars (Erode) Ltd.,PONNIERODE,Agriculture,Sugar,296.65
49,Nath Bio-Genes (India) Ltd.,NATHBIOGEN,Agriculture,Agriculture,296.27
