Rank,Stock_Name,Symbol,Sector,Industry,Market_Cap_Cr
1,United Spirits Ltd.,UNITDSPR,Alcohol,Breweries & Distilleries,110557.33
2,Radico Khaitan Ltd.,RADICO,Alcohol,Breweries & Distilleries,62368.81
3,United Breweries Ltd.,UBL,Alcohol,Breweries & Distilleries,36384.79
4,Allied Blenders And Distillers Ltd.,ABDL,Alcohol,Breweries & Distilleries,16779.81
5,Tilaknagar Industries Ltd.,TI,Alcohol,Breweries & Distilleries,14070.13
6,India Glycols Ltd.,INDIAGLYCO,Alcohol,Breweries & Distilleries,7093.78
7,Piccadily Agro Industries Ltd.,PICCADIL,Alcohol,Breweries & Distilleries,6329.32
8,TruAlt Bioenergy Ltd.,TRUALT,Alcohol,Breweries & Distilleries,4128.13
9,Globus Spirits Ltd.,GLOBUSSPR,Alcohol,Breweries & Distilleries,2739.49
10,GM Breweries Ltd.,GMBREW,Alcohol,Breweries & Distilleries,2039.77
11,Som Distilleries And Breweries Ltd.,SDBL,Alcohol,Breweries & Distilleries,1546.99
12,Associated Alcohols & Breweries Ltd.,ASALCBR,Alcohol,Breweries & Distilleries,1436.57
13,Sula Vineyards Ltd.,SULA,Alcohol,Breweries & Distilleries,1266.29
14,Gulshan Polyols Ltd.,GULPOLY,Alcohol,Breweries & Distilleries,1175.06
15,IFB Agro Industries Ltd.,IFBAGRO,Alcohol,Breweries & Distilleries,960.88
16,Jagatjit Industries Ltd.,JAGAJITIND,Alcohol,Breweries & Distilleries,805.83
17,Cupid Breweries And Distilleries Ltd.,CUPIDALBV,Alcohol,Breweries & Distilleries,251.56
18,Shri Gang Industries & Allied Products Ltd.,SHRIGANG,Alcohol,Breweries & Distilleries,135.95
19,Kati Patang Lifestyle Ltd.,KATIPATANG,Alcohol,Breweries & Distilleries,85.48
20,Alcokraft Distilleries Ltd.,ALCODIS,Alcohol,Breweries & Distilleries,62.58
21,Tahmar Enterprises Ltd.,TAHMARENT,Alcohol,Breweries & Distilleries,62.32
22,Winsome Breweries Ltd.,WINSOMBR,Alcohol,Breweries & Distilleries,58.16
23,Ravi Kumar Distilleries Ltd.,RKDL,Alcohol,Breweries & Distilleries,43.97
24,Silver Oak (India) Ltd.,SILVOAK,Alcohol,Breweries & Distilleries,29.03
