Rank,Stock_Name,Symbol,Sector,Industry,Market_Cap_Cr
1,Maruti Suzuki India Ltd.,MARUTI,Automobile & Ancillaries,Automobiles - Passenger Cars,435919.17
2,Mahindra & Mahindra Ltd.,M&M,Automobile & Ancillaries,Automobiles - Passenger Cars,427649.56
3,Bajaj Auto Ltd.,BAJAJ-AUTO,Automobile & Ancillaries,Automobile Two & Three Wheelers,321520.49
4,Eicher Motors Ltd.,EICHERMOT,Automobile & Ancillaries,Automobile Two & Three Wheelers,223046.14
5,TVS Motor Company Ltd.,TVSMOTOR,Automobile & Ancillaries,Automobile Two & Three Wheelers,205513.18
6,Hyundai Motor India Ltd.,HYUNDAI,Automobile & Ancillaries,Automobiles - Passenger Cars,178759.04
7,Samvardhana Motherson International Ltd.,MOTHERSON,Automobile & Ancillaries,Auto Ancillary,177631.27
8,Tata Motors Ltd.,TMCV,Automobile & Ancillaries,Automobiles-Trucks/Lcv,174504.75
9,Cummins India Ltd.,CUMMINSIND,Automobile & Ancillaries,Diesel Engines,149800.27
10,Bosch Ltd.,BOSCHLTD,Automobile & Ancillaries,Auto Ancillary,138811.6
11,Tata Motors Passenger Vehicles Ltd.,TMPV,Automobile & Ancillaries,Automobiles - Passenger Cars,123082.24
12,Hero MotoCorp Ltd.,HEROMOTOCO,Automobile & Ancillaries,Automobile Two & Three Wheelers,115981.83
13,Ashok Leyland Ltd.,ASHOKLEY,Automobile & Ancillaries,Automobiles-Trucks/Lcv,100971.56
14,Bharat Forge Ltd.,BHARATFORG,Automobile & Ancillaries,Forgings,99203.39
15,UNO Minda Ltd.,UNOMINDA,Automobile & Ancillaries,Auto Ancillary,71605.93
16,Schaeffler India Ltd.,SCHAEFFLER,Automobile & Ancillaries,Bearings,63211.55
17,Ather Energy Ltd.,ATHERENERG,Automobile & Ancillaries,Automobile Two & Three Wheelers,59609.89
18,MRF Ltd.,MRF,Automobile & Ancillaries,Tyres & Allied,56579.56
19,Tube Investments of India Ltd.,TIINDIA,Automobile & Ancillaries,Auto Ancillary,53077.53
20,Sona BLW Precision Forgings Ltd.,SONACOMS,Automobile & Ancillaries,Auto Ancillary,49412.14
21,Balkrishna Industries Ltd.,BALKRISIND,Automobile & Ancillaries,Tyres & Allied,45739.81
22,AIA Engineering Ltd.,AIAENG,Automobile & Ancillaries,Castings/Forgings,41912.04
23,Endurance Technologies Ltd.,ENDURANCE,Automobile & Ancillaries,Auto Ancillary,40757.06
24,Exide Industries Ltd.,EXIDEIND,Automobile & Ancillaries,Batteries,40426.0
25,Escorts Kubota Ltd.,ESCORTS,Automobile & Ancillaries,Automobiles-Tractors,34806.85
26,ZF Commercial Vehicle Control Systems India Ltd.,ZFCVINDIA,Automobile & Ancillaries,Auto Ancillary,29942.8
27,PTC Industries Ltd.,PTCIL,Automobile & Ancillaries,Castings/Forgings,28559.91
28,Apollo Tyres Ltd.,APOLLOTYRE,Automobile & Ancillaries,Tyres & Allied,28198.48
29,Craftsman Automation Ltd.,CRAFTSMAN,Automobile & Ancillaries,Auto Ancillary,26803.46
30,Motherson Sumi Wiring India Ltd.,MSUMI,Automobile & Ancillaries,Auto Ancillary,26758.76
31,Gabriel India Ltd.,GABRIEL,Automobile & Ancillaries,Auto Ancillary,25897.74
32,Sundram Fasteners Ltd.,SUNDRMFAST,Automobile & Ancillaries,Auto Ancillary,25578.93
33,Belrise Industries Ltd.,BELRISE,Automobile & Ancillaries,Auto Ancillary,24701.06
34,Timken India Ltd.,TIMKEN,Automobile & Ancillaries,Bearings,24616.46
35,Sansera Engineering Ltd.,SANSERA,Automobile & Ancillaries,Auto Ancillary,24481.23
36,Force Motors Ltd.,FORCEMOT,Automobile & Ancillaries,Automobiles-Trucks/Lcv,24205.39
37,Tenneco Clean Air India Ltd.,TENNIND,Automobile & Ancillaries,Auto Ancillary,21748.22
