Rank,Stock_Name,Symbol,Sector,Industry,Market_Cap_Cr
1,HDFC Bank Ltd.,HDFCBANK,Banking,Bank - Private,1120927.88
2,ICICI Bank Ltd.,ICICIBANK,Banking,Bank - Private,1017618.24
3,State Bank Of India,SBIN,Banking,Bank - Public,985829.96
4,Kotak Mahindra Bank Ltd.,KOTAKBANK,Banking,Bank - Private,390931.67
5,Axis Bank Ltd.,AXISBANK,Banking,Bank - Private,378950.11
6,Union Bank Of India,UNIONBANK,Banking,Bank - Public,142748.42
7,Punjab National Bank,PNB,Banking,Bank - Public,135042.08
8,Bank Of Baroda,BANKBARODA,Banking,Bank - Public,128353.21
9,Indian Bank,INDIANB,Banking,Bank - Public,121226.76
10,Canara Bank,CANBK,Banking,Bank - Public,118961.59
11,IDBI Bank Ltd.,IDBI,Banking,Bank - Private,88599.79
12,The Federal Bank Ltd.,FEDERALBNK,Banking,Bank - Private,87249.89
13,AU Small Finance Bank Ltd.,AUBANK,Banking,Bank - Private,81569.98
14,IndusInd Bank Ltd.,INDUSINDBK,Banking,Bank - Private,80407.3
15,IDFC First Bank Ltd.,IDFCFIRSTB,Banking,Bank - Private,73797.64
16,Yes Bank Ltd.,YESBANK,Banking,Bank - Private,71250.28
17,Bank Of India,BANKINDIA,Banking,Bank - Public,65490.13
18,Indian Overseas Bank,IOB,Banking,Bank - Public,64682.89
19,Bank Of Maharashtra,MAHABANK,Banking,Bank - Public,61709.35
20,RBL Bank Ltd.,RBLBANK,Banking,Bank - Private,59756.67
21,UCO Bank,UCOBANK,Banking,Bank - Public,32590.31
22,Karur Vysya Bank Ltd.,KARURVYSYA,Banking,Bank - Private,32061.05
23,Central Bank Of India,CENTRALBK,Banking,Bank - Public,28412.35
24,Bandhan Bank Ltd.,BANDHANBNK,Banking,Bank - Private,28146.12
25,City Union Bank Ltd.,CUB,Banking,Bank - Private,20677.73
26,The Jammu & Kashmir Bank Ltd.,J&KBANK,Banking,Bank - Private,17145.41
27,Punjab & Sind Bank,PSB,Banking,Bank - Public,16738.49
28,Ujjivan Small Finance Bank Ltd.,UJJIVANSFB,Banking,Bank - Private,14113.28
29,Tamilnad Mercantile Bank Ltd.,TMB,Banking,Bank - Private,13435.33
30,The South Indian Bank Ltd.,SOUTHBANK,Banking,Bank - Private,11986.06
31,The Karnataka Bank Ltd.,KTKBANK,Banking,Bank - Private,11710.06
32,Equitas Small Finance Bank Ltd.,EQUITASBNK,Banking,Bank - Private,8520.01
33,Jana Small Finance Bank Ltd.,JSFB,Banking,Bank - Private,6102.45
34,DCB Bank Ltd.,DCBBANK,Banking,Bank - Private,5865.01
35,CSB Bank Ltd.,CSBBANK,Banking,Bank - Private,5549.81
36,Utkarsh Small Finance Bank Ltd.,UTKARSHBNK,Banking,Bank - Private,2494.89
37,ESAF Small Finance Bank Ltd.,ESAFSFB,Banking,Bank - Private,2020.21
38,Suryoday Small Finance Bank Ltd.,SURYODAY,Banking,Bank - Private,1619.43
39,Capital Small Finance Bank Ltd.,CAPITALSFB,Banking,Bank - Private,1297.12
40,Dhanlaxmi Bank Ltd.,DHANBANK,Banking,Bank - Private,1276.46
41,Fino Payments Bank Ltd.,FINOPB,Banking,Bank - Private,1248.28
42,Dhanlaxmi Bank Ltd. - (Rights Entitlements (REs)),DHAN-RE,Banking,Bank - Private,0.0
43,Utkarsh Small Finance Bank Ltd. - (Rights Entitlements (REs)),UTKAR-RE,Banking,Bank - Private,0.0
