Rank,Stock_Name,Symbol,Sector,Industry,Market_Cap_Cr
1,Asian Paints Ltd.,ASIANPAINT,Chemicals,Paints,259942.6
2,Solar Industries India Ltd.,SOLARINDS,Chemicals,Chemicals,180799.13
3,Pidilite Industries Ltd.,PIDILITIND,Chemicals,Chemicals,172006.57
4,SRF Ltd.,SRF,Chemicals,Chemicals,77340.2
5,Berger Paints India Ltd.,BERGEPAINT,Chemicals,Paints,63628.77
6,Coromandel International Ltd.,COROMANDEL,Chemicals,Fertilizers,61704.16
7,The Fertilisers And Chemicals Travancore Ltd.,FACT,Chemicals,Fertilizers,52341.65
8,Gujarat Fluorochemicals Ltd.,FLUOROCHEM,Chemicals,Chemicals,52060.11
9,UPL Ltd.,UPL,Chemicals,Pesticides & Agrochemicals,47678.68
10,Navin Fluorine International Ltd.,NAVINFLUOR,Chemicals,Chemicals,42237.36
11,Godrej Industries Ltd.,GODREJIND,Chemicals,Chemicals,42118.17
12,Himadri Speciality Chemical Ltd.,HSCL,Chemicals,Carbon Black,39409.77
13,PI Industries Ltd.,PIIND,Chemicals,Pesticides & Agrochemicals,37929.53
14,Sumitomo Chemical India Ltd.,SUMICHEM,Chemicals,Pesticides & Agrochemicals,28184.26
15,Deepak Nitrite Ltd.,DEEPAKNTR,Chemicals,Chemicals,23503.25
16,Aether Industries Ltd.,AETHER,Chemicals,Chemicals,21617.38
17,Atul Ltd.,ATUL,Chemicals,Chemicals,19824.31
18,Aarti Industries Ltd.,AARTIIND,Chemicals,Chemicals,19358.72
19,Deepak Fertilisers And Petrochemicals Corporation Ltd.,DEEPAKFERT,Chemicals,Chemicals,18969.67
20,Bayer CropScience Ltd.,BAYERCROP,Chemicals,Pesticides & Agrochemicals,18193.23
21,Chambal Fertilisers and Chemicals Ltd.,CHAMBLFERT,Chemicals,Fertilizers,17742.89
22,BASF India Ltd.,BASF,Chemicals,Chemicals,17677.21
23,Tata Chemicals Ltd.,TATACHEM,Chemicals,Chemicals,17078.86
24,Kansai Nerolac Paints Ltd.,KANSAINER,Chemicals,Paints,16551.66
25,Fine Organic Industries Ltd.,FINEORG,Chemicals,Chemicals,15795.1
26,Paradeep Phosphates Ltd.,PARADEEP,Chemicals,Fertilizers,15349.35
27,JSW Dulux Ltd.,JSWDULUX,Chemicals,Paints,14430.36
28,Vinati Organics Ltd.,VINATIORGA,Chemicals,Chemicals,13837.29
29,Anupam Rasayan India Ltd.,ANURAS,Chemicals,Chemicals,13763.88
30,Privi Speciality Chemicals Ltd.,PRIVISCL,Chemicals,Chemicals,13607.69
31,PCBL Chemical Ltd.,PCBL,Chemicals,Carbon Black,12193.41
32,Jubilant Ingrevia Ltd.,JUBLINGREA,Chemicals,Chemicals,11754.95
33,Alkyl Amines Chemicals Ltd.,ALKYLAMINE,Chemicals,Chemicals,9792.19
34,Elantas Beck India Ltd.,ELANTAS,Chemicals,Chemicals,9354.51
35,Sudarshan Chemical Industries Ltd.,SUDARSCHEM,Chemicals,Dyes & Pigments,8888.19
36,Clean Science And Technology Ltd.,CLEAN,Chemicals,Chemicals,8728.45
37,Gujarat Narmada Valley Fertilizers & Chemicals Ltd,GNFC,Chemicals,Chemicals,8352.84
38,Tanfac Industries Ltd.,TANFACIND,Chemicals,Chemicals,7517.61
39,Madhya Bharat Agro Products Ltd.,MBAPL,Chemicals,Fertilizers,7380.82
40,Sharda Cropchem Ltd.,SHARDACROP,Chemicals,Pesticides & Agrochemicals,7102.61
41,Balaji Amines Ltd.,BALAMINES,Chemicals,Chemicals,6899.95
42,Rashtriya Chemicals and Fertilizers Ltd.,RCF,Chemicals,Fertilizers,6846.45
43,Gujarat State Fertilizers & Chemicals Ltd.,GSFC,Chemicals,Fertilizers,6387.59
44,Archean Chemical Industries Ltd.,ACI,Chemicals,Chemicals,6226.62
45,Neogen Chemicals Ltd.,NEOGEN,Chemicals,Chemicals,6038.48
46,Krishana Phoschem Ltd.,KRISHANA,Chemicals,Fertilizers,5894.64
47,Indigo Paints Ltd.,INDIGOPNTS,Chemicals,Paints,5489.73
48,Gujarat Alkalies And Chemicals Ltd.,GUJALKALI,Chemicals,Chemicals,5128.1
49,Yasho Industries Ltd.,YASHO,Chemicals,Chemicals,5120.11
50,Fineotex Chemical Ltd.,FCL,Chemicals,Chemicals,5045.78
51,Laxmi Organic Industries Ltd.,LXCHEM,Chemicals,Chemicals,4895.47
52,Epigral Ltd.,EPIGRAL,Chemicals,Chemicals,4738.43
53,Dhanuka Agritech Ltd.,DHANUKA,Chemicals,Pesticides & Agrochemicals,4497.73
54,Foseco India Ltd.,FOSECOIND,Chemicals,Chemicals,4290.43
55,Rallis India Ltd.,RALLIS,Chemicals,Pesticides & Agrochemicals,4138.3
56,Vishnu Chemicals Ltd.,VISHNU,Chemicals,Chemicals,4087.72
57,Tatva Chintan Pharma Chem Ltd.,TATVA,Chemicals,Chemicals,4021.45
58,GHCL Ltd.,GHCL,Chemicals,Chemicals,3948.72
59,NACL Industries Ltd.,NACLIND,Chemicals,Pesticides & Agrochemicals,3911.86
