Rank,Stock_Name,Symbol,Sector,Industry,Market_Cap_Cr
1,Ultratech Cement Ltd.,ULTRACEMCO,Construction Materials,Cement & Construction Materials,345216.65
2,Grasim Industries Ltd.,GRASIM,Construction Materials,Cement & Construction Materials,221120.63
3,Ambuja Cements Ltd.,AMBUJACEM,Construction Materials,Cement & Construction Materials,103741.12
4,Shree Cement Ltd.,SHREECEM,Construction Materials,Cement & Construction Materials,89179.88
5,JK Cement Ltd.,JKCEMENT,Construction Materials,Cement & Construction Materials,40985.4
6,Dalmia Bharat Ltd.,DALBHARAT,Construction Materials,Cement & Construction Materials,34555.28
7,ACC Ltd.,ACC,Construction Materials,Cement & Construction Materials,24802.0
8,Asahi India Glass Ltd.,ASAHIINDIA,Construction Materials,Glass,23935.11
9,The Ramco Cements Ltd.,RAMCOCEM,Construction Materials,Cement & Construction Materials,21428.17
10,Kajaria Ceramics Ltd.,KAJARIACER,Construction Materials,Ceramics/Marble/Granite/Sanitaryware,19688.45
11,JSW Cement Ltd.,JSWCEMENT,Construction Materials,Cement & Construction Materials,17730.56
12,Century Plyboards (India) Ltd.,CENTURYPLY,Construction Materials,Wood & Wood Products,16809.61
13,Nuvoco Vistas Corporation Ltd.,NUVOCO,Construction Materials,Cement & Construction Materials,11834.37
14,The India Cements Ltd.,INDIACEM,Construction Materials,Cement & Construction Materials,11627.34
15,Borosil Renewables Ltd.,BORORENEW,Construction Materials,Glass,8486.61
16,Star Cement Ltd.,STARCEMENT,Construction Materials,Cement & Construction Materials,8077.55
17,Cera Sanitaryware Ltd.,CERA,Construction Materials,Ceramics/Marble/Granite/Sanitaryware,7605.55
18,Birla Corporation Ltd.,BIRLACORPN,Construction Materials,Cement & Construction Materials,6973.22
19,JK Lakshmi Cement Ltd.,JKLAKSHMI,Construction Materials,Cement & Construction Materials,6814.91
20,Greenlam Industries Ltd.,GREENLAM,Construction Materials,Laminates/Decoratives,6413.14
21,Stylam Industries Ltd.,STYLAMIND,Construction Materials,Laminates/Decoratives,6175.11
22,Prism Johnson Ltd.,PRSMJOHNSN,Construction Materials,Cement & Construction Materials,5290.28
23,Midwest Energy Ltd.,REMAGNET,Construction Materials,Ceramics/Marble/Granite/Sanitaryware,4456.14
24,Midwest Ltd.,MIDWESTLTD,Construction Materials,Ceramics/Marble/Granite/Sanitaryware,4084.91
25,Heidelberg Cement India Ltd.,HEIDELBERG,Construction Materials,Cement & Construction Materials,3589.55
26,Greenply Industries Ltd.,GREENPLY,Construction Materials,Wood & Wood Products,3503.5
27,Ramco Industries Ltd.,RAMCOIND,Construction Materials,Cement & Construction Materials,3105.89
28,Pokarna Ltd.,POKARNA,Construction Materials,Ceramics/Marble/Granite/Sanitaryware,2945.07
29,Euro Pratik Sales Ltd.,EUROPRATIK,Construction Materials,Laminates/Decoratives,2905.03
30,Orient Cement Ltd.,ORIENTCEM,Construction Materials,Cement & Construction Materials,2721.32
31,Mangalam Cement Ltd.,MANGLMCEM,Construction Materials,Cement & Construction Materials,2461.15
32,Nitco Ltd.,NITCO,Construction Materials,Ceramics/Marble/Granite/Sanitaryware,2359.06
33,Sagar Cements Ltd.,SAGCEM,Construction Materials,Cement & Construction Materials,2287.38
34,Somany Ceramics Ltd.,SOMANYCERA,Construction Materials,Ceramics/Marble/Granite/Sanitaryware,2147.23
35,Greenpanel Industries Ltd.,GREENPANEL,Construction Materials,Wood & Wood Products,2140.46
36,La Opala RG Ltd.,LAOPALA,Construction Materials,Glass,2132.86
37,KCP Ltd.,KCP,Construction Materials,Cement & Construction Materials,2020.19
38,Asian Granito India Ltd.,ASIANTILES,Construction Materials,Ceramics/Marble/Granite/Sanitaryware,1500.16
39,Borosil Scientific Ltd.,BOROSCI,Construction Materials,Glass,1191.95
40,BirlaNu Ltd.,BIRLANU,Construction Materials,Cement & Construction Materials,1173.59
41,Shree Digvijay Cement Company Ltd.,SHREDIGCEM,Construction Materials,Cement & Construction Materials,1066.46
42,Visaka Industries Ltd.,VISAKAIND,Construction Materials,Cement & Construction Materials,825.51
43,NCL Industries Ltd.,NCLIND,Construction Materials,Cement & Construction Materials,780.27
44,Sejal Glass Ltd.,SEJALLTD,Construction Materials,Glass,775.2
45,Deccan Cements Ltd.,DECCANCE,Construction Materials,Cement & Construction Materials,768.24
46,Oriental Rail Infrastructure Ltd.,ORIRAIL,Construction Materials,Wood & Wood Products,737.31
47,Everest Industries Ltd.,EVERESTIND,Construction Materials,Cement & Construction Materials,716.44
48,Saurashtra Cement Ltd.,SAURASHCEM,Construction Materials,Cement & Construction Materials,670.62
49,Haldyn Glass Ltd.,HALDYNGL,Construction Materials,Glass,666.52
50,Bigbloc Construction Ltd.,BIGBLOC,Construction Materials,Cement & Construction Materials,635.39
51,Orient Bell Ltd.,ORIENTBELL,Construction Materials,Ceramics/Marble/Granite/Sanitaryware,514.87
52,Rushil Decor Ltd.,RUSHIL,Construction Materials,Laminates/Decoratives,506.73
53,Shiva Cement Ltd.,SHIVACEM,Construction Materials,Cement & Construction Materials,497.96
54,Megamont Ltd.,MEGAMONT,Construction Materials,Wood & Wood Products,460.52
55,Andhra Cements Ltd.,ACL,Construction Materials,Cement & Construction Materials,424.08
56,Sahyadri Industries Ltd.,SAHYADRI,Construction Materials,Cement & Construction Materials,394.61
57,Kesoram Industries Ltd.,KESORAMIND,Construction Materials,Cement & Construction Materials,368.45
58,Clay Craft India Ltd.,CLAYCRAFT,Construction Materials,Ceramics/Marble/Granite/Sanitaryware,332.42
59,Marble City India Ltd.,MARBLE,Construction Materials,Ceramics/Marble/Granite/Sanitaryware,315.88
60,Anjani Portland Cement Ltd.,APCL,Construction Materials,Cement & Construction Materials,306.67
61,Agarwal Toughened Glass India Ltd.,AGARWALTUF,Construction Materials,Glass,274.44
62,Exxaro Tiles Ltd.,EXXARO,Construction Materials,Ceramics/Marble/Granite/Sanitaryware,274.26
63,Interiors & More Ltd.,INM,Construction Materials,Laminates/Decoratives,229.52
64,Durlax Top Surface Ltd.,DURLAX,Construction Materials,Ceramics/Marble/Granite/Sanitaryware,196.59
65,Archidply Industries Ltd.,ARCHIDPLY,Construction Materials,Wood & Wood Products,184.72
66,Murudeshwar Ceramics Ltd.,MURUDCERA,Construction Materials,Ceramics/Marble/Granite/Sanitaryware,184.3
67,Shri Keshav Cements & Infra Ltd.,SKCIL,Construction Materials,Cement & Construction Materials,178.72
68,Glittek Granites Ltd.,GLITTEKG,Construction Materials,Ceramics/Marble/Granite/Sanitaryware,175.62
69,Esprit Stones Ltd.,ESPRIT,Construction Materials,Ceramics/Marble/Granite/Sanitaryware,149.23
70,Ecoboard Industries Ltd.,ECOBOAR,Construction Materials,Wood & Wood Products,146.9
71,Kanoria Energy & Infrastructure Ltd.,KEIL,Construction Materials,Cement & Construction Materials,145.0
72,The Western Indian Plywoods Ltd.,WIPL,Construction Materials,Laminates/Decoratives,142.57
73,Global Surfaces Ltd.,GSLSU,Construction Materials,Ceramics/Marble/Granite/Sanitaryware,137.95
74,Airo Lam Ltd.,AIROLAM,Construction Materials,Laminates/Decoratives,130.95
75,Duroply Industries Ltd.,DUROPLY,Construction Materials,Wood & Wood Products,109.73
76,Manilam Industries India Ltd.,MANILAM,Construction Materials,Laminates/Decoratives,102.69
77,Sylvan Plyboard (India) Ltd.,SYLVANPLY,Construction Materials,Wood & Wood Products,96.87
78,Regency Ceramics Ltd.,REGENCERAM,Construction Materials,Ceramics/Marble/Granite/Sanitaryware,96.25
79,Pacific Industries Ltd.,PACIFICI,Construction Materials,Ceramics/Marble/Granite/Sanitaryware,93.74
80,Barak Valley Cements Ltd.,BVCL,Construction Materials,Cement & Construction Materials,90.43
81,Kakatiya Cement Sugar & Industries Ltd.,KAKATCEM,Construction Materials,Cement & Construction Materials,85.24
82,Panyam Cements & Mineral Industries Ltd.,PANCM,Construction Materials,Cement & Construction Materials,81.86
83,Banaras Beads Ltd.,BANARBEADS,Construction Materials,Glass,74.49
84,Milton Industries Ltd.,MILTON,Construction Materials,Laminates/Decoratives,65.6
85,Alkosign Ltd.,ALKOSIGN,Construction Materials,Wood & Wood Products,65.08
86,Restile Ceramics Ltd.,RESTILE,Construction Materials,Ceramics/Marble/Granite/Sanitaryware,62.11
87,Ravileela Granites Ltd.,RALEGRA,Construction Materials,Ceramics/Marble/Granite/Sanitaryware,61.35
88,Bheema Cements Ltd.,BHEEMACEM,Construction Materials,Cement & Construction Materials,52.67
89,Elegant Marbles & Grani Industries Ltd.,ELEMARB,Construction Materials,Ceramics/Marble/Granite/Sanitaryware,50.96
90,Divyashakti Ltd.,DIVSHKT,Construction Materials,Ceramics/Marble/Granite/Sanitaryware,50.37
91,Ganga Bath Fittings Ltd.,GANGABATH,Construction Materials,Ceramics/Marble/Granite/Sanitaryware,49.86
92,Priti International Ltd.,PRITI,Construction Materials,Wood & Wood Products,47.79
93,Aro Granite Industries Ltd.,AROGRANITE,Construction Materials,Ceramics/Marble/Granite/Sanitaryware,39.14
