Rank,Stock_Name,Symbol,Sector,Industry,Market_Cap_Cr
1,LG Electronics India Ltd.,LGEINDIA,Consumer Durables,Consumer Durables - Electronics,117556.59
2,Dixon Technologies (India) Ltd.,DIXON,Consumer Durables,Consumer Durables - Electronics,86448.86
3,Voltas Ltd.,VOLTAS,Consumer Durables,Air Conditioners,43842.23
4,Honeywell Automation India Ltd.,HONAUT,Consumer Durables,Consumer Durables - Electronics,32915.75
5,Blue Star Ltd.,BLUESTARCO,Consumer Durables,Air Conditioners,30978.95
6,Netweb Technologies India Ltd.,NETWEB,Consumer Durables,IT - Hardware,28503.08
7,Amber Enterprises India Ltd.,AMBER,Consumer Durables,Air Conditioners,25470.38
8,PG Electroplast Ltd.,PGEL,Consumer Durables,Consumer Durables - Domestic Appliances,17234.1
9,Crompton Greaves Consumer Electricals Ltd.,CROMPTON,Consumer Durables,Consumer Durables - Domestic Appliances,15840.31
10,Whirlpool Of India Ltd.,WHIRLPOOL,Consumer Durables,Consumer Durables - Domestic Appliances,9884.58
11,Eureka Forbes Ltd.,EUREKAFORB,Consumer Durables,Consumer Durables - Domestic Appliances,8578.16
12,TTK Prestige Ltd.,TTKPRESTIG,Consumer Durables,Consumer Durables - Domestic Appliances,8168.68
13,IFB Industries Ltd.,IFBIND,Consumer Durables,Consumer Durables - Electronics,5612.66
14,Timex Group India Ltd.,TIMEX,Consumer Durables,Watches & Accessories,5296.85
15,KDDL Ltd.,KDDL,Consumer Durables,Watches & Accessories,4831.9
16,Bosch Home Comfort India Ltd.,BOSCH-HCIL,Consumer Durables,Air Conditioners,4506.89
17,Hawkins Cookers Ltd.,HAWKINCOOK,Consumer Durables,Consumer Durables - Domestic Appliances,4416.2
18,Bajaj Electricals Ltd.,BAJAJELEC,Consumer Durables,Consumer Durables - Domestic Appliances,4184.14
19,Orient Electric Ltd.,ORIENTELEC,Consumer Durables,Consumer Durables - Domestic Appliances,4001.68
20,Borosil Ltd.,BOROLTD,Consumer Durables,Consumer Durables - Domestic Appliances,2851.57
21,Schneider Electric President Systems Ltd.,SELECTRIC,Consumer Durables,IT - Hardware,2576.27
22,Stove Kraft Ltd.,STOVEKRAFT,Consumer Durables,Consumer Durables - Domestic Appliances,2486.69
23,Nelco Ltd.,NELCO,Consumer Durables,IT - Hardware,2342.19
24,EPACK Durable Ltd.,EPACK,Consumer Durables,Air Conditioners,2074.2
25,Wonder Electricals Ltd.,WEL,Consumer Durables,Consumer Durables - Electronics,1941.78
26,Ivalue Infosolutions Ltd.,IVALUE,Consumer Durables,IT - Hardware,1528.72
27,Onida Electronics Ltd.,ONIDA,Consumer Durables,Consumer Durables - Electronics,1325.87
28,Butterfly Gandhimathi Appliances Ltd.,BUTTERFLY,Consumer Durables,Consumer Durables - Domestic Appliances,1214.83
29,Safe Enterprises Retail Fixtures Ltd.,SAFEENTP,Consumer Durables,Consumer Durables - Domestic Appliances,1113.38
30,Control Print Ltd.,CONTROLPR,Consumer Durables,IT - Hardware,932.62
31,TVS Electronics Ltd.,TVSELECT,Consumer Durables,IT - Hardware,844.11
32,Panache Digilife Ltd.,PANACHE,Consumer Durables,IT - Hardware,840.33
33,Unified Data- Tech Solutions Ltd.,UNIFIED,Consumer Durables,IT - Hardware,755.39
34,Foce India Ltd.,FOCE,Consumer Durables,Watches & Accessories,657.61
35,DC Infotech and Communication Ltd.,DCI,Consumer Durables,IT - Hardware,595.81
36,Singer India Ltd.,SINGERIND,Consumer Durables,Consumer Durables - Domestic Appliances,518.97
37,Elin Electronics Ltd.,ELIN,Consumer Durables,Consumer Durables - Electronics,504.3
38,Arham Technologies Ltd.,ARHAM,Consumer Durables,Consumer Durables - Electronics,413.34
39,HCL Infosystems Ltd.,HCL-INSYS,Consumer Durables,IT - Hardware,372.99
40,Sharp India Ltd.,SHARP,Consumer Durables,Consumer Durables - Electronics,312.5
41,Purple Wave Infocom Ltd.,PURPLEWAVE,Consumer Durables,Consumer Durables - Electronics,275.67
42,Empower India Ltd.,EMPOWER,Consumer Durables,IT - Hardware,243.23
43,Sonam Ltd.,SONAMLTD,Consumer Durables,Watches & Accessories,221.7
44,Umiya Buildcon Ltd.,UMIYA-MRO,Consumer Durables,IT - Hardware,166.46
45,Inflame Appliances Ltd.,INFLAME,Consumer Durables,Consumer Durables - Domestic Appliances,158.81
46,Greenchef Appliances Ltd.,GREENCHEF,Consumer Durables,Consumer Durables - Domestic Appliances,110.89
47,Calcom Vision Ltd.,CALCOM,Consumer Durables,Consumer Durables - Electronics,106.04
48,Accel Ltd.,ACCEL,Consumer Durables,IT - Hardware,72.55
49,Khaitan (India) Ltd.,KHAITANLTD,Consumer Durables,Consumer Durables - Electronics,66.5
50,Mangal Compusolution Ltd.,MANGALCOMP,Consumer Durables,IT - Hardware,58.51
51,PCS Technology Ltd.,PCS,Consumer Durables,IT - Hardware,40.33
52,Comrade Appliances Ltd.,COMRADE,Consumer Durables,Consumer Durables - Domestic Appliances,33.06
53,ECS Biztech Ltd.,ECS,Consumer Durables,IT - Hardware,27.13
54,Gorani Industries Ltd.,GORANIN,Consumer Durables,Consumer Durables - Domestic Appliances,25.47
55,ACI Infocom Ltd.,ACIIN,Consumer Durables,IT - Hardware,22.65
56,Thakral Services (India) Ltd.,THAKRAL,Consumer Durables,Consumer Durables - Electronics,13.89
57,Catvision Ltd.,CATVISION,Consumer Durables,Consumer Durables - Electronics,10.88
58,Universal Office Automation Ltd.,UNIOFFICE,Consumer Durables,IT - Hardware,10.26
59,Compuage Infocom Ltd.,COMPINFO,Consumer Durables,IT - Hardware,9.43
60,International Data Management Ltd.,IDM,Consumer Durables,IT - Hardware,8.27
61,VXL Instruments Ltd.,VXLINSTR,Consumer Durables,IT - Hardware,5.1
62,Mirc Electronics Ltd. - (Rights Entitlements (REs)),MIRC-RE,Consumer Durables,Consumer Durables - Electronics,0.0
