Rank,Stock_Name,Symbol,Sector,Industry,Market_Cap_Cr
1,Reliance Industries Ltd.,RELIANCE,Crude Oil,Refineries,1770056.06
2,Oil & Natural Gas Corporation Ltd.,ONGC,Crude Oil,Oil Exploration,297397.8
3,Indian Oil Corporation Ltd.,IOC,Crude Oil,Refineries,196850.06
4,Bharat Petroleum Corporation Ltd.,BPCL,Crude Oil,Refineries,138072.94
5,Hindustan Petroleum Corporation Ltd.,HINDPETRO,Crude Oil,Refineries,79367.78
6,Oil India Ltd.,OIL,Crude Oil,Oil Exploration,76434.3
7,Mangalore Refinery And Petrochemicals Ltd.,MRPL,Crude Oil,Refineries,29890.57
8,Chennai Petroleum Corporation Ltd.,CHENNPETRO,Crude Oil,Refineries,19691.3
9,Supreme Petrochem Ltd.,SPLPETRO,Crude Oil,Petrochemicals,13660.26
10,Rain Industries Ltd.,RAIN,Crude Oil,Petrochemicals,7031.31
11,Deep Industries Ltd.,DEEPINDS,Crude Oil,Oil Exploration,4280.96
12,Antelopus Selan Energy Ltd.,ANTELOPUS,Crude Oil,Oil Exploration,2758.14
13,Dolphin Offshore Enterprises (India) Ltd.,DOLPHIN,Crude Oil,Oil Exploration,2023.63
14,Hindustan Oil Exploration Company Ltd.,HINDOILEXP,Crude Oil,Oil Exploration,2010.76
15,Asian Energy Services Ltd.,ASIANENE,Crude Oil,Oil Exploration,1818.92
16,Gujarat Natural Resources Ltd.,GNRL,Crude Oil,Oil Exploration,1709.06
17,Jindal Drilling & Industries Ltd.,JINDRILL,Crude Oil,Oil Exploration,1702.93
18,Tamilnadu Petroproducts Ltd.,TNPETRO,Crude Oil,Petrochemicals,998.5
19,Kothari Petrochemicals Ltd.,KOTHARIPET,Crude Oil,Petrochemicals,846.92
20,Agarwal Industrial Corporation Ltd.,AGARIND,Crude Oil,Petrochemicals,722.98
21,Neptune Petrochemicals Ltd.,NEPTUNE,Crude Oil,Petrochemicals,401.65
22,Multibase India Ltd.,MULTIBASE,Crude Oil,Petrochemicals,244.39
23,Aban Offshore Ltd.,ABAN,Crude Oil,Oil Exploration,106.63
24,Aakash Exploration Services Ltd.,AAKASH,Crude Oil,Oil Exploration,89.0
25,Continental Petroleums Ltd.,CONTPTR,Crude Oil,Refineries,71.03
26,Nexxus Petro Industries Ltd.,NEXXUS,Crude Oil,Petrochemicals,56.99
27,Greenhitech Ventures Ltd.,GVL,Crude Oil,Petrochemicals,51.96
28,Duke Offshore Ltd.,DUKEOFS,Crude Oil,Oil Exploration,45.89
29,SVC Industries Ltd.,SVCIND,Crude Oil,Petrochemicals,38.82
30,Gujarat Natural Resources Ltd. - (Rights Entitlements (REs)),GNRL-RE,Crude Oil,Oil Exploration,0.0
