Rank,Stock_Name,Symbol,Sector,Industry,Market_Cap_Cr
1,Titan Company Ltd.,TITAN,Diamond & Jewellery,Diamond  &  Jewellery,450906.59
2,Kalyan Jewellers India Ltd.,KALYANKJIL,Diamond & Jewellery,Diamond  &  Jewellery,62817.08
3,Thangamayil Jewellery Ltd.,THANGAMAYL,Diamond & Jewellery,Diamond  &  Jewellery,16872.1
4,Bluestone Jewellery And Lifestyle Ltd.,BLUESTONE,Diamond & Jewellery,Diamond  &  Jewellery,12918.02
5,Sky Gold and Diamonds Ltd.,SKYGOLD,Diamond & Jewellery,Diamond  &  Jewellery,11972.53
6,PC Jeweller Ltd.,PCJEWELLER,Diamond & Jewellery,Diamond  &  Jewellery,9410.81
7,PN Gadgil Jewellers Ltd.,PNGJL,Diamond & Jewellery,Diamond  &  Jewellery,8983.77
8,Senco Gold Ltd.,SENCO,Diamond & Jewellery,Diamond  &  Jewellery,5598.86
9,Goldiam International Ltd.,GOLDIAM,Diamond & Jewellery,Diamond  &  Jewellery,5490.07
10,Vaibhav Global Ltd.,VAIBHAVGBL,Diamond & Jewellery,Diamond  &  Jewellery,3819.17
11,D.P. Abhushan Ltd.,DPABHUSHAN,Diamond & Jewellery,Diamond  &  Jewellery,3259.37
12,Rajesh Exports Ltd.,RAJESHEXPO,Diamond & Jewellery,Diamond  &  Jewellery,2406.66
13,Shringar House of Mangalsutra Ltd.,SHRINGARMS,Diamond & Jewellery,Diamond  &  Jewellery,2157.19
14,Khazanchi Jewellers Ltd.,KHAZANCHI,Diamond & Jewellery,Diamond  &  Jewellery,1961.07
15,Motisons Jewellers Ltd.,MOTISONS,Diamond & Jewellery,Diamond  &  Jewellery,1907.6
16,Shanti Gold International Ltd.,SHANTIGOLD,Diamond & Jewellery,Diamond  &  Jewellery,1899.3
17,Tribhovandas Bhimji Zaveri Ltd.,TBZ,Diamond & Jewellery,Diamond  &  Jewellery,1676.94
18,Renaissance Global Ltd.,RGL,Diamond & Jewellery,Diamond  &  Jewellery,1326.35
19,Utssav CZ Gold Jewels Ltd.,UTSSAV,Diamond & Jewellery,Diamond  &  Jewellery,1267.9
20,Asian Star Company Ltd.,ASTAR,Diamond & Jewellery,Diamond  &  Jewellery,961.21
21,Radhika Jeweltech Ltd.,RADHIKAJWE,Diamond & Jewellery,Diamond  &  Jewellery,817.86
22,Advit Jewels Ltd.,RAMBHAJO,Diamond & Jewellery,Diamond  &  Jewellery,814.04
23,SJ Corporation Ltd.,SJCORP,Diamond & Jewellery,Diamond  &  Jewellery,776.49
24,RBZ Jewellers Ltd.,RBZJEWEL,Diamond & Jewellery,Diamond  &  Jewellery,566.6
25,Uday Jewellery Industries Ltd.,UDAYJEW,Diamond & Jewellery,Diamond  &  Jewellery,480.15
26,Grover Jewells Ltd.,GJL,Diamond & Jewellery,Diamond  &  Jewellery,332.72
27,Pushpa Jewellers Ltd.,PUSHPA,Diamond & Jewellery,Diamond  &  Jewellery,278.56
28,SILGO Retail Ltd.,SILGO,Diamond & Jewellery,Diamond  &  Jewellery,223.2
29,Golkunda Diamonds & Jewellery Ltd.,GOLKUNDIA,Diamond & Jewellery,Diamond  &  Jewellery,200.08
30,SMR Jewels Ltd.,SMR,Diamond & Jewellery,Diamond  &  Jewellery,162.34
31,Goldkart Jewels Ltd.,GOLDKART,Diamond & Jewellery,Diamond  &  Jewellery,159.46
32,Ashapuri Gold Ornament Ltd.,AGOL,Diamond & Jewellery,Diamond  &  Jewellery,132.99
33,Yaashvi Jewellers Ltd.,YAASHVI,Diamond & Jewellery,Diamond  &  Jewellery,132.78
34,Patdiam Jewellery Ltd.,PJL,Diamond & Jewellery,Diamond  &  Jewellery,131.67
35,Mini Diamonds (India) Ltd.,MINID,Diamond & Jewellery,Diamond  &  Jewellery,120.67
36,Retaggio Industries Ltd.,RETAGGIO,Diamond & Jewellery,Diamond  &  Jewellery,100.39
37,AJC Jewel Manufacturers Ltd.,AJCJEWEL,Diamond & Jewellery,Diamond  &  Jewellery,93.91
38,Moksh Ornaments Ltd.,MOKSH,Diamond & Jewellery,Diamond  &  Jewellery,92.93
39,Dev Labtech Venture Ltd.,DEVLAB,Diamond & Jewellery,Diamond  &  Jewellery,90.44
40,Swarnsarita Jewels India Ltd.,SWARNSAR,Diamond & Jewellery,Diamond  &  Jewellery,69.69
41,Royal India Corporation Ltd.,ROYALIND,Diamond & Jewellery,Diamond  &  Jewellery,64.06
42,Zodiac-JRD-MKJ Ltd.,ZODJRDMKJ,Diamond & Jewellery,Diamond  &  Jewellery,40.94
43,Eighty Jewellers Ltd.,EIGHTY,Diamond & Jewellery,Diamond  &  Jewellery,38.66
44,Kanani Industries Ltd.,KANANIIND,Diamond & Jewellery,Diamond  &  Jewellery,28.49
45,Deep Health AI India Ltd.,DEEPAI,Diamond & Jewellery,Diamond  &  Jewellery,28.4
46,Goenka Diamond and Jewels Ltd.,GOENKA,Diamond & Jewellery,Diamond  &  Jewellery,26.63
47,Orosil Smiths India Ltd.,OROSMITHS,Diamond & Jewellery,Diamond  &  Jewellery,26.48
48,Kenvi Jewels Ltd.,KENVI,Diamond & Jewellery,Diamond  &  Jewellery,24.52
49,Koura Fine Diamond Jewelry Ltd.,KOURA,Diamond & Jewellery,Diamond  &  Jewellery,24.45
50,Shubhlaxmi Jewel Art Ltd.,SHUBHLAXMI,Diamond & Jewellery,Diamond  &  Jewellery,20.2
51,Sovereign Diamonds Ltd.,SOVERDIA,Diamond & Jewellery,Diamond  &  Jewellery,15.36
52,Varyaa Creations Ltd.,VARYAA,Diamond & Jewellery,Diamond  &  Jewellery,13.41
53,Shukra Bullions Ltd.,SKRABUL,Diamond & Jewellery,Diamond  &  Jewellery,12.56
54,Kenrik Industries Ltd.,KENRIK,Diamond & Jewellery,Diamond  &  Jewellery,8.8
55,Neogem India Ltd.,NOGMIND,Diamond & Jewellery,Diamond  &  Jewellery,3.2
56,Turner Industries Ltd.,LADIAMO,Diamond & Jewellery,Diamond  &  Jewellery,0.28
57,Moksh Ornaments Ltd. - (Rights Entitlement),MOKSH-RE,Diamond & Jewellery,Diamond  &  Jewellery,0.0
58,Nibe Ordnance And Maritime Ltd. - (Rights Entitlements (REs)),NIBOR-RE,Diamond & Jewellery,Diamond  &  Jewellery,0.0
59,Zodiac-Jrd-Mkj Ltd. - (Rights Entitlements (REs)),ZODJRD-RE,Diamond & Jewellery,Diamond  &  Jewellery,0.0
60,Deep Diamond India Ltd. - (Rights Entitlements (REs)),DEEP-RE,Diamond & Jewellery,Diamond  &  Jewellery,0.0
61,Starlineps Enterprises Ltd. - (Rights Entitlements (REs)),STAR-RE,Diamond & Jewellery,Diamond  &  Jewellery,0.0
62,UH Zaveri Ltd. - (Rights Entitlements (REs)),UHZAVE-RE,Diamond & Jewellery,Diamond  &  Jewellery,0.0
63,Darshan Orna Ltd. - Rights Entitlements (REs),751055,Diamond & Jewellery,Diamond  &  Jewellery,0.0
64,Silgo Retail Ltd. - (Partly paid-up Rights),SILGOPP,Diamond & Jewellery,Diamond  &  Jewellery,0.0
65,Shanti Gold International Ltd. - (Rights Entitlements (REs)),SHANTI-RE,Diamond & Jewellery,Diamond  &  Jewellery,0.0
