Rank,Stock_Name,Symbol,Sector,Industry,Market_Cap_Cr
1,3M India Ltd.,3MINDIA,Diversified,Diversified,39746.72
2,DCM Shriram Ltd.,DCMSHRIRAM,Diversified,Diversified,15949.78
3,Hindustan Foods Ltd.,HNDFDS,Diversified,Diversified,7171.01
4,Balmer Lawrie & Company Ltd.,BALMLAWRIE,Diversified,Diversified,2960.93
5,TTK Healthcare Ltd.,TTKHLTCARE,Diversified,Diversified,1639.68
6,Kothari Industrial Corporation Ltd.,KOTIC,Diversified,Diversified,1585.76
7,Empire Industries Ltd.,EMPIND,Diversified,Diversified,650.37
8,Gillanders Arbuthnot & Company Ltd.,GILLANDERS,Diversified,Diversified,189.95
9,TCI Industries Ltd.,TCIIND,Diversified,Diversified,117.48
10,ANI Integrated Services Ltd.,AISL,Diversified,Diversified,67.79
11,Indrayani Biotech Ltd.,INDRANIB,Diversified,Diversified,61.36
12,Krypton Industries Ltd.,KRYPTONQ,Diversified,Diversified,53.38
13,BIL Vyapar Ltd.,BILVYAPAR,Diversified,Diversified,13.02
14,Vishvprabha Ventures Ltd.,VISVEN,Diversified,Diversified,12.84
15,BNR Udyog Ltd.,BNRUDY,Diversified,Diversified,10.89
16,Finelistings Technologies Ltd.,FTL,Diversified,Diversified,4.51
