Rank,Stock_Name,Symbol,Sector,Industry,Market_Cap_Cr
1,Polycab India Ltd.,POLYCAB,Electricals,Cable,139812.83
2,KEI Industries Ltd.,KEI,Electricals,Cable,54492.34
3,Sterlite Technologies Ltd.,STLTECH,Electricals,Cable,33273.18
4,RR Kabel Ltd.,RRKABEL,Electricals,Cable,31493.1
5,Syrma SGS Technology Ltd.,SYRMA,Electricals,Electronics - Components,28182.18
6,Kaynes Technology India Ltd.,KAYNES,Electricals,Electronics - Components,24534.68
7,Diamond Power Infrastructure Ltd.,DIACABS,Electricals,Cable,22056.86
8,Finolex Cables Ltd.,FINCABLES,Electricals,Cable,19031.01
9,Fujiyama Power Systems Ltd.,UTLSOLAR,Electricals,Electronics - Components,13008.03
10,Avalon Technologies Ltd.,AVALON,Electricals,Electronics - Components,12984.2
11,Precision Wires India Ltd.,PRECWIRE,Electricals,Cable,8356.99
12,Vikram Solar Ltd.,VIKRAMSOLR,Electricals,Electronics - Components,5803.11
13,Universal Cables Ltd.,UNIVCABLES,Electricals,Cable,5701.15
14,Cyient DLM Ltd.,CYIENTDLM,Electricals,Electronics - Components,5513.97
15,Saatvik Green Energy Ltd.,SAATVIKGL,Electricals,Electronics - Components,5424.21
16,V-Marc India Ltd.,VMARCIND,Electricals,Cable,5359.85
17,Centum Electronics Ltd.,CENTUM,Electricals,Electronics - Components,5220.81
18,Laser Power & Infra Ltd.,LASERPOWER,Electricals,Cable,4246.14
19,Websol Energy System Ltd.,WEBELSOLAR,Electricals,Electronics - Components,3692.56
20,Aimtron Electronics Ltd.,AIMTRON,Electricals,Electronics - Components,3607.95
21,Kernex Microsystems (India) Ltd.,KERNEX,Electricals,Electronics - Components,3401.56
22,Advait Energy Transitions Ltd.,ADVAIT,Electricals,Cable,2301.75
23,Modern Insulators Ltd.,MODINSU,Electricals,Electronics - Components,2199.26
24,Insolation Energy Ltd.,INA,Electricals,Electronics - Components,2185.78
25,Dynamic Cables Ltd.,DYCL,Electricals,Cable,2182.33
26,Paramount Communications Ltd.,PARACABLES,Electricals,Cable,2137.86
27,Vinyas Innovative Technologies Ltd.,VINYAS,Electricals,Electronics - Components,1741.16
28,IKIO Technologies Ltd.,IKIO,Electricals,Electronics - Components,1583.87
29,Quadrant Future Tek Ltd.,QUADFUTURE,Electricals,Cable,1443.4
30,RIR Power Electronics Ltd.,RIR,Electricals,Electronics - Components,1321.3
31,Indosolar Ltd.,WAAREEINDO,Electricals,Electronics - Components,1235.84
32,Hindusthan Insulators & Industries Ltd.,HIIL,Electricals,Electronics - Components,973.08
33,Swelect Energy Systems Ltd.,SWELECTES,Electricals,Electronics - Components,935.9
34,Birla Cable Ltd.,BIRLACABLE,Electricals,Cable,870.75
35,Sahasra Electronic Solutions Ltd.,SAHASRA,Electricals,Electronics - Components,792.65
36,CWD Ltd.,CWD,Electricals,Electronics - Components,703.28
37,SPEL Semiconductor Ltd.,SPELS,Electricals,Electronics - Components,679.31
38,Merritronix Ltd.,MRTX,Electricals,Electronics - Components,578.84
39,Susan Electricals India Ltd.,SUSAN,Electricals,Cable,552.18
40,Delton Cables Ltd.,DLTNCBL,Electricals,Cable,530.11
41,Australian Premium Solar (India) Ltd.,APS,Electricals,Electronics - Components,493.82
42,JD Cables Ltd.,JDCABLES,Electricals,Cable,470.53
43,BCC Fuba India Ltd.,BCCFUBA,Electricals,Electronics - Components,450.01
44,Prime Cable Industries Ltd.,PRIMECAB,Electricals,Cable,326.17
45,Cords Cable Industries Ltd.,CORDSCABLE,Electricals,Cable,282.6
46,Plaza Wires Ltd.,PLAZACABLE,Electricals,Cable,250.22
47,Cosmo Ferrites Ltd.,COSMOFE,Electricals,Electronics - Components,250.1
48,IC Electricals Company Ltd.,ICELCO,Electricals,Electronics - Components,245.07
49,BPL Ltd.,BPL,Electricals,Electronics - Components,242.67
50,Bhadora Industries Ltd.,BHADORA,Electricals,Cable,196.04
51,Eppeltone Engineers Ltd.,EEPL,Electricals,Electronics - Components,181.56
52,Aegeus Technologies Ltd.,AEGEUS,Electricals,Electronics - Components,125.74
53,Surana Solar Ltd.,SURANASOL,Electricals,Electronics - Components,125.18
54,Richa Info Systems Ltd.,RICHA,Electricals,Electronics - Components,123.87
55,Aksh Optifibre Ltd.,AKSHOPTFBR,Electricals,Cable,108.84
56,Highness Microelectronics Ltd.,HIGHNESS,Electricals,Electronics - Components,102.24
57,DCG Cables & Wires Ltd.,DCG,Electricals,Cable,99.73
58,Reganto Enterprises Ltd.,REGANTO,Electricals,Electronics - Components,88.07
59,Ultracab (India) Ltd.,ULTRACAB,Electricals,Cable,78.94
60,Edvenswa Enterprises Ltd.,EDVENSWA,Electricals,Electronics - Components,63.14
61,Marco Cables & Conductors Ltd.,MARCO,Electricals,Cable,59.74
62,Gujarat Poly Electronics Ltd.,GUJARATPOLY,Electricals,Electronics - Components,56.89
63,Jigar Cables Ltd.,JIGAR,Electricals,Cable,54.07
64,Ultra Wiring Connectivity Systems Ltd.,UWCSL,Electricals,Electronics - Components,52.45
