Rank,Stock_Name,Symbol,Sector,Industry,Market_Cap_Cr
1,Hindustan Unilever Ltd.,HINDUNILVR,Fast Moving Consumer Goods,Household & Personal Products,490888.35
2,ITC Ltd.,ITC,Fast Moving Consumer Goods,Cigarettes/Tobacco,347826.75
3,Nestle India Ltd.,NESTLEIND,Fast Moving Consumer Goods,Consumer Food,289285.71
4,Varun Beverages Ltd.,VBL,Fast Moving Consumer Goods,Consumer Food,147509.29
5,Britannia Industries Ltd.,BRITANNIA,Fast Moving Consumer Goods,Consumer Food,133681.9
6,Marico Ltd.,MARICO,Fast Moving Consumer Goods,Edible Oil,112440.39
7,Godrej Consumer Products Ltd.,GODREJCP,Fast Moving Consumer Goods,Household & Personal Products,95781.34
8,Dabur India Ltd.,DABUR,Fast Moving Consumer Goods,Household & Personal Products,72306.49
9,Colgate-Palmolive (India) Ltd.,COLPAL,Fast Moving Consumer Goods,Household & Personal Products,53883.07
10,Cupid Ltd.,CUPID,Fast Moving Consumer Goods,Household & Personal Products,39492.68
11,Patanjali Foods Ltd.,PATANJALI,Fast Moving Consumer Goods,Edible Oil,38410.23
12,Godfrey Phillips India Ltd.,GODFRYPHLP,Fast Moving Consumer Goods,Cigarettes/Tobacco,33490.84
13,Jubilant FoodWorks Ltd.,JUBLFOOD,Fast Moving Consumer Goods,Consumer Food,33137.43
14,Procter & Gamble Hygiene and Health Care Ltd.,PGHH,Fast Moving Consumer Goods,Household & Personal Products,27368.46
15,AWL Agri Business Ltd.,AWL,Fast Moving Consumer Goods,Edible Oil,24986.32
16,Gillette India Ltd.,GILLETTE,Fast Moving Consumer Goods,Household & Personal Products,24761.51
17,Hatsun Agro Product Ltd.,HATSUN,Fast Moving Consumer Goods,Consumer Food,21883.9
18,Devyani International Ltd.,DEVYANI,Fast Moving Consumer Goods,Consumer Food,17766.66
19,Emami Ltd.,EMAMILTD,Fast Moving Consumer Goods,Household & Personal Products,17588.77
20,Zydus Wellness Ltd.,ZYDUSWELL,Fast Moving Consumer Goods,Consumer Food,16235.74
21,Bikaji Foods International Ltd.,BIKAJI,Fast Moving Consumer Goods,Consumer Food,15376.41
22,LT Foods Ltd.,LTFOODS,Fast Moving Consumer Goods,Consumer Food,14570.73
23,DOMS Industries Ltd.,DOMS,Fast Moving Consumer Goods,Printing & Stationery,13444.59
24,Avanti Feeds Ltd.,AVANTIFEED,Fast Moving Consumer Goods,Animal Feed,11725.3
25,Godrej Agrovet Ltd.,GODREJAGRO,Fast Moving Consumer Goods,Animal Feed,11138.6
26,Manorama Industries Ltd.,MANORAMA,Fast Moving Consumer Goods,Consumer Food,10976.98
27,Galaxy Surfactants Ltd.,GALAXYSURF,Fast Moving Consumer Goods,Household & Personal Products,8883.54
28,KRBL Ltd.,KRBL,Fast Moving Consumer Goods,Consumer Food,8844.31
29,Kwality Wall's (India) Ltd.,KWIL,Fast Moving Consumer Goods,Consumer Food,8451.48
30,EPL Ltd.,EPL,Fast Moving Consumer Goods,Packaging,7842.89
31,Sheela Foam Ltd.,SFL,Fast Moving Consumer Goods,Household & Personal Products,7643.69
32,Sapphire Foods India Ltd.,SAPPHIRE,Fast Moving Consumer Goods,Consumer Food,7544.46
33,Orkla India Ltd.,ORKLAINDIA,Fast Moving Consumer Goods,Consumer Food,7524.82
34,Mrs. Bectors Food Specialities Ltd.,BECTORFOOD,Fast Moving Consumer Goods,Consumer Food,7376.98
35,Safari Industries (India) Ltd.,SAFARI,Fast Moving Consumer Goods,Household & Personal Products,7335.63
36,Jyothy Labs Ltd.,JYOTHYLAB,Fast Moving Consumer Goods,Household & Personal Products,7320.42
37,Gokul Agro Resources Ltd.,GOKULAGRO,Fast Moving Consumer Goods,Edible Oil,6838.63
38,Dodla Dairy Ltd,DODLA,Fast Moving Consumer Goods,Consumer Food,6690.66
39,Bajaj Consumer Care Ltd.,BAJAJCON,Fast Moving Consumer Goods,Household & Personal Products,6542.67
40,Vadilal Industries Ltd.,VADILALIND,Fast Moving Consumer Goods,Consumer Food,5561.84
41,AGI Greenpac Ltd.,AGI,Fast Moving Consumer Goods,Packaging,4550.49
42,CIAN Agro Industries & Infrastructure Ltd.,CIANAGRO,Fast Moving Consumer Goods,Edible Oil,4092.24
43,Wakefit Innovations Ltd.,WAKEFIT,Fast Moving Consumer Goods,Household & Personal Products,4019.05
44,TCPL Packaging Ltd.,TCPLPACK,Fast Moving Consumer Goods,Packaging,3728.36
45,VST Industries Ltd.,VSTIND,Fast Moving Consumer Goods,Cigarettes/Tobacco,3657.96
