Rank,Stock_Name,Symbol,Sector,Industry,Market_Cap_Cr
1,Nava Ltd.,NAVA,Ferro Manganese,Ferro & Silica Manganese,16258.84
2,Indian Metals & Ferro Alloys Ltd.,IMFA,Ferro Manganese,Ferro & Silica Manganese,7581.9
3,Maithan Alloys Ltd.,MAITHANALL,Ferro Manganese,Ferro & Silica Manganese,2826.29
4,Jainam Ferro Alloys (I) Ltd.,JAINAM,Ferro Manganese,Ferro & Silica Manganese,275.21
5,Nagpur Power & Industries Ltd.,NAGPI,Ferro Manganese,Ferro & Silica Manganese,237.29
6,Owais Metal & Mineral Processing Ltd.,OWAIS,Ferro Manganese,Ferro & Silica Manganese,143.37
7,Indsil Hydro Power and Manganese Ltd.,INDSILHYD,Ferro Manganese,Ferro & Silica Manganese,110.61
8,Shyam Century Ferrous Ltd.,SHYAMCENT,Ferro Manganese,Ferro & Silica Manganese,104.18
9,Chrome Silicon Ltd.,CHROME,Ferro Manganese,Ferro & Silica Manganese,68.17
10,Facor Alloys Ltd.,FACORALL,Ferro Manganese,Ferro & Silica Manganese,63.55
11,Impex Ferro Tech Ltd.,IMPEXFERRO,Ferro Manganese,Ferro & Silica Manganese,32.27
