Rank,Stock_Name,Symbol,Sector,Industry,Market_Cap_Cr
1,Bajaj Finance Ltd.,BAJFINANCE,Finance,Finance - NBFC,677197.05
2,Life Insurance Corporation of India,LICI,Finance,Insurance,523330.31
3,Bajaj Finserv Ltd.,BAJAJFINSV,Finance,Finance - Investment,325218.45
4,Shriram Finance Ltd.,SHRIRAMFIN,Finance,Finance - NBFC,264498.88
5,SBI Life Insurance Company Ltd.,SBILIFE,Finance,Insurance,181289.27
6,JIO Financial Services Ltd.,JIOFIN,Finance,Finance - NBFC,165078.54
7,Cholamandalam Investment and Finance Company Ltd.,CHOLAFIN,Finance,Finance - NBFC,162699.57
8,Tata Capital Ltd.,TATACAP,Finance,Finance - NBFC,154640.58
9,ICICI Prudential Asset Management Company Ltd.,ICICIAMC,Finance,Finance - Asset Management,153269.57
10,BSE Ltd.,BSE,Finance,Finance - Others,140597.64
11,Bajaj Holdings & Investment Ltd.,BAJAJHLDNG,Finance,Finance - NBFC,126953.06
12,Power Finance Corporation Ltd.,PFC,Finance,Finance Term Lending,124430.34
13,Billionbrains Garage Ventures Ltd.,GROWW,Finance,Finance - Stock Broking,123056.6
14,HDFC Life Insurance Company Ltd.,HDFCLIFE,Finance,Insurance,116770.53
15,Indian Railway Finance Corporation Ltd.,IRFC,Finance,Finance Term Lending,114480.11
16,Muthoot Finance Ltd.,MUTHOOTFIN,Finance,Finance - NBFC,114217.78
17,SBI Funds Management Ltd.,SBIFUNDS,Finance,Finance - Asset Management,113919.77
18,Aditya Birla Capital Ltd.,ABCAPITAL,Finance,Finance - NBFC,109828.02
19,HDFC Asset Management Company Ltd.,HDFCAMC,Finance,Finance - Asset Management,107196.7
20,REC Ltd.,RECLTD,Finance,Finance Term Lending,88449.99
21,ICICI Lombard General Insurance Company Ltd.,ICICIGI,Finance,Insurance,81273.09
22,L&T Finance Ltd.,LTF,Finance,Finance - NBFC,76797.77
23,Multi Commodity Exchange Of India Ltd.,MCX,Finance,Finance - Stock Broking,74521.37
24,Nippon Life India Asset Management Ltd.,NAM-INDIA,Finance,Finance - Asset Management,74495.17
25,ICICI Prudential Life Insurance Company Ltd.,ICICIPRULI,Finance,Insurance,73411.07
26,Bajaj Housing Finance Ltd.,BAJAJHFL,Finance,Finance - Housing,70258.25
27,General Insurance Corporation of India,GICRE,Finance,Insurance,61807.51
28,SBI Cards And Payment Services Ltd.,SBICARD,Finance,Finance - NBFC,60162.84
29,HDB Financial Services Ltd.,HDBFS,Finance,Finance - NBFC,57044.47
30,Mahindra & Mahindra Financial Services Ltd.,M&MFIN,Finance,Finance - NBFC,54188.03
31,Motilal Oswal Financial Services Ltd.,MOTILALOFS,Finance,Finance - Stock Broking,53992.25
32,Max Financial Services Ltd.,MFSL,Finance,Finance - Others,53320.23
