Rank,Stock_Name,Symbol,Sector,Industry,Market_Cap_Cr
1,Sun Pharmaceutical Industries Ltd.,SUNPHARMA,Healthcare,Pharmaceuticals & Drugs,461847.99
2,Divi's Laboratories Ltd.,DIVISLAB,Healthcare,Pharmaceuticals & Drugs,225648.29
3,Torrent Pharmaceuticals Ltd.,TORNTPHARM,Healthcare,Pharmaceuticals & Drugs,184109.45
4,Apollo Hospitals Enterprise Ltd.,APOLLOHOSP,Healthcare,Hospital & Healthcare Services,128327.81
5,Cipla Ltd.,CIPLA,Healthcare,Pharmaceuticals & Drugs,117138.71
6,Zydus Lifesciences Ltd.,ZYDUSLIFE,Healthcare,Pharmaceuticals & Drugs,113715.44
7,Lenskart Solutions Ltd.,LENSKART,Healthcare,Medical Equipment/Supplies/Accessories,106480.32
8,Lupin Ltd.,LUPIN,Healthcare,Pharmaceuticals & Drugs,102192.0
9,Dr. Reddy's Laboratories Ltd.,DRREDDY,Healthcare,Pharmaceuticals & Drugs,100328.03
10,Mankind Pharma Ltd.,MANKIND,Healthcare,Pharmaceuticals & Drugs,99945.03
11,Max Healthcare Institute Ltd.,MAXHEALTH,Healthcare,Hospital & Healthcare Services,98300.93
12,Laurus Labs Ltd.,LAURUSLABS,Healthcare,Pharmaceuticals & Drugs,98063.97
13,Aurobindo Pharma Ltd.,AUROPHARMA,Healthcare,Pharmaceuticals & Drugs,95397.65
14,Manipal Health Enterprises Ltd.,MANIPALHOS,Healthcare,Hospital & Healthcare Services,93043.21
15,Aster DM Quality Care Ltd.,ASTERDM,Healthcare,Hospital & Healthcare Services,71743.0
16,Fortis Healthcare Ltd.,FORTIS,Healthcare,Hospital & Healthcare Services,70588.59
17,Biocon Ltd.,BIOCON,Healthcare,Pharmaceuticals & Drugs,67616.01
18,Glenmark Pharmaceuticals Ltd.,GLENMARK,Healthcare,Pharmaceuticals & Drugs,66040.57
19,Alkem Laboratories Ltd.,ALKEM,Healthcare,Pharmaceuticals & Drugs,64553.14
20,Abbott India Ltd.,ABBOTINDIA,Healthcare,Pharmaceuticals & Drugs,57536.52
21,Anthem Biosciences Ltd.,ANTHEM,Healthcare,Pharmaceuticals & Drugs,50157.4
22,Gland Pharma Ltd.,GLAND,Healthcare,Pharmaceuticals & Drugs,48975.3
23,Ajanta Pharma Ltd.,AJANTPHARM,Healthcare,Pharmaceuticals & Drugs,45924.32
24,Glaxosmithkline Pharmaceuticals Ltd.,GLAXO,Healthcare,Pharmaceuticals & Drugs,45554.98
25,Ipca Laboratories Ltd.,IPCALAB,Healthcare,Pharmaceuticals & Drugs,43983.43
26,Global Health Ltd.,MEDANTA,Healthcare,Hospital & Healthcare Services,38237.6
27,Narayana Hrudayalaya Ltd.,NH,Healthcare,Hospital & Healthcare Services,37459.34
28,Emcure Pharmaceuticals Ltd.,EMCURE,Healthcare,Pharmaceuticals & Drugs,36679.4
29,Krishna Institute of Medical Sciences Ltd,KIMS,Healthcare,Hospital & Healthcare Services,33982.72
30,Dr. Lal Pathlabs Ltd.,LALPATHLAB,Healthcare,Hospital & Healthcare Services,32174.1
31,Wockhardt Ltd.,WOCKPHARMA,Healthcare,Pharmaceuticals & Drugs,31398.36
32,Sai Life Sciences Ltd.,SAILIFE,Healthcare,Pharmaceuticals & Drugs,30793.97
33,Neuland Laboratories Ltd.,NEULANDLAB,Healthcare,Pharmaceuticals & Drugs,29908.4
34,Piramal Pharma Ltd.,PPLPHARMA,Healthcare,Pharmaceuticals & Drugs,27452.4
35,Acutaas Chemicals Ltd.,ACUTAAS,Healthcare,Pharmaceuticals & Drugs,26472.62
36,Pfizer Ltd.,PFIZER,Healthcare,Pharmaceuticals & Drugs,22321.46
37,Granules India Ltd.,GRANULES,Healthcare,Pharmaceuticals & Drugs,21263.45
