Rank,Stock_Name,Symbol,Sector,Industry,Market_Cap_Cr
1,The Indian Hotels Company Ltd.,INDHOTEL,Hospitality,"Hotel, Resort & Restaurants",102686.4
2,Indian Railway Catering And Tourism Corporation Ltd.,IRCTC,Hospitality,Travel Services,39796.0
3,ITC Hotels Ltd.,ITCHOTELS,Hospitality,"Hotel, Resort & Restaurants",34358.69
4,EIH Ltd.,EIHOTEL,Hospitality,"Hotel, Resort & Restaurants",18773.43
5,Chalet Hotels Ltd.,CHALET,Hospitality,"Hotel, Resort & Restaurants",18092.2
6,Travel Food Services Ltd.,TRAVELFOOD,Hospitality,Restaurants,17993.34
7,TBO Tek Ltd.,TBOTEK,Hospitality,Travel Services,17706.32
8,Leela Palaces Hotels & Resorts Ltd.,THELEELA,Hospitality,"Hotel, Resort & Restaurants",17031.85
9,Ventive Hospitality Ltd.,VENTIVE,Hospitality,"Hotel, Resort & Restaurants",13519.72
10,BLS International Services Ltd.,BLS,Hospitality,Travel Services,11450.51
11,Westlife Foodworld Ltd,WESTLIFE,Hospitality,Restaurants,9084.06
12,Lemon Tree Hotels Ltd.,LEMONTREE,Hospitality,"Hotel, Resort & Restaurants",8627.56
13,Le Travenues Technology Ltd.,IXIGO,Hospitality,Travel Services,7676.38
14,Restaurant Brands Asia Ltd.,RBA,Hospitality,Restaurants,7053.13
15,Waterways Leisure Tourism Ltd.,CORDELIA,Hospitality,Travel Services,6063.4
16,India Tourism Development Corporation Ltd.,ITDC,Hospitality,"Hotel, Resort & Restaurants",5977.27
17,Thomas Cook (India) Ltd.,THOMASCOOK,Hospitality,Travel Services,4978.98
18,Mahindra Holidays & Resorts India Ltd.,MHRIL,Hospitality,"Hotel, Resort & Restaurants",4557.38
19,Juniper Hotels Ltd.,JUNIPER,Hospitality,"Hotel, Resort & Restaurants",4290.96
20,Samhi Hotels Ltd.,SAMHI,Hospitality,"Hotel, Resort & Restaurants",3642.25
21,Wonderla Holidays Ltd.,WONDERLA,Hospitality,Amusement Parks/Recreation/Club,2971.12
22,United Foodbrands Ltd.,UFBL,Hospitality,Restaurants,2928.74
23,Imagicaaworld Entertainment Ltd.,IMAGICAA,Hospitality,Amusement Parks/Recreation/Club,2696.9
24,Easy Trip Planners Ltd.,EASEMYTRIP,Hospitality,Travel Services,2554.16
25,Apeejay Surrendra Park Hotels Ltd.,PARKHOTELS,Hospitality,"Hotel, Resort & Restaurants",2509.28
26,Brigade Hotel Ventures Ltd.,BRIGHOTEL,Hospitality,"Hotel, Resort & Restaurants",2274.88
27,Oriental Hotels Ltd.,ORIENTHOT,Hospitality,"Hotel, Resort & Restaurants",2216.42
28,Krishna GVK Luxury Hotels Ltd.,TAJGVK,Hospitality,"Hotel, Resort & Restaurants",2142.82
29,EIH Associated Hotels Ltd.,EIHAHOTELS,Hospitality,"Hotel, Resort & Restaurants",1821.39
30,Yatra Online Ltd,YATRA,Hospitality,Travel Services,1788.84
31,Delta Corp Ltd.,DELTACORP,Hospitality,Amusement Parks/Recreation/Club,1621.09
32,Benares Hotels Ltd.,BENARAS,Hospitality,"Hotel, Resort & Restaurants",1323.06
33,Asian Hotels (North) Ltd.,ASIANHOTNR,Hospitality,"Hotel, Resort & Restaurants",1270.68
34,Mac Charles (India) Ltd.,MCCHRLS-B,Hospitality,"Hotel, Resort & Restaurants",912.64
35,Royal Orchid Hotels Ltd.,ROHLTD,Hospitality,"Hotel, Resort & Restaurants",858.68
36,Viceroy Hotels Ltd.,VHLTD,Hospitality,"Hotel, Resort & Restaurants",847.1
37,Advent Hotels International Ltd.,ADVENTHTL,Hospitality,"Hotel, Resort & Restaurants",765.45
38,UP Hotels Ltd.,UPHOT,Hospitality,"Hotel, Resort & Restaurants",756.0
39,Praveg Ltd.,PRAVEG,Hospitality,"Hotel, Resort & Restaurants",704.75
40,Speciality Restaurants Ltd.,SPECIALITY,Hospitality,Restaurants,673.61
41,Asian Hotels (West) Ltd.,AHLWEST,Hospitality,"Hotel, Resort & Restaurants",640.82
42,Coffee Day Enterprises Ltd.,COFFEEDAY,Hospitality,Restaurants,606.08
43,Kamat Hotels (India) Ltd.,KAMATHOTEL,Hospitality,"Hotel, Resort & Restaurants",577.51
44,Sayaji Hotels Ltd.,SAYAJIHOTL,Hospitality,"Hotel, Resort & Restaurants",569.33
45,Advani Hotels & Resorts (India) Ltd.,ADVANIHOTR,Hospitality,"Hotel, Resort & Restaurants",480.31
46,HLV Ltd.,HLVLTD,Hospitality,"Hotel, Resort & Restaurants",462.8
47,Sinclairs Hotels Ltd.,SINCLAIR,Hospitality,"Hotel, Resort & Restaurants",384.55
48,Emerald Leisures Ltd.,EMERALL,Hospitality,"Hotel, Resort & Restaurants",378.99
49,Mach Travel Solutions Ltd.,MACHLTD,Hospitality,Travel Services,362.89
50,Nicco Parks & Resorts Ltd.,NICCOPAR,Hospitality,Amusement Parks/Recreation/Club,341.64
51,Vegorama Punjabi Angithi Ltd.,VPAL,Hospitality,Restaurants,338.86
52,Sayaji Hotels (Indore) Ltd.,SHILINDORE,Hospitality,"Hotel, Resort & Restaurants",325.99
53,Apollo Sindoori Hotels Ltd.,APOLSINHOT,Hospitality,"Hotel, Resort & Restaurants",314.13
54,Robust Hotels Ltd.,RHL,Hospitality,"Hotel, Resort & Restaurants",299.23
55,Silverstorm Parks And Resorts Ltd.,SSPRL,Hospitality,Amusement Parks/Recreation/Club,283.69
56,Suba Hotels Ltd.,SUBAHOTELS,Hospitality,"Hotel, Resort & Restaurants",281.09
57,Sayaji Hotels (Pune) Ltd.,SHPLPUNE,Hospitality,"Hotel, Resort & Restaurants",258.66
58,Wise Travel India Ltd.,WTICAB,Hospitality,Travel Services,258.6
59,International Travel House Ltd.,ITHL,Hospitality,Travel Services,248.27
60,Asian Hotels (East) Ltd.,AHLEAST,Hospitality,"Hotel, Resort & Restaurants",242.6
61,Grand Continent Hotels Ltd.,GCHOTELS,Hospitality,"Hotel, Resort & Restaurants",231.88
62,Graviss Hospitality Ltd.,GRAVISSHO,Hospitality,"Hotel, Resort & Restaurants",215.01
63,GIR Natureview Resorts Ltd.,GIRRESORTS,Hospitality,"Hotel, Resort & Restaurants",202.29
64,Country Club Hospitality & Holidays Ltd.,CCHHL,Hospitality,"Hotel, Resort & Restaurants",200.9
65,Savera Industries Ltd.,SAVERA,Hospitality,"Hotel, Resort & Restaurants",198.9
66,Trade-Wings Ltd.,TRADWIN,Hospitality,Travel Services,189.27
67,HBG Hotels Ltd.,HBGHOTELS,Hospitality,"Hotel, Resort & Restaurants",179.91
68,The Byke Hospitality Ltd.,BYKE,Hospitality,"Hotel, Resort & Restaurants",165.1
69,CHL Ltd.,CHLLTD,Hospitality,"Hotel, Resort & Restaurants",151.3
70,Autoriders International Ltd.,AUTOINT,Hospitality,Travel Services,98.8
71,Transcorp International Ltd.,TRANSCOR,Hospitality,Travel Services,78.08
72,Jungle Camps India Ltd.,JUNGLECAMP,Hospitality,"Hotel, Resort & Restaurants",75.66
73,Eco Hotels & Resorts Ltd.,ECOHOTELS,Hospitality,"Hotel, Resort & Restaurants",74.77
74,TSC India Ltd.,TSC,Hospitality,Travel Services,73.68
75,Gujarat Hotels Ltd.,GUJHOTE,Hospitality,"Hotel, Resort & Restaurants",70.81
76,Saj Hotels Ltd.,SAJHOTELS,Hospitality,"Hotel, Resort & Restaurants",68.53
77,Vikram Kamats Hospitality Ltd.,KAMATS,Hospitality,Restaurants,65.55
78,Growington Ventures India Ltd.,GROWINGTON,Hospitality,Travel Services,62.94
79,MAC Hotels Ltd.,MACH,Hospitality,"Hotel, Resort & Restaurants",59.75
80,Royale Manor Hotels & Industries Ltd.,RAYALEMA,Hospitality,"Hotel, Resort & Restaurants",56.03
81,Blue Coast Hotels Ltd.,BLUECOAST,Hospitality,"Hotel, Resort & Restaurants",49.61
82,Roopshri Resorts Ltd.,ROOPSHRI,Hospitality,"Hotel, Resort & Restaurants",49.23
83,Jindal Hotels Ltd.,JINDHOT,Hospitality,"Hotel, Resort & Restaurants",43.18
84,Helloji Holidays Ltd.,HELLOJI,Hospitality,Travel Services,39.43
85,LGT Global Hospitality Ltd.,LGT,Hospitality,Travel Services,37.68
86,Yaan Enterprises Ltd.,YAANENT,Hospitality,Travel Services,37.2
87,Pecos Hotels and Pubs Ltd.,PECOS,Hospitality,Restaurants,33.01
88,Reliable Ventures India Ltd.,RELIABVEN,Hospitality,"Hotel, Resort & Restaurants",30.49
89,Best Eastern Hotels Ltd.,BESTEAST,Hospitality,"Hotel, Resort & Restaurants",30.41
90,Naturewings Holidays Ltd.,NHL,Hospitality,Travel Services,28.83
91,TGB Banquets And Hotels Ltd.,TGBHOTELS,Hospitality,"Hotel, Resort & Restaurants",28.73
92,Aruna Hotels Ltd.,ARUNAHTEL,Hospitality,"Hotel, Resort & Restaurants",24.48
93,Valencia India Ltd.,VALINDIA,Hospitality,"Hotel, Resort & Restaurants",24.11
94,West Leisure Resorts Ltd.,WESTLEIRES,Hospitality,"Hotel, Resort & Restaurants",23.78
95,Ajwa Fun World & Resort Ltd.,AJWAFUN,Hospitality,"Hotel, Resort & Restaurants",23.39
96,Velan Hotels Ltd.,VELHO,Hospitality,"Hotel, Resort & Restaurants",22.69
97,UHM Vacation Ltd.,UHMVL,Hospitality,Travel Services,22.33
98,Ras Resorts & Apart Hotels Ltd.,RASRESOR,Hospitality,"Hotel, Resort & Restaurants",21.44
99,Sri Havisha Hospitality and Infrastructure Ltd.,HAVISHA,Hospitality,"Hotel, Resort & Restaurants",20.73
100,Cindrella Hotels Ltd.,CINDHO,Hospitality,"Hotel, Resort & Restaurants",19.76
101,Travels & Rentals Ltd.,TRAVELS,Hospitality,Travel Services,18.58
102,HS India Ltd.,HOTLSILV,Hospitality,"Hotel, Resort & Restaurants",17.86
103,Howard Hotels Ltd.,HOWARHO,Hospitality,"Hotel, Resort & Restaurants",17.76
104,Univa Foods Ltd.,UNIVAFOODS,Hospitality,"Hotel, Resort & Restaurants",12.42
105,Lords Ishwar Hotels Ltd.,LORDSHOTL,Hospitality,"Hotel, Resort & Restaurants",12.09
106,Neopolitan Pizza and Foods Ltd.,NPFL,Hospitality,Restaurants,11.56
107,Woodsvilla Ltd.,WOODSVILA,Hospitality,"Hotel, Resort & Restaurants",9.21
108,Ashram Online.Com Ltd.,ASHRAM,Hospitality,"Hotel, Resort & Restaurants",6.35
109,Sailani Tours N Travels Ltd.,SAILANI,Hospitality,Travel Services,5.42
110,Mahasagar Travels Ltd.,MHSGRMS,Hospitality,Travel Services,4.4
111,Hanman Fit Ltd.,HANMAN,Hospitality,Amusement Parks/Recreation/Club,4.34
112,Silver Pearl Hospitality & Luxury Spaces Ltd.,SILVERPRL,Hospitality,"Hotel, Resort & Restaurants",3.93
113,Mega Corporation Ltd. - (Rights Entitlements (REs)),MEGACO-RE,Hospitality,Travel Services,0.0
114,Eco Hotels And Resorts Ltd. - (Rights Entitlements (REs)),ECOHO-RE,Hospitality,"Hotel, Resort & Restaurants",0.0
115,Travels & Rentals Ltd. - (Rights Entitlements (REs)),TRAVELS-RE,Hospitality,Travel Services,0.0
