Rank,Stock_Name,Symbol,Sector,Industry,Market_Cap_Cr
1,Linde India Ltd.,LINDEINDIA,Industrials Gases & Fuels,Industrial  Gases & Fuels,57093.1
2,Petronet LNG Ltd.,PETRONET,Industrials Gases & Fuels,Industrial  Gases & Fuels,42352.5
3,Bharat Coking Coal Ltd.,BHARATCOAL,Industrials Gases & Fuels,Industrial  Gases & Fuels,15689.43
4,Ellenbarrie Industrial Gases Ltd.,ELLEN,Industrials Gases & Fuels,Industrial  Gases & Fuels,4689.63
5,Refex Industries Ltd.,REFEX,Industrials Gases & Fuels,Industrial  Gases & Fuels,4074.05
6,Stallion India Fluorochemicals Ltd.,STALLION,Industrials Gases & Fuels,Industrial  Gases & Fuels,2669.39
7,IRM Energy Ltd.,IRMENERGY,Industrials Gases & Fuels,Industrial  Gases & Fuels,1208.18
8,Petro Carbon And Chemicals Ltd.,PCCL,Industrials Gases & Fuels,Industrial  Gases & Fuels,754.59
9,Rajasthan Securities Ltd.,RAJSEC,Industrials Gases & Fuels,Industrial  Gases & Fuels,426.65
10,Nilachal Carbo Metalicks Ltd.,NCML,Industrials Gases & Fuels,Industrial  Gases & Fuels,224.34
11,Hilltone Software & Gases Ltd.,HILLTONE,Industrials Gases & Fuels,Industrial  Gases & Fuels,54.56
12,National Oxygen Ltd.,NOL,Industrials Gases & Fuels,Industrial  Gases & Fuels,30.43
13,Bhagawati Gas Ltd.,BHAGGAS,Industrials Gases & Fuels,Industrial  Gases & Fuels,17.36
14,Rajasthan Cylinders & Containers Ltd.,RCCL,Industrials Gases & Fuels,Industrial  Gases & Fuels,10.78
15,Gagan Gases Ltd.,GAGAN,Industrials Gases & Fuels,Industrial  Gases & Fuels,8.87
16,Bhagawati Oxygen Ltd.,BHAGWOX,Industrials Gases & Fuels,Industrial  Gases & Fuels,8.79
17,Foundry Fuel Products Ltd.,FFPL,Industrials Gases & Fuels,Industrial  Gases & Fuels,4.11
18,The Southern Gas Ltd.,ZSOUTGAS,Industrials Gases & Fuels,Industrial  Gases & Fuels,0.06
19,Stallion India Fluorochemicals Ltd. - (Rights Entitlements (REs)),STALL-RE,Industrials Gases & Fuels,Industrial  Gases & Fuels,0.0
