Rank,Stock_Name,Symbol,Sector,Industry,Market_Cap_Cr
1,Tata Consultancy Services Ltd.,TCS,Information Technology,IT - Software,853506.85
2,Infosys Ltd.,INFY,Information Technology,IT - Software,474407.11
3,HCL Technologies Ltd.,HCLTECH,Information Technology,IT - Software,369058.45
4,Eternal Ltd.,ETERNAL,Information Technology,e-Commerce,306881.15
5,Wipro Ltd.,WIPRO,Information Technology,IT - Software,182039.6
6,Tech Mahindra Ltd.,TECHM,Information Technology,IT - Software,160214.46
7,LTM Ltd.,LTM,Information Technology,IT - Software,140301.88
8,One97 Communications Ltd.,PAYTM,Information Technology,Fintech,102837.75
9,Oracle Financial Services Software Ltd.,OFSS,Information Technology,IT - Software,102322.43
10,FSN E-Commerce Ventures Ltd.,NYKAA,Information Technology,e-Commerce,94802.17
11,Meesho Ltd.,MEESHO,Information Technology,e-Commerce,88425.77
12,Persistent Systems Ltd.,PERSISTENT,Information Technology,IT - Software,88024.5
13,Info Edge (India) Ltd.,NAUKRI,Information Technology,BPO/ITeS,86959.69
14,Coforge Ltd.,COFORGE,Information Technology,IT - Software,80611.53
15,PB Fintech Ltd.,POLICYBZR,Information Technology,Fintech,80462.64
16,Swiggy Ltd.,SWIGGY,Information Technology,e-Commerce,76405.48
17,Mphasis Ltd.,MPHASIS,Information Technology,IT - Software,49036.24
18,L&T Technology Services Ltd.,LTTS,Information Technology,IT - Software,36894.83
19,Tata Technologies Ltd.,TATATECH,Information Technology,IT - Software,35212.81
20,Hexaware Technologies Ltd.,HEXT,Information Technology,IT - Software,34815.69
21,Inventurus Knowledge Solutions Ltd.,IKS,Information Technology,IT - Software,31542.01
22,Affle 3i Ltd.,AFFLE,Information Technology,BPO/ITeS,23526.35
23,Tata Elxsi Ltd.,TATAELXSI,Information Technology,IT - Software,23480.7
24,Pine Labs Ltd.,PINELABS,Information Technology,Fintech,19021.35
25,Firstsource Solutions Ltd.,FSL,Information Technology,BPO/ITeS,18933.13
26,eClerx Services Ltd.,ECLERX,Information Technology,BPO/ITeS,17834.37
27,KPIT Technologies Ltd.,KPITTECH,Information Technology,IT - Software,16805.02
28,IDream Film Infrastructure Company Ltd.,IDREAM,Information Technology,IT - Software,16246.72
29,Fractal Analytics Ltd.,FRACTAL,Information Technology,IT - Software,14341.89
30,Nazara Technologies Ltd.,NAZARA,Information Technology,IT - Software,13685.56
31,E2E Networks Ltd.,E2E,Information Technology,IT - Software,13646.43
32,CarTrade Tech Ltd.,CARTRADE,Information Technology,e-Commerce,13517.16
33,Amagi Media Labs Ltd.,AMAGI,Information Technology,IT - Software,13383.0
34,Zensar Technologies Ltd.,ZENSARTECH,Information Technology,IT - Software,11171.81
35,RateGain Travel Technologies Ltd.,RATEGAIN,Information Technology,IT - Software,11158.62
36,Indiamart Intermesh Ltd.,INDIAMART,Information Technology,e-Commerce,10760.81
37,Brainbees Solutions Ltd.,FIRSTCRY,Information Technology,e-Commerce,10760.24
38,Intellect Design Arena Ltd.,INTELLECT,Information Technology,IT - Software,9815.16
39,Sonata Software Ltd.,SONATSOFTW,Information Technology,IT - Software,9140.45
40,Cyient Ltd.,CYIENT,Information Technology,IT - Software,9076.32
41,Birlasoft Ltd.,BSOFT,Information Technology,IT - Software,8717.92
42,Tanla Platforms Ltd.,TANLA,Information Technology,IT - Software,7720.63
43,Newgen Software Technologies Ltd.,NEWGEN,Information Technology,IT - Software,7625.71
44,ASM Technologies Ltd.,ASMTEC,Information Technology,IT - Software,7056.14
45,Seshaasai Technologies Ltd.,STYL,Information Technology,Fintech,6612.2
46,Happiest Minds Technologies Ltd.,HAPPSTMNDS,Information Technology,IT - Software,6397.06
47,Just Dial Ltd.,JUSTDIAL,Information Technology,BPO/ITeS,5769.3
48,Mastek Ltd.,MASTEK,Information Technology,IT - Software,5687.08
49,CE Info Systems Ltd.,MAPMYINDIA,Information Technology,IT - Software,5419.43
50,AvenuesAI Ltd.,CCAVENUE,Information Technology,Fintech,5401.97
51,Datamatics Global Services Ltd.,DATAMATICS,Information Technology,IT - Software,5124.82
52,Quess Corp Ltd.,QUESS,Information Technology,BPO/ITeS,5054.34
