Rank,Stock_Name,Symbol,Sector,Industry,Market_Cap_Cr
1,Larsen & Toubro Ltd.,LT,Infrastructure,Engineering - Construction,558973.11
2,Rail Vikas Nigam Ltd.,RVNL,Infrastructure,Engineering - Construction,47225.71
3,IRB Infrastructure Developers Ltd.,IRB,Infrastructure,Engineering - Construction,23262.23
4,Kalpataru Projects International Ltd.,KPIL,Infrastructure,Engineering - Construction,23090.16
5,Cemindia Projects Ltd.,CEMPRO,Infrastructure,Engineering - Construction,22317.78
6,Engineers India Ltd.,ENGINERSIN,Infrastructure,Engineering - Construction,13699.78
7,Ircon International Ltd.,IRCON,Infrastructure,Engineering - Construction,11742.34
8,KEC International Ltd.,KEC,Infrastructure,Engineering - Construction,11710.14
9,Techno Electric & Engineering Company Ltd.,TECHNOE,Infrastructure,Engineering - Construction,11270.01
10,Afcons Infrastructure Ltd.,AFCONS,Infrastructure,Engineering - Construction,9884.21
11,Waaree Renewable Technologies Ltd.,WAAREERTL,Infrastructure,Engineering - Construction,9313.76
12,NCC Ltd.,NCC,Infrastructure,Engineering - Construction,8833.8
13,GR Infraprojects Ltd.,GRINFRA,Infrastructure,Engineering - Construction,8434.62
14,Welspun Enterprises Ltd.,WELENT,Infrastructure,Engineering - Construction,7773.32
15,Power Mech Projects Ltd.,POWERMECH,Infrastructure,Engineering - Construction,7751.52
16,Inox Green Energy Services Ltd.,INOXGREEN,Infrastructure,Engineering - Construction,7475.78
17,Dilip Buildcon Ltd.,DBL,Infrastructure,Engineering - Construction,6697.6
18,Nirlon Ltd.,NIRLON,Infrastructure,Engineering - Construction,5679.24
19,PNC Infratech Ltd.,PNCINFRA,Infrastructure,Engineering - Construction,5593.84
20,Ceigall India Ltd.,CEIGALL,Infrastructure,Engineering - Construction,5555.39
21,ISGEC Heavy Engineering Ltd.,ISGEC,Infrastructure,Engineering - Construction,5381.62
22,Hindustan Construction Company Ltd.,HCC,Infrastructure,Engineering - Construction,5191.79
23,GE Power India Ltd.,GVPIL,Infrastructure,Engineering - Construction,5169.12
24,Sterling and Wilson Renewable Energy Ltd.,SWSOLAR,Infrastructure,Engineering - Construction,4715.2
25,Man InfraConstruction Ltd.,MANINFRA,Infrastructure,Engineering - Construction,4277.65
26,J Kumar Infraprojects Ltd.,JKIL,Infrastructure,Engineering - Construction,3753.77
27,KNR Constructions Ltd.,KNRCON,Infrastructure,Engineering - Construction,3719.33
28,Enviro Infra Engineers Ltd.,EIEL,Infrastructure,Engineering - Construction,3459.7
29,H.G. Infra Engineering Ltd.,HGINFRA,Infrastructure,Engineering - Construction,3413.66
30,Ashoka Buildcon Ltd.,ASHOKA,Infrastructure,Engineering - Construction,3153.93
31,Interarch Building Solutions Ltd.,INTERARCH,Infrastructure,Engineering - Construction,2919.1
32,Patel Engineering Ltd.,PATELENG,Infrastructure,Engineering - Construction,2827.6
33,Ramky Infrastructure Ltd.,RAMKY,Infrastructure,Engineering - Construction,2706.67
34,Oriana Power Ltd.,ORIANA,Infrastructure,Engineering - Construction,2637.12
35,GK Energy Ltd.,GKENERGY,Infrastructure,Engineering - Construction,2588.96
36,Bajel Projects Ltd.,BAJEL,Infrastructure,Engineering - Construction,2175.68
37,EMS Ltd.,EMSLIMITED,Infrastructure,Engineering - Construction,2009.38
38,Simplex Infrastructures Ltd.,SIMPLEXINF,Infrastructure,Engineering - Construction,1988.85
39,GHV Infra Projects Ltd.,GHVINFRA,Infrastructure,Engineering - Construction,1969.09
40,Indian Hume Pipe Company Ltd.,INDIANHUME,Infrastructure,Engineering - Construction,1943.17
41,BGR Energy Systems Ltd.,BGRENERGY,Infrastructure,Engineering - Construction,1861.77
42,KP Energy Ltd.,KPEL,Infrastructure,Engineering - Construction,1709.19
43,SPML Infra Ltd.,SPMLINFRA,Infrastructure,Engineering - Construction,1620.09
44,Vikran Engineering Ltd.,VIKRAN,Infrastructure,Engineering - Construction,1606.79
45,GPT Infraprojects Ltd.,GPTINFRA,Infrastructure,Engineering - Construction,1463.93
46,Solarworld Energy Solutions Ltd.,SOLARWORLD,Infrastructure,Engineering - Construction,1372.46
47,Jyoti Structures Ltd.,JYOTISTRUC,Infrastructure,Transmission Towers / Equipments,1270.05
48,Technocraft Ventures Ltd.,TECHNOCRAF,Infrastructure,Engineering - Construction,1232.35
