Rank,Stock_Name,Symbol,Sector,Industry,Market_Cap_Cr
1,JSW Steel Ltd.,JSWSTEEL,Iron & Steel,Steel & Iron Products,309839.02
2,Tata Steel Ltd.,TATASTEEL,Iron & Steel,Steel & Iron Products,228946.58
3,Jindal Steel Ltd.,JINDALSTEL,Iron & Steel,Steel/Sponge Iron/Pig Iron,112209.69
4,Lloyds Metals & Energy Ltd.,LLOYDSME,Iron & Steel,Steel/Sponge Iron/Pig Iron,107974.0
5,Steel Authority Of India Ltd.,SAIL,Iron & Steel,Steel & Iron Products,70012.4
6,Jindal Stainless Ltd.,JSL,Iron & Steel,Steel & Iron Products,60772.09
7,APL Apollo Tubes Ltd.,APLAPOLLO,Iron & Steel,Steel & Iron Products,58141.67
8,Welspun Corp Ltd.,WELCORP,Iron & Steel,Steel & Iron Products,49405.35
9,Shyam Metalics And Energy Ltd.,SHYAMMETL,Iron & Steel,Steel & Iron Products,27897.83
10,Sarda Energy & Minerals Ltd.,SARDAEN,Iron & Steel,Steel & Iron Products,18700.87
11,Jindal Saw Ltd.,JINDALSAW,Iron & Steel,Steel & Iron Products,17039.7
12,Ratnamani Metals & Tubes Ltd.,RATNAMANI,Iron & Steel,Steel & Iron Products,16467.76
13,Godawari Power And Ispat Ltd.,GPIL,Iron & Steel,Steel & Iron Products,15858.18
14,Usha Martin Ltd.,USHAMART,Iron & Steel,Steel & Iron Products,14872.93
15,Vedanta Iron And Steel Ltd.,VISL,Iron & Steel,Steel & Iron Products,14421.51
16,Gallantt Ispat Ltd.,GALLANTT,Iron & Steel,Steel & Iron Products,14005.15
17,NMDC Steel Ltd.,NSLNISP,Iron & Steel,Steel & Iron Products,13038.27
18,Jayaswal Neco Industries Ltd.,JAYNECOIND,Iron & Steel,Steel & Iron Products,8591.39
19,Maharashtra Seamless Ltd.,MAHSEAMLES,Iron & Steel,Steel & Iron Products,8212.14
20,Mishra Dhatu Nigam Ltd.,MIDHANI,Iron & Steel,Steel & Iron Products,7810.2
21,Kirloskar Ferrous Industries Ltd.,KIRLFER,Iron & Steel,Steel & Iron Products,7118.6
