Rank,Stock_Name,Symbol,Sector,Industry,Market_Cap_Cr
1,Adani Ports and Special Economic Zone Ltd.,ADANIPORTS,Logistics,Port,390521.07
2,JSW Infrastructure Ltd.,JSWINFRA,Logistics,Port,79033.65
3,Container Corporation Of India Ltd.,CONCOR,Logistics,Logistics,40137.27
4,Delhivery Ltd.,DELHIVERY,Logistics,Logistics,34386.76
5,The Great Eastern Shipping Company Ltd.,GESHIP,Logistics,Shipping,18327.02
6,Shadowfax Technologies Ltd.,SHADOWFAX,Logistics,Logistics,14769.61
7,Shipping Corporation Of India Ltd.,SCI,Logistics,Shipping,13610.65
8,Blue Dart Express Ltd.,BLUEDART,Logistics,Courier  Services,12208.62
9,Shreeji Shipping Global Ltd.,SHREEJISPG,Logistics,Shipping,10552.22
10,BlackBuck Ltd.,BLACKBUCK,Logistics,Logistics,10390.75
11,Gujarat Pipavav Port Ltd.,GPPL,Logistics,Port,7664.94
12,Transport Corporation Of India Ltd.,TCI,Logistics,Logistics,7013.15
13,TVS Supply Chain Solutions Ltd.,TVSSCS,Logistics,Logistics,5444.7
14,VRL Logistics Ltd.,VRLLOG,Logistics,Logistics,5181.63
15,Afcom Holdings Ltd.,AFCOM,Logistics,Logistics,4310.68
16,Mahindra Logistics Ltd.,MAHLOG,Logistics,Logistics,4018.01
17,Seamec Ltd.,SEAMECLTD,Logistics,Shipping,3907.06
18,Sindhu Trade Links Ltd.,SINDHUTRAD,Logistics,Logistics,3628.16
19,Dredging Corporation Of India Ltd.,DREDGECORP,Logistics,Shipping,3269.42
20,Gateway Distriparks Ltd.,GATEWAY,Logistics,Logistics,2743.04
21,TCI Express Ltd.,TCIEXP,Logistics,Logistics,2155.95
22,Desi Farms India Ltd.,DESIFARMS,Logistics,Logistics,2073.86
23,Shipping Corporation of India Land and Assets Ltd.,SCILAL,Logistics,Shipping,1876.24
24,Allcargo Logistics Ltd.,ALLCARGO,Logistics,Logistics,1497.78
25,Navkar Corporation Ltd.,NAVKARCORP,Logistics,Logistics,1496.91
26,Allcargo Global Ltd.,AGL,Logistics,Logistics,1463.36
27,Reliance Industrial Infrastructure Ltd.,RIIL,Logistics,Logistics,1120.95
28,Tejas Cargo India Ltd.,TEJASCARGO,Logistics,Logistics,1004.1
29,Sical Logistics Ltd.,SICALLOG,Logistics,Logistics,921.52
30,Western Carriers (India) Ltd.,WCIL,Logistics,Logistics,886.6
31,Shree Vasu Logistics Ltd.,SVLL,Logistics,Logistics,869.15
32,Ritco Logistics Ltd.,RITCO,Logistics,Logistics,849.81
33,Allcargo Terminals Ltd.,ATL,Logistics,Logistics,692.87
34,Transindia Real Estate Ltd.,TREL,Logistics,Logistics,638.56
35,Snowman Logistics Ltd.,SNOWMAN,Logistics,Logistics,633.93
36,Glottis Ltd.,GLOTTIS,Logistics,Logistics,601.27
37,ABS Marine Services Ltd.,ABSMARINE,Logistics,Shipping,575.57
38,SJ Logistics (India) Ltd.,SJLOGISTIC,Logistics,Logistics,500.41
39,Iware Supplychain Services Ltd.,IWARE,Logistics,Logistics,498.24
40,Blue Water Logistics Ltd.,BLUEWATER,Logistics,Logistics,454.8
41,Paradeep Parivahan Ltd.,PPARIVAH,Logistics,Port,426.6
42,Lancer Container Lines Ltd.,LANCER,Logistics,Logistics,408.22
43,Committed Cargo Care Ltd.,COMMITTED,Logistics,Logistics,406.1
44,AVG Logistics Ltd.,AVG,Logistics,Logistics,386.42
45,Tara Chand Infralogistic Solutions Ltd.,TARACHAND,Logistics,Logistics,377.49
46,Essar Shipping Ltd.,ESSARSHPNG,Logistics,Shipping,362.62
47,Transworld Shipping Lines Ltd.,TRANSWORLD,Logistics,Shipping,342.54
48,Om Freight Forwarders Ltd.,OMFREIGHT,Logistics,Logistics,323.32
49,Ashwini Container Movers Ltd.,ASHWINI,Logistics,Logistics,292.5
50,Oneclick Logistics India Ltd.,OLIL,Logistics,Logistics,289.12
51,Tiger Logistics (India) Ltd.,TIGERLOGS,Logistics,Logistics,270.66
52,Prime Fresh Ltd.,PRIMEFRESH,Logistics,Logistics,263.09
53,Globe International Carriers Ltd.,GICL,Logistics,Logistics,258.06
54,Destiny Logistics & Infra Ltd.,DESTINY,Logistics,Logistics,225.69
55,Maheshwari Logistics Ltd.,MAHESHWARI,Logistics,Logistics,214.58
56,Sadhav Shipping Ltd.,SADHAV,Logistics,Shipping,189.16
57,Aspinwall And Company Ltd.,ASPINWALL,Logistics,Logistics,184.51
58,DRS Dilip Roadlines Ltd.,DRSDILIP,Logistics,Logistics,165.54
59,Global Ocean Logistics India Ltd.,GLOBALLOG,Logistics,Logistics,155.91
60,North Eastern Carrying Corporation Ltd.,NECCLTD,Logistics,Logistics,155.71
61,Garware Offshore Services Ltd.,GARWAOFFS,Logistics,Shipping,149.11
62,Lakshmi Engineering And Warehousing Ltd.,LAKSHMIEW,Logistics,Logistics,139.57
63,Ruchi Infrastructure Ltd.,RUCHINFRA,Logistics,Logistics,139.25
64,Sanco Trans Ltd.,SANCTRN,Logistics,Logistics,126.98
65,Jayesh Logistics Ltd.,JAYESH,Logistics,Logistics,125.94
66,Rapid Fleet Management Services Ltd.,RAPIDFLEET,Logistics,Logistics,121.93
67,Chartered Logistics Ltd.,CHLOGIST,Logistics,Logistics,120.15
68,OBCL Ltd.,OBCL,Logistics,Logistics,115.77
69,VL E-Governance & IT Solutions Ltd.,VLEGOV,Logistics,Courier  Services,107.58
70,Sampark India Logistics Ltd.,SILL,Logistics,Logistics,106.65
71,Total Transport Systems Ltd.,TOTAL,Logistics,Logistics,103.49
72,Jet Freight Logistics Ltd.,JETFREIGHT,Logistics,Logistics,103.2
73,Premier Roadlines Ltd.,PRLIND,Logistics,Logistics,98.65
74,Patel Integrated Logistics Ltd.,PATINTLOG,Logistics,Logistics,88.26
75,Repono Ltd.,REPONO,Logistics,Logistics,85.32
76,Zeal Global Services Ltd.,ZEAL,Logistics,Logistics,84.52
77,Chowgule Steamships Ltd.,CHOWGULSTM,Logistics,Shipping,82.57
78,Ashapura Logistics Ltd.,ASHALOG,Logistics,Logistics,81.27
79,Flomic Global Logistics Ltd.,FLOMIC,Logistics,Logistics,77.45
80,Brace Port Logistics Ltd.,BRACEPORT,Logistics,Logistics,73.46
81,Accuracy Shipping Ltd.,ACCURACY,Logistics,Logistics,72.72
82,Kesar Terminals & Infrastructure Ltd.,KTIL,Logistics,Logistics,66.11
83,Hariyana Ship Breakers Ltd.,HRYNSHP,Logistics,Shipping,62.56
84,Shreeji Translogistics Ltd.,STL,Logistics,Logistics,57.37
85,Arvind Port and Infra Ltd.,ARVINDPORT,Logistics,Shipping,56.69
86,Rapid Multimodal Logistics Ltd.,RAPID,Logistics,Logistics,50.69
87,Deccan Transcon Leasing Ltd.,DECCANTRAN,Logistics,Shipping,49.99
88,Seacoast Shipping Services Ltd.,SEACOAST,Logistics,Shipping,49.56
89,Cargotrans Maritime Ltd.,CARGOTRANS,Logistics,Logistics,49.45
90,Sunsky Logistics Ltd.,SUNSKY,Logistics,Logistics,48.47
91,Pranik Logistics Ltd.,PRANIK,Logistics,Logistics,45.14
92,Neptune Logitek Ltd.,NEPLOG,Logistics,Logistics,44.95
93,Kaushalya Logistics Ltd.,KLL,Logistics,Logistics,41.04
94,Shipwaves Online Ltd.,SHIPWAVES,Logistics,Logistics,37.64
95,ABC India Ltd.,ABCINDQ,Logistics,Logistics,33.89
96,East West Freight Carriers Ltd.,EASTWEST,Logistics,Logistics,31.38
97,Timescan Logistics (India) Ltd.,TIMESCAN,Logistics,Logistics,28.65
98,Cargosol Logistics Ltd.,CARGOSOL,Logistics,Logistics,26.42
99,Arshiya Ltd.,ARSHIYA,Logistics,Logistics,24.5
100,Transvoy Logistics India Ltd.,TRANSVOY,Logistics,Logistics,23.97
101,Marinetrans India Ltd.,MARINETRAN,Logistics,Logistics,22.91
102,Balurghat Technologies Ltd.,BALTE,Logistics,Logistics,22.26
