Rank,Stock_Name,Symbol,Sector,Industry,Market_Cap_Cr
1,Sun TV Network Ltd.,SUNTV,Media & Entertainment,TV Broadcasting & Software Production,19097.34
2,PVR Inox Ltd.,PVRINOX,Media & Entertainment,"Film Production, Distribution & Entertainment",11523.27
3,Saregama India Ltd.,SAREGAMA,Media & Entertainment,"Film Production, Distribution & Entertainment",10161.06
4,Zee Entertainment Enterprises Ltd.,ZEEL,Media & Entertainment,TV Broadcasting & Software Production,9816.51
5,Tips Music Ltd.,TIPSMUSIC,Media & Entertainment,"Film Production, Distribution & Entertainment",8567.91
6,MPS Ltd.,MPSLTD,Media & Entertainment,Printing And Publishing,4808.44
7,Network 18 Media & Investments Ltd.,NETWORK18,Media & Entertainment,TV Broadcasting & Software Production,4471.8
8,D.B. Corp Ltd.,DBCORP,Media & Entertainment,Printing And Publishing,3782.56
9,Navneet Education Ltd.,NAVNETEDUL,Media & Entertainment,Printing And Publishing,2972.0
10,Signpost India Ltd.,SIGNPOST,Media & Entertainment,Advertising & Media,1427.12
11,Jagran Prakashan Ltd.,JAGRAN,Media & Entertainment,Printing And Publishing,1360.77
12,Den Networks Ltd.,DEN,Media & Entertainment,TV Broadcasting & Software Production,1310.46
13,Panorama Studios International Ltd.,PANORAMA,Media & Entertainment,"Film Production, Distribution & Entertainment",1236.5
14,JOJO Ltd.,JOJO,Media & Entertainment,"Film Production, Distribution & Entertainment",1122.0
15,Balaji Telefilms Ltd.,BALAJITELE,Media & Entertainment,"Film Production, Distribution & Entertainment",1120.65
16,New Delhi Television Ltd.,NDTV,Media & Entertainment,TV Broadcasting & Software Production,865.37
17,The Sandesh Ltd.,SANDESH,Media & Entertainment,Printing And Publishing,821.36
18,Bright Outdoor Media Ltd.,BRIGHT,Media & Entertainment,Advertising & Media,792.94
19,TV Today Network Ltd.,TVTODAY,Media & Entertainment,TV Broadcasting & Software Production,688.58
20,Zee Media Corporation Ltd.,ZEEMEDIA,Media & Entertainment,TV Broadcasting & Software Production,634.45
21,Hindustan Media Ventures Ltd.,HMVL,Media & Entertainment,Printing And Publishing,633.58
22,HT Media Ltd.,HTMEDIA,Media & Entertainment,Printing And Publishing,620.11
23,GTPL Hathway Ltd.,GTPL,Media & Entertainment,TV Broadcasting & Software Production,595.15
24,Aqylon Nexus Ltd.,AQYLON,Media & Entertainment,"Film Production, Distribution & Entertainment",583.58
25,Maagh Advertising And Marketing Services Ltd.,MAAGHADV,Media & Entertainment,Advertising & Media,571.98
26,Dish TV India Ltd.,DISHTV,Media & Entertainment,TV Broadcasting & Software Production,519.23
27,Basilic Fly Studio Ltd.,BASILIC,Media & Entertainment,"Film Production, Distribution & Entertainment",507.7
28,S Chand And Company Ltd.,SCHAND,Media & Entertainment,Printing And Publishing,486.76
29,Entertainment Network (India) Ltd.,ENIL,Media & Entertainment,TV Broadcasting & Software Production,481.47
30,RK Swamy Ltd.,RKSWAMY,Media & Entertainment,Advertising & Media,479.53
31,Repro India Ltd.,REPRO,Media & Entertainment,Printing And Publishing,469.38
32,Vashu Bhagnani Industries Ltd.,POOJAENT,Media & Entertainment,"Film Production, Distribution & Entertainment",460.47
33,Optimystix Entertainment India Ltd.,OPTIMYSTIX,Media & Entertainment,"Film Production, Distribution & Entertainment",439.78
34,NDL Ventures Ltd.,NDLVENTURE,Media & Entertainment,TV Broadcasting & Software Production,429.14
35,Connplex Cinemas Ltd.,CONNPLEX,Media & Entertainment,"Film Production, Distribution & Entertainment",392.98
36,DJ Mediaprint & Logistics Ltd.,DJML,Media & Entertainment,Printing And Publishing,386.42
