Rank,Stock_Name,Symbol,Sector,Industry,Market_Cap_Cr
1,Coal India Ltd.,COALINDIA,Mining,Mining & Minerals,251624.2
2,NMDC Ltd.,NMDC,Mining,Mining & Minerals,74185.36
3,KIOCL Ltd.,KIOCL,Mining,Mining & Minerals,23650.63
4,Gujarat Mineral Development Corporation Ltd.,GMDCLTD,Mining,Mining & Minerals,18474.21
5,Sandur Manganese & Iron Ores Ltd.,SANDUMA,Mining,Mining & Minerals,9632.17
6,Ashapura Minechem Ltd.,ASHAPURMIN,Mining,Mining & Minerals,5764.04
7,MOIL Ltd.,MOIL,Mining,Mining & Minerals,5583.63
8,Deccan Gold Mines Ltd.,DECNGOLD,Mining,Mining & Minerals,4477.74
9,The Orissa Minerals Development Company Ltd.,ORISSAMINE,Mining,Mining & Minerals,2918.52
10,20 Microns Ltd.,20MICRONS,Mining,Mining & Minerals,671.33
11,ASI Industries Ltd.,ASIIL,Mining,Mining & Minerals,225.19
12,RAW Edge Industrial Solutions Ltd.,RAWEDGE,Mining,Mining & Minerals,15.98
13,Kachchh Minerals Ltd.,KACHCHH,Mining,Mining & Minerals,14.44
14,Rajdarshan Industries Ltd.,ARENTERP,Mining,Mining & Minerals,12.17
15,Deccan Gold Mines Ltd. - (Rights Entitlements (REs)),DECNGO-RE,Mining,Mining & Minerals,0.0
