Rank,Stock_Name,Symbol,Sector,Industry,Market_Cap_Cr
1,Aegis Vopak Terminals Ltd.,AEGISVOPAK,Miscellaneous,Miscellaneous,29832.67
2,Rubicon Research Ltd.,RUBICON,Miscellaneous,Miscellaneous,26782.24
3,Wework India Management Ltd.,WEWORK,Miscellaneous,Miscellaneous,9809.42
4,Prabha Energy Ltd,PRABHA,Miscellaneous,Miscellaneous,2285.8
5,Qualitek Labs Ltd.,QLL,Miscellaneous,Miscellaneous,498.71
6,Modi Rubber Ltd.,MODIRUBBER,Miscellaneous,Miscellaneous,298.81
7,Vaarad Ventures Ltd.,VAARAD,Miscellaneous,Miscellaneous,220.16
8,Shubhshree Biofuels Energy Ltd.,SHUBHSHREE,Miscellaneous,Miscellaneous,171.94
9,Rajputana Biodiesel Ltd.,RAJPUTANA,Miscellaneous,Miscellaneous,151.22
10,3rd Rock Multimedia Ltd.,3RDROCK,Miscellaneous,Miscellaneous,145.5
11,Value 360 Communications Ltd.,VALUE360,Miscellaneous,Miscellaneous,129.44
12,Shree OSFM E-Mobility Ltd.,SHREEOSFM,Miscellaneous,Miscellaneous,91.5
13,Adtech Systems Ltd.,ADTECH,Miscellaneous,Miscellaneous,62.64
14,Kontor Space Ltd.,KONTOR,Miscellaneous,Miscellaneous,47.98
15,Modipon Ltd.,MODIPON,Miscellaneous,Miscellaneous,39.42
16,Triliance Polymers Ltd.,TRILIANCE,Miscellaneous,Miscellaneous,22.42
17,Square Four Projects India Ltd.,SFPIL,Miscellaneous,Miscellaneous,16.01
18,Associated Coaters Ltd.,ASSOCIATED,Miscellaneous,Miscellaneous,13.59
19,Aarcon Facilities Ltd.,AARCON,Miscellaneous,Miscellaneous,7.22
20,Manor Estates & Industries Ltd.,KARANWO,Miscellaneous,Miscellaneous,6.26
21,Multipurpose Trading & Agencies Ltd.,ZMULTIPU,Miscellaneous,Miscellaneous,4.25
22,Technojet Consultants Ltd.,TECHCON,Miscellaneous,Miscellaneous,1.99
23,Prabha Energy Ltd. - (Rights Entitlements (REs)),PRABHA-RE,Miscellaneous,Miscellaneous,0.0
24,Prabha Energy Ltd. - (Partly Paid-up),PRABHAPP1,Miscellaneous,Miscellaneous,0.0
25,Prabha Energy Ltd. - (Partly Paid-up1),PRABHAPP1,Miscellaneous,Miscellaneous,0.0
