Rank,Stock_Name,Symbol,Sector,Industry,Market_Cap_Cr
1,Hindustan Zinc Ltd.,HINDZINC,Non - Ferrous Metals,Metal - Non Ferrous,237420.67
2,Hindalco Industries Ltd.,HINDALCO,Non - Ferrous Metals,Metal - Non Ferrous,232430.64
3,Vedanta Aluminium Metal Ltd.,VAML,Non - Ferrous Metals,Aluminium & Aluminium Products,173562.57
4,Vedanta Ltd.,VEDL,Non - Ferrous Metals,Metal - Non Ferrous,105384.96
5,National Aluminium Company Ltd.,NATIONALUM,Non - Ferrous Metals,Aluminium & Aluminium Products,69057.36
6,Hindustan Copper Ltd.,HINDCOPPER,Non - Ferrous Metals,Metal - Non Ferrous,51141.07
7,Vedanta Oil and Gas Ltd.,VOGL,Non - Ferrous Metals,Metal - Non Ferrous,14527.09
8,Gravita India Ltd.,GRAVITA,Non - Ferrous Metals,Metal - Non Ferrous,13238.28
9,Jain Resource Recycling Ltd.,JAINREC,Non - Ferrous Metals,Metal - Non Ferrous,10135.17
10,CMR Green Technologies Ltd.,CMRGREEN,Non - Ferrous Metals,Metal - Non Ferrous,4674.64
11,Pondy Oxides & Chemicals Ltd.,POCL,Non - Ferrous Metals,Metal - Non Ferrous,3749.07
12,Ardee Industries Ltd.,ARDEE,Non - Ferrous Metals,Metal - Non Ferrous,1865.04
13,Onix Solar Energy Ltd.,ONIXSOLAR,Non - Ferrous Metals,Metal - Non Ferrous,1456.84
14,Arfin India Ltd.,ARFIN,Non - Ferrous Metals,Aluminium & Aluminium Products,1416.43
15,Bhagyanagar India Ltd.,BHAGYANGR,Non - Ferrous Metals,Metal - Non Ferrous,1219.94
16,MMP Industries Ltd.,MMP,Non - Ferrous Metals,Aluminium & Aluminium Products,857.34
17,Baheti Recycling Industries Ltd.,BAHETI,Non - Ferrous Metals,Aluminium & Aluminium Products,821.13
18,Maan Aluminium Ltd.,MAANALU,Non - Ferrous Metals,Aluminium & Aluminium Products,724.02
19,Sunlite Recycling Industries Ltd.,SUNLITE,Non - Ferrous Metals,Metal - Non Ferrous,640.94
20,JTL Defence Ltd.,JTLDEFENCE,Non - Ferrous Metals,Metal - Non Ferrous,543.47
21,Pocl Enterprises Ltd.,POEL,Non - Ferrous Metals,Metal - Non Ferrous,500.26
22,HRS Aluglaze Ltd.,HRS,Non - Ferrous Metals,Aluminium & Aluminium Products,483.02
23,ANB Metal Cast Ltd.,AMCL,Non - Ferrous Metals,Metal - Non Ferrous,463.92
24,Mardia Samyoung Capillary Tubes Co Ltd.,MSCTC,Non - Ferrous Metals,Metal - Non Ferrous,460.08
25,Nile Ltd.,NILE,Non - Ferrous Metals,Metal - Non Ferrous,446.98
26,Msafe Equipments Ltd.,MSAFE,Non - Ferrous Metals,Aluminium & Aluminium Products,432.48
27,Shera Energy Ltd.,SHERA,Non - Ferrous Metals,Metal - Non Ferrous,416.81
28,Euro Panel Products Ltd.,EUROBOND,Non - Ferrous Metals,Aluminium & Aluminium Products,391.88
29,Jainik Power Cables Ltd.,JAINIK,Non - Ferrous Metals,Aluminium & Aluminium Products,297.0
30,Parmeshwar Metal Ltd.,PARMESHWAR,Non - Ferrous Metals,Metal - Non Ferrous,292.34
31,Manaksia Aluminium Company Ltd.,MANAKALUCO,Non - Ferrous Metals,Aluminium & Aluminium Products,259.38
32,PG Foils Ltd.,PGFOILQ,Non - Ferrous Metals,Aluminium & Aluminium Products,254.24
33,Century Extrusions Ltd.,CENTEXT,Non - Ferrous Metals,Aluminium & Aluminium Products,171.04
34,Baroda Extrusion Ltd.,BAROEXT,Non - Ferrous Metals,Metal - Non Ferrous,165.61
35,M Tek Copper Ltd.,MCL,Non - Ferrous Metals,Metal - Non Ferrous,155.26
36,Rajputana Industries Ltd.,RAJINDLTD,Non - Ferrous Metals,Metal - Non Ferrous,151.06
37,Sharvaya Metals Ltd.,SHARVAYA,Non - Ferrous Metals,Aluminium & Aluminium Products,146.34
38,Cubex Tubings Ltd.,CUBEXTUB,Non - Ferrous Metals,Metal - Non Ferrous,118.76
39,Narmadesh Brass Industries Ltd.,NARMADESH,Non - Ferrous Metals,Metal - Non Ferrous,96.12
40,Rajnandini Metal Ltd.,RAJMET,Non - Ferrous Metals,Metal - Non Ferrous,88.75
41,Siyaram Recycling Industries Ltd.,SIYARAM,Non - Ferrous Metals,Metal - Non Ferrous,81.71
42,Shalimar Wires Industries Ltd.,SHALIWIR,Non - Ferrous Metals,Metal - Non Ferrous,81.28
43,Bonlon Industries Ltd.,BONLON,Non - Ferrous Metals,Metal - Non Ferrous,69.63
44,Hind Aluminium Industries Ltd.,HINDALUMI,Non - Ferrous Metals,Aluminium & Aluminium Products,62.09
45,Palco Metals Ltd.,PALCO,Non - Ferrous Metals,Aluminium & Aluminium Products,60.82
46,Sacheta Metals Ltd.,SACHEMT,Non - Ferrous Metals,Aluminium & Aluminium Products,47.25
47,Sagardeep Alloys Ltd.,SAGARDEEP,Non - Ferrous Metals,Metal - Non Ferrous,40.44
48,Jivial Industries Ltd.,JIVIAL,Non - Ferrous Metals,Aluminium & Aluminium Products,37.65
49,Kanishk Aluminium India Ltd.,KANISHK,Non - Ferrous Metals,Aluminium & Aluminium Products,33.6
50,Sampat Aluminium Ltd.,SAMPAT,Non - Ferrous Metals,Aluminium & Aluminium Products,32.23
51,Nirav Commercials Ltd.,NIRAVCOM,Non - Ferrous Metals,Aluminium & Aluminium Products,26.81
52,Om Metallogic Ltd.,OML,Non - Ferrous Metals,Aluminium & Aluminium Products,25.05
53,Sudal Industries Ltd.,SUDAI,Non - Ferrous Metals,Aluminium & Aluminium Products,24.79
54,Southern Magnesium & Chemicals Ltd.,SOUTHMG,Non - Ferrous Metals,Metal - Non Ferrous,21.14
55,MSR Copper Ltd.,MSRINDIA,Non - Ferrous Metals,Metal - Non Ferrous,19.05
56,ND Metal Industries Ltd.,NDMETAL,Non - Ferrous Metals,Metal - Non Ferrous,18.72
57,Poojawestern Metaliks Ltd.,POOJA,Non - Ferrous Metals,Metal - Non Ferrous,17.63
58,Krupalu Metals Ltd.,KRUPALU,Non - Ferrous Metals,Metal - Non Ferrous,16.24
59,Galada Power & Telecommunication Ltd.,GALADA,Non - Ferrous Metals,Aluminium & Aluminium Products,14.05
60,B.C. Power Controls Ltd.,BCP,Non - Ferrous Metals,Metal - Non Ferrous,13.61
61,Starlit Power Systems Ltd.,STARLIT,Non - Ferrous Metals,Metal - Non Ferrous,3.61
62,Onix Solar Energy Ltd. - (Rights Entitlements (REs)),ONIX-RE,Non - Ferrous Metals,Metal - Non Ferrous,0.0
