Rank,Stock_Name,Symbol,Sector,Industry,Market_Cap_Cr
1,Physicswallah Ltd.,PWL,Other,Educational Institutions,33998.39
2,NBCC (India) Ltd.,NBCC,Other,Engineering Consultancy,24097.5
3,Urban Company Ltd.,URBANCO,Other,Professional Services,22261.38
4,Prime Focus Ltd.,PFOCUS,Other,Business Support,20929.55
5,Sagility Ltd.,SAGILITY,Other,Business Support,19778.61
6,Central Mine Planning & Design Institute Ltd.,CMPDI,Other,Engineering Consultancy,16943.22
7,International Gemological Institute Ltd.,IGIL,Other,Business Support,14952.73
8,Indegene Ltd.,INDGN,Other,Business Support,13364.0
9,VA Tech Wabag Ltd.,WABAG,Other,Environmental Services,11882.41
10,Rites Ltd.,RITES,Other,Engineering Consultancy,10630.96
11,Nesco Ltd.,NESCO,Other,Business Support,7320.09
12,Leap India Ltd.,LEAPIND,Other,Business Support,6392.18
13,SIS Ltd.,SIS,Other,Professional Services,6079.35
14,Latent View Analytics Ltd.,LATENTVIEW,Other,Business Support,5891.15
15,Smartworks Coworking Spaces Ltd.,SMARTWORKS,Other,Business Support,5585.23
16,Ion Exchange (India) Ltd.,IONEXCHANG,Other,Environmental Services,5475.06
17,CMS Info Systems Ltd.,CMSINFO,Other,Business Support,4219.27
18,Indiqube Spaces Ltd.,INDIQUBE,Other,Business Support,3823.38
19,Shanti Educational Initiatives Ltd.,SEIL,Other,Educational Institutions,3422.86
20,Crizac Ltd.,CRIZAC,Other,Educational Institutions,3135.69
21,BLS E-Services Ltd.,BLSE,Other,Professional Services,2863.8
22,EFC (I) Ltd.,EFCIL,Other,Business Support,2659.33
23,Medi Assist Healthcare Services Ltd.,MEDIASSIST,Other,Business Support,2607.84
24,Veranda Learning Solutions Ltd.,VERANDA,Other,Educational Institutions,2366.86
25,TeamLease Services Ltd.,TEAMLEASE,Other,Professional Services,1910.86
26,Awfis Space Solutions Ltd.,AWFIS,Other,Business Support,1909.31
27,Kapston Services Ltd.,KAPSTON,Other,Professional Services,1790.63
28,Media Matrix Worldwide Ltd,MMWL,Other,Business Support,1788.6
29,Bluspring Enterprises Ltd.,BLUSPRING,Other,Professional Services,1658.73
30,Updater Services Ltd.,UDS,Other,Professional Services,1415.06
31,Gretex Corporate Services Ltd.,GCSL,Other,Professional Services,1254.96
32,Antony Waste Handling Cell Ltd.,AWHCL,Other,Environmental Services,1108.46
33,Jaro Institute of Technology Management and Research Ltd.,JARO,Other,Educational Institutions,1007.4
34,TAC Infosec Ltd.,TAC,Other,Business Support,972.78
35,Eco Recycling Ltd.,ECORECO,Other,Environmental Services,962.79
36,Krystal Integrated Services Ltd,KRYSTAL,Other,Professional Services,866.26
37,JITF Infralogistics Ltd.,JITFINFRA,Other,Business Support,814.04
38,Exhicon Events Media Solutions Ltd.,EXHICON,Other,Professional Services,799.94
