Rank,Stock_Name,Symbol,Sector,Industry,Market_Cap_Cr
1,JK Paper Ltd.,JKPAPER,Paper,Paper & Paper Products,6884.67
2,West Coast Paper Mills Ltd.,WSTCSTPAPR,Paper,Paper & Paper Products,4027.0
3,KS Smart Technologies Ltd.,KSSMART,Paper,Paper & Paper Products,1807.41
4,Seshasayee Paper and Boards Ltd.,SESHAPAPER,Paper,Paper & Paper Products,1461.6
5,Andhra Paper Ltd.,ANDHRAPAP,Paper,Paper & Paper Products,1182.96
6,Tamil Nadu Newsprint & Papers Ltd.,TNPL,Paper,Paper & Paper Products,976.22
7,String Metaverse Ltd.,META,Paper,Paper & Paper Products,962.51
8,NR Agarwal Industries Ltd.,NRAIL,Paper,Paper & Paper Products,891.72
9,Pudumjee Paper Products Ltd.,PDMJEPAPER,Paper,Paper & Paper Products,838.69
10,Kuantum Papers Ltd.,KUANTUM,Paper,Paper & Paper Products,703.78
11,Emami Paper Mills Ltd.,EMAMIPAP,Paper,Paper & Paper Products,665.49
12,Subam Papers Ltd.,SUBAM,Paper,Paper & Paper Products,604.27
13,Satia Industries Ltd.,SATIA,Paper,Paper & Paper Products,597.2
14,Prabhatam Infra Venture Ltd.,PRABHATAM,Paper,Paper & Paper Products,584.64
15,B&B Triplewall Containers Ltd.,BBTCL,Paper,Paper & Paper Products,502.53
16,Shree Rama Newsprint Ltd.,RAMANEWS,Paper,Paper & Paper Products,461.01
17,Orient Paper & Industries Ltd.,ORIENTPPR,Paper,Paper & Paper Products,359.65
18,Pakka Ltd.,PAKKA,Paper,Paper & Paper Products,353.36
19,Ruchira Papers Ltd.,RUCHIRA,Paper,Paper & Paper Products,310.24
20,Genus Paper & Boards Ltd.,GENUSPAPER,Paper,Paper & Paper Products,290.55
21,Shree Ajit Pulp & Paper Ltd.,SAPPL,Paper,Paper & Paper Products,249.56
22,Worth Peripherals Ltd.,WORTHPERI,Paper,Paper & Paper Products,238.39
23,Star Paper Mills Ltd.,STARPAPER,Paper,Paper & Paper Products,232.17
24,South India Paper Mills Ltd.,STHINPA,Paper,Paper & Paper Products,197.72
25,Shreyans Industries Ltd.,SHREYANIND,Paper,Paper & Paper Products,179.93
26,Nikita Greentech Recycling Ltd.,NIKITA,Paper,Paper & Paper Products,179.58
27,Shree Krishna Paper Mills & Industries Ltd.,SKPMIL,Paper,Paper & Paper Products,141.3
28,Magnum Ventures Ltd.,MAGNUM,Paper,Paper & Paper Products,130.87
29,Ganga Papers India Ltd.,GANGAPA,Paper,Paper & Paper Products,105.73
30,Utkal Speciality Industries India Ltd.,UTKAL,Paper,Paper & Paper Products,104.12
31,Aaradhya Disposal Industries Ltd.,AARADHYA,Paper,Paper & Paper Products,98.05
32,Nath Industries Ltd.,NATHIND,Paper,Paper & Paper Products,92.93
33,Balkrishna Paper Mills Ltd.,BALKRISHNA,Paper,Paper & Paper Products,56.26
34,Perfectpac Ltd.,PERFEPA,Paper,Paper & Paper Products,55.21
35,Malu Paper Mills Ltd.,MALUPAPER,Paper,Paper & Paper Products,53.31
36,Three M Paper Boards Ltd.,THREEMPAPE,Paper,Paper & Paper Products,46.17
37,Superior Industrial Enterprises Ltd.,SIEL,Paper,Paper & Paper Products,44.17
38,Mohit Paper Mills Ltd.,MOHITPPR,Paper,Paper & Paper Products,39.19
39,Vapi Enterprise Ltd.,VAPIENTER,Paper,Paper & Paper Products,35.35
40,Mahip Industries Ltd.,MAHIP,Paper,Paper & Paper Products,34.94
41,Kay Power and Paper Ltd.,KAYPOWR,Paper,Paper & Paper Products,32.84
42,Abril Paper Tech Ltd.,ABRIL,Paper,Paper & Paper Products,27.54
43,Shreenath Paper Products Ltd.,SHREENATH,Paper,Paper & Paper Products,25.55
44,Sangal Papers Ltd.,SANPA,Paper,Paper & Paper Products,25.22
45,Aten Papers & Foam Ltd.,ATENPAPERS,Paper,Paper & Paper Products,21.89
46,Saffron Industries Ltd.,SAFFRON,Paper,Paper & Paper Products,18.58
47,Astron Paper & Board Mill Ltd.,ASTRON,Paper,Paper & Paper Products,15.9
48,Shree Karthik Papers Ltd.,SHKARTP,Paper,Paper & Paper Products,14.14
49,Rama Paper Mills Ltd.,RAMAPPR-B,Paper,Paper & Paper Products,11.6
50,Gratex Industries Ltd.,GRATEXI,Paper,Paper & Paper Products,7.47
51,Agio Paper & Industries Ltd.,AGIOPAPER,Paper,Paper & Paper Products,5.72
52,Coral Newsprints Ltd.,CORNE,Paper,Paper & Paper Products,4.48
53,Tridev InfraEstates Ltd.,ASHUTPM,Paper,Paper & Paper Products,4.17
54,Gujarat Winding Systems Ltd.,GUJWIND,Paper,Paper & Paper Products,3.48
55,Bio Green Papers Ltd. - (Rights Entitlements (REs)),BGPL-RE,Paper,Paper & Paper Products,0.0
