Rank,Stock_Name,Symbol,Sector,Industry,Market_Cap_Cr
1,Supreme Industries Ltd.,SUPREMEIND,Plastic Products,Plastic Products,45107.24
2,Astral Ltd.,ASTRAL,Plastic Products,Plastic Products,41775.1
3,Garware Hi-Tech Films Ltd.,GRWRHITECH,Plastic Products,Plastic Products,16456.2
4,Shaily Engineering Plastics Ltd.,SHAILY,Plastic Products,Plastic Products,15489.82
5,Finolex Industries Ltd.,FINPIPE,Plastic Products,Plastic Products,9881.09
6,Time Technoplast Ltd.,TIMETECHNO,Plastic Products,Plastic Products,9551.84
7,Kingfa Science & Technology (India) Ltd.,KINGFA,Plastic Products,Plastic Products,7906.89
8,Responsive Industries Ltd.,RESPONIND,Plastic Products,Plastic Products,4429.7
9,Polyplex Corporation Ltd.,POLYPLEX,Plastic Products,Plastic Products,3708.23
10,Uflex Ltd.,UFLEX,Plastic Products,Plastic Products,3533.31
11,Prince Pipes and Fittings Ltd.,PRINCEPIPE,Plastic Products,Plastic Products,3143.8
12,Ddev Plastiks Industries Ltd.,DDEVPLSTIK,Plastic Products,Plastic Products,2866.3
13,Nilkamal Ltd.,NILKAMAL,Plastic Products,Plastic Products,2766.49
14,Xpro India Ltd.,XPROINDIA,Plastic Products,Plastic Products,2575.41
15,Cosmo First Ltd.,COSMOFIRST,Plastic Products,Plastic Products,2460.26
16,EPack Prefab Technologies Ltd.,EPACKPEB,Plastic Products,Plastic Products,2310.94
17,Apollo Pipes Ltd.,APOLLOPIPE,Plastic Products,Plastic Products,2260.77
18,Tarsons Products Ltd.,TARSONS,Plastic Products,Plastic Products,1937.24
19,Jain Irrigation Systems Ltd.,JISLJALEQS,Plastic Products,Plastic Products,1896.57
20,Jai Corp Ltd.,JAICORPLTD,Plastic Products,Plastic Products,1765.58
21,All Time Plastics Ltd.,ALLTIME,Plastic Products,Plastic Products,1414.97
22,Commercial Syn Bags Ltd.,COMSYN,Plastic Products,Plastic Products,1162.17
23,Ester Industries Ltd.,ESTER,Plastic Products,Plastic Products,1056.4
24,IIRM Holdings India Ltd.,IIRM,Plastic Products,Plastic Products,914.84
25,Premier Polyfilm Ltd.,PREMIERPOL,Plastic Products,Plastic Products,770.9
26,Shri Jagdamba Polymers Ltd.,SHRJAGP,Plastic Products,Plastic Products,666.92
27,Prakash Pipes Ltd.,PPL,Plastic Products,Plastic Products,654.76
28,Kanpur Plastipack Ltd.,KANPRPLA,Plastic Products,Plastic Products,615.66
29,TPL Plastech Ltd.,TPLPLASTEH,Plastic Products,Plastic Products,600.86
30,Nahar Poly Films Ltd.,NAHARPOLY,Plastic Products,Plastic Products,596.26
31,Shree Rama Multi-Tech Ltd.,SHREERAMA,Plastic Products,Plastic Products,587.14
32,Hitech Corporation Ltd.,HITECHCORP,Plastic Products,Plastic Products,566.97
33,Dhabriya Polywood Ltd.,DHABRIYA,Plastic Products,Plastic Products,543.7
34,Bai-Kakaji Polymers Ltd.,BAIKAKAJI,Plastic Products,Plastic Products,504.18
35,Cropster Agro Ltd.,CROPSTER,Plastic Products,Plastic Products,491.4
36,Shish Industries Ltd.,SHISHIND,Plastic Products,Plastic Products,428.7
37,Captain Polyplast Ltd.,CPL,Plastic Products,Plastic Products,410.42
38,Kriti Industries (India) Ltd.,KRITI,Plastic Products,Plastic Products,361.28
39,Shree Tirupati Balajee FIBC Ltd.,TIRUPATI,Plastic Products,Plastic Products,344.42
40,Essen Speciality Films Ltd.,ESFL,Plastic Products,Plastic Products,332.84
41,Kaka Industries Ltd.,KAKA,Plastic Products,Plastic Products,321.83
42,RDB Rasayans Ltd.,RDBRL,Plastic Products,Plastic Products,300.97
43,CCME Global Ltd.,CCME,Plastic Products,Plastic Products,298.65
44,Bhavik Enterprises Ltd.,BHAVIK,Plastic Products,Plastic Products,287.05
45,Kisan Mouldings Ltd.,KISAN,Plastic Products,Plastic Products,274.77
46,Jujhar Logistics Ltd.,CDG,Plastic Products,Plastic Products,261.87
47,HCP Plastene Bulkpack Ltd.,HPBL,Plastic Products,Plastic Products,238.0
48,Cool Caps Industries Ltd.,COOLCAPS,Plastic Products,Plastic Products,235.25
49,Shree Tirupati Balajee Agro Trading Company Ltd,BALAJEE,Plastic Products,Plastic Products,226.36
50,Mitsu Chem Plast Ltd.,MITSU,Plastic Products,Plastic Products,224.72
51,Aeroflex Neu Ltd.,AERONEU,Plastic Products,Plastic Products,223.14
52,Ecoplast Ltd.,ECOPLAST,Plastic Products,Plastic Products,213.74
53,PIL ITALICA Lifestyle Ltd.,PILITA,Plastic Products,Plastic Products,199.51
54,Master Components Ltd.,MASTER,Plastic Products,Plastic Products,195.2
55,Tainwala Chemicals & Plastics (India) Ltd.,TAINWALCHM,Plastic Products,Plastic Products,192.71
56,Polysil Irrigation Systems Ltd.,POLYSIL,Plastic Products,Plastic Products,188.05
57,Caprihans India Ltd.,CAPRIHANS,Plastic Products,Plastic Products,184.28
58,Rajshree Polypack Ltd.,RPPL,Plastic Products,Plastic Products,173.21
59,KV Toys India Ltd.,KVTOYS,Plastic Products,Plastic Products,171.54
60,Emmbi Industries Ltd.,EMMBI,Plastic Products,Plastic Products,168.78
61,REX Pipes and Cables Industries Ltd.,REXPIPES,Plastic Products,Plastic Products,159.8
62,Pramara Promotions Ltd.,PRAMARA,Plastic Products,Plastic Products,150.25
63,BD Industries (Pune) Ltd.,BDI,Plastic Products,Plastic Products,148.57
64,Hindustan Adhesives Ltd.,HINDADH,Plastic Products,Plastic Products,143.08
65,Barflex Polyfilms Ltd.,BARFLEX,Plastic Products,Plastic Products,140.82
66,National Plastic Technologies Ltd.,NATPLASTI,Plastic Products,Plastic Products,140.59
67,OK Play India Ltd.,OKPLA,Plastic Products,Plastic Products,140.09
68,Captain Pipes Ltd.,CAPPIPES,Plastic Products,Plastic Products,137.82
69,Prima Plastics Ltd.,PRIMAPLA,Plastic Products,Plastic Products,137.45
70,Harshdeep Hortico Ltd.,HARSHDEEP,Plastic Products,Plastic Products,137.2
71,Bright Brothers Ltd.,BRIGHTBR,Plastic Products,Plastic Products,136.72
72,Texmo Pipes And Products Ltd.,TEXMOPIPES,Plastic Products,Plastic Products,134.44
73,Aeron Composite Ltd.,AERON,Plastic Products,Plastic Products,129.44
74,Atharva Poly-Plast Ltd.,ATHARVA,Plastic Products,Plastic Products,123.34
75,Mega Flex Plastics Ltd.,MEGAFLEX,Plastic Products,Plastic Products,121.31
76,Avro India Ltd.,AVROIND,Plastic Products,Plastic Products,115.25
77,Srivasavi Adhesive Tapes Ltd.,SRIVASAVI,Plastic Products,Plastic Products,113.39
78,AMD Industries Ltd.,AMDIND,Plastic Products,Plastic Products,104.82
79,Anka India Ltd.,ANKIN,Plastic Products,Plastic Products,104.38
80,Beardsell Ltd.,BEARDSELL,Plastic Products,Plastic Products,97.49
81,GM Polyplast Ltd.,GMPL,Plastic Products,Plastic Products,96.91
82,Rungta Irrigation Ltd.,RUNGTAIR,Plastic Products,Plastic Products,96.08
83,Vigor Plast India Ltd.,VIGOR,Plastic Products,Plastic Products,94.15
84,Narmada Macplast Drip Irrigation Systems Ltd.,NARMP,Plastic Products,Plastic Products,81.3
85,APT Packaging Ltd.,APTPACK,Plastic Products,Plastic Products,79.58
86,Jyoti Global Plast Ltd.,JYOTIGLOBL,Plastic Products,Plastic Products,77.5
87,Clara Industries Ltd.,CLARA,Plastic Products,Plastic Products,77.4
88,Jumbo Bag Ltd.,JUMBO,Plastic Products,Plastic Products,77.16
89,Tokyo Plast International Ltd.,TOKYOPLAST,Plastic Products,Plastic Products,76.49
