Rank,Stock_Name,Symbol,Sector,Industry,Market_Cap_Cr
1,Adani Power Ltd.,ADANIPOWER,Power,Power Generation/Distribution,395818.36
2,NTPC Ltd.,NTPC,Power,Power Generation/Distribution,330656.32
3,Power Grid Corporation Of India Ltd.,POWERGRID,Power,Power Generation/Distribution,247861.09
4,Adani Green Energy Ltd.,ADANIGREEN,Power,Power Generation/Distribution,221545.19
5,Adani Energy Solutions Ltd.,ADANIENSOL,Power,Power Generation/Distribution,197751.74
6,Tata Power Company Ltd.,TATAPOWER,Power,Power Generation/Distribution,122445.41
7,JSW Energy Ltd.,JSWENERGY,Power,Power Generation/Distribution,102253.33
8,NTPC Green Energy Ltd.,NTPCGREEN,Power,Power Generation/Distribution,77547.51
9,NHPC Ltd.,NHPC,Power,Power Generation/Distribution,77246.32
10,Torrent Power Ltd.,TORNTPOWER,Power,Power Generation/Distribution,66003.81
11,NLC India Ltd.,NLCINDIA,Power,Power Generation/Distribution,38181.04
12,Acme Solar Holdings Ltd.,ACMESOLAR,Power,Power Generation/Distribution,26458.31
13,SJVN Ltd.,SJVN,Power,Power Generation/Distribution,26408.22
14,CESC Ltd.,CESC,Power,Power Generation/Distribution,22256.33
15,Clean Max Enviro Energy Solutions Ltd.,CLEANMAX,Power,Power Generation/Distribution,14673.91
16,Juniper Green Energy Ltd.,JNPR,Power,Power Generation/Distribution,14310.31
17,Vedanta Power Ltd.,VEDPOWER,Power,Power Generation/Distribution,14280.74
18,Jaiprakash Power Ventures Ltd.,JPPOWER,Power,Power Generation/Distribution,11911.31
19,Indian Energy Exchange Ltd.,IEX,Power,Power Generation/Distribution,11079.28
20,Reliance Power Ltd.,RPOWER,Power,Power Generation/Distribution,9508.14
21,GMR Power and Urban Infra Ltd.,GMRP&UI,Power,Power Generation/Distribution,7585.24
22,KPI Green Energy Ltd.,KPIGREEN,Power,Power Generation/Distribution,6299.81
23,PTC India Ltd.,PTC,Power,Power Generation/Distribution,4779.05
24,RattanIndia Power Ltd.,RTNPOWER,Power,Power Generation/Distribution,4537.74
25,Ravindra Energy Ltd.,RELTD,Power,Power Generation/Distribution,3283.01
26,Reliance Infrastructure Ltd.,RELINFRA,Power,Power Generation/Distribution,2731.7
27,Gujarat Industries Power Company Ltd.,GIPCL,Power,Power Generation/Distribution,2727.14
28,BF Utilities Ltd.,BFUTILITIE,Power,Power Generation/Distribution,2011.07
29,Orient Green Power Company Ltd.,GREENPOWER,Power,Power Generation/Distribution,1140.02
30,India Power Corporation Ltd.,DPSCLTD,Power,Power Generation/Distribution,712.81
31,GVK Power & Infrastructure Ltd.,GVKPIL,Power,Power Generation/Distribution,372.69
32,Surana Telecom And Power Ltd.,SURANAT&P,Power,Power Generation/Distribution,225.23
33,Indowind Energy Ltd.,INDOWIND,Power,Power Generation/Distribution,142.0
34,Globus Power Generation Ltd.,GLOBUSCON,Power,Power Generation/Distribution,121.71
35,Energy Development Company Ltd.,ENERGYDEV,Power,Power Generation/Distribution,79.7
36,Sungarner Energies Ltd.,SEL,Power,Power Generation/Distribution,72.99
37,WAA Solar Ltd.,WAA,Power,Power Generation/Distribution,59.97
38,Karma Energy Ltd.,KARMAENG,Power,Power Generation/Distribution,46.99
39,Sri KPR Industries Ltd.,SRIKPRIND,Power,Power Generation/Distribution,40.71
40,Amalgamated Electricity Company Ltd.,AMALGAM,Power,Power Generation/Distribution,40.01
41,Gita Renewable Energy Ltd.,GITARENEW,Power,Power Generation/Distribution,29.86
42,Veer Energy & Infrastructure Ltd.,VEERENRGY,Power,Power Generation/Distribution,19.42
43,Indowind Energy Ltd. - (Rights Entitlements (REs)),INDO-RE2,Power,Power Generation/Distribution,0.0
44,Ravindra Energy Ltd. - (Rights Entitlements (REs)),RELTD-RE,Power,Power Generation/Distribution,0.0
