Rank,Stock_Name,Symbol,Sector,Industry,Market_Cap_Cr
1,DLF Ltd.,DLF,Realty,Construction - Real Estate,164113.17
2,Lodha Developers Ltd.,LODHA,Realty,Construction - Real Estate,123898.14
3,The Phoenix Mills Ltd.,PHOENIXLTD,Realty,Construction - Real Estate,68528.37
4,Prestige Estates Projects Ltd.,PRESTIGE,Realty,Construction - Real Estate,68382.73
5,Oberoi Realty Ltd.,OBEROIRLTY,Realty,Construction - Real Estate,67019.16
6,Godrej Properties Ltd.,GODREJPROP,Realty,Construction - Real Estate,59986.24
7,Anant Raj Ltd.,ANANTRAJ,Realty,Construction - Real Estate,22663.25
8,Brigade Enterprises Ltd.,BRIGADE,Realty,Construction - Real Estate,19317.81
9,Aditya Birla Real Estate Ltd.,ABREL,Realty,Construction - Real Estate,15651.36
10,Sobha Ltd.,SOBHA,Realty,Construction - Real Estate,14210.96
11,Signatureglobal (India) Ltd.,SIGNATURE,Realty,Construction - Real Estate,11407.53
12,Embassy Developments Ltd.,EMBDL,Realty,Construction - Real Estate,8581.6
13,Sri Lotus Developers And Realty Ltd.,LOTUSDEV,Realty,Construction - Real Estate,8420.71
14,Mahindra Lifespace Developers Ltd.,MAHLIFE,Realty,Construction - Real Estate,8211.69
15,Max Estates Ltd.,MAXESTATES,Realty,Construction - Real Estate,7241.02
16,Ganesh Housing Ltd.,GANESHHOU,Realty,Construction - Real Estate,6907.37
17,Indiabulls Ltd.,IBULLSLTD,Realty,Construction - Real Estate,6299.09
18,Valor Estate Ltd.,DBREALTY,Realty,Construction - Real Estate,6077.67
19,Kalpataru Ltd.,KALPATARU,Realty,Construction - Real Estate,5861.57
20,Ahluwalia Contracts (India) Ltd.,AHLUCONT,Realty,Construction - Real Estate,5619.59
21,Puravankara Ltd.,PURVA,Realty,Construction - Real Estate,5193.58
22,Keystone Realtors Ltd,RUSTOMJEE,Realty,Construction - Real Estate,4690.85
23,Sunteck Realty Ltd.,SUNTECK,Realty,Construction - Real Estate,4397.18
24,Kolte-Patil Developers Ltd.,KOLTEPATIL,Realty,Construction - Real Estate,4240.68
25,Kesar India Ltd.,KESAR,Realty,Construction - Real Estate,3956.37
26,Raymond Realty Ltd.,RAYMONDREL,Realty,Construction - Real Estate,3845.3
27,Hemisphere Properties India Ltd.,HEMIPROP,Realty,Construction - Real Estate,3769.13
28,AGI Infra Ltd.,AGIIL,Realty,Construction - Real Estate,3767.42
29,TARC Ltd.,TARC,Realty,Construction - Real Estate,3690.18
30,PSP Projects Ltd.,PSPPROJECT,Realty,Construction - Real Estate,3657.55
31,Ashiana Housing Ltd.,ASHIANA,Realty,Construction - Real Estate,3644.03
32,Arvind Smartspaces Ltd.,ARVSMART,Realty,Construction - Real Estate,3011.99
33,Elpro International Ltd.,ELPROINTL,Realty,Construction - Real Estate,2963.34
34,Hubtown Ltd.,HUBTOWN,Realty,Construction - Real Estate,2645.91
35,Arkade Developers Ltd.,ARKADE,Realty,Construction - Real Estate,2481.39
36,Marathon Nextgen Realty Ltd.,MARATHON,Realty,Construction - Real Estate,2462.4
37,Ajmera Realty & Infra India Ltd.,AJMERA,Realty,Construction - Real Estate,2326.12
38,Alembic Ltd.,ALEMBICLTD,Realty,Construction - Real Estate,2227.07
39,Grand Oak Canyons Distillery Ltd.,GRANDOAK,Realty,Construction - Real Estate,2019.49
40,Omaxe Ltd.,OMAXE,Realty,Construction - Real Estate,1814.19
41,Capacit'e Infraprojects Ltd.,CAPACITE,Realty,Construction - Real Estate,1810.1
42,Garuda Construction & Engineering Ltd.,GARUDA,Realty,Construction - Real Estate,1701.73
43,Texmaco Infrastructure & Holdings Ltd.,TEXINFRA,Realty,Construction - Real Estate,1380.03
44,Shriram Properties Ltd.,SHRIRAMPPS,Realty,Construction - Real Estate,1331.62
45,Avishkar Infra Realty Ltd.,AIRLTD,Realty,Construction - Real Estate,1296.37
46,B.L. Kashyap and Sons Ltd.,BLKASHYAP,Realty,Construction - Real Estate,1165.52
47,Arihant Foundations & Housing Ltd.,ARIHANT,Realty,Construction - Real Estate,1158.54
48,Arihant Superstructures Ltd.,ARIHANTSUP,Realty,Construction - Real Estate,1068.92
49,Unitech Ltd.,UNITECH,Realty,Construction - Real Estate,1036.06
50,Suraj Estate Developers Ltd.,SURAJEST,Realty,Construction - Real Estate,1027.37
51,B-Right Real Estate Ltd.,BRRL,Realty,Construction - Real Estate,967.52
52,PVP Ventures Ltd.,PVP,Realty,Construction - Real Estate,921.83
53,Modi's Navnirman Ltd.,MODIS,Realty,Construction - Real Estate,782.18
54,GeeCee Ventures Ltd.,GEECEE,Realty,Construction - Real Estate,773.94
55,Eldeco Housing & Industries Ltd.,ELDEHSG,Realty,Construction - Real Estate,750.41
56,Yogi Ltd.,YOGI,Realty,Construction - Real Estate,724.05
57,BEML Land Assets Ltd.,BLAL,Realty,Construction - Real Estate,706.29
58,Prozone Realty Ltd.,PROZONER,Realty,Construction - Real Estate,643.83
59,Shraddha Prime Projects Ltd.,SHRADDHA,Realty,Construction - Real Estate,633.08
60,Axentra Corp Ltd.,AXENTRA,Realty,Construction - Real Estate,606.07
61,Hazoor Multi Projects Ltd.,HAZOOR,Realty,Construction - Real Estate,600.76
62,Pansari Developers Ltd.,PANSARI,Realty,Construction - Real Estate,543.82
63,Peninsula Land Ltd.,PENINLAND,Realty,Construction - Real Estate,514.18
64,Nila Spaces Ltd.,NILASPACES,Realty,Construction - Real Estate,484.88
65,Suratwwala Business Group Ltd.,SBGLP,Realty,Construction - Real Estate,447.41
66,Atal Realtech Ltd.,ATALREAL,Realty,Construction - Real Estate,446.89
67,Chavda Infra Ltd.,CHAVDA,Realty,Construction - Real Estate,442.82
68,Emami Realty Ltd.,EMAMIREAL,Realty,Construction - Real Estate,390.51
69,Vishnusurya Projects and Infra Ltd.,VISHNUINFR,Realty,Construction - Real Estate,388.36
70,RDB Real Estate Constructions Ltd.,RRECL,Realty,Construction - Real Estate,369.11
71,RDB Infrastructure And Power Ltd.,RDBIPL,Realty,Construction - Real Estate,364.34
72,Nimbus Projects Ltd.,NIMBSPROJ,Realty,Construction - Real Estate,345.13
73,Deepak Builders & Engineers India Ltd.,DBEIL,Realty,Construction - Real Estate,330.26
74,Ashima Ltd.,ASHIMASYN,Realty,Construction - Real Estate,329.66
75,National Standard (India) Ltd.,NATIONSTD,Realty,Construction - Real Estate,299.6
76,Mason Infratech Ltd.,MASON,Realty,Construction - Real Estate,298.89
77,Baroda Rayon Corporation Ltd.,BARODARY,Realty,Construction - Real Estate,284.67
78,Nila Infrastructures Ltd.,NILAINFRA,Realty,Construction - Real Estate,281.63
79,Madala Holdings Ltd.,MADALA,Realty,Construction - Real Estate,279.62
80,Shradha Realty Ltd.,SHRADHA,Realty,Construction - Real Estate,279.04
81,Ravinder Heights Ltd.,RVHL,Realty,Construction - Real Estate,259.41
82,SAB Industries Ltd.,SAB,Realty,Construction - Real Estate,258.57
83,Sumit Woods Ltd.,SUMIT,Realty,Construction - Real Estate,244.37
84,Espire Hospitality Ltd.,ESPIRE,Realty,Construction - Real Estate,243.91
85,SV Global Mill Ltd.,SVGLOBAL,Realty,Construction - Real Estate,238.51
86,Ratnabhumi Developers Ltd.,RATNABHUMI,Realty,Construction - Real Estate,238.38
87,Alpine Housing Development Corporation Ltd.,ALPINEHOU,Realty,Construction - Real Estate,232.11
88,Hampton Sky Realty Ltd.,HAMPTON,Realty,Construction - Real Estate,221.3
89,Lancor Holdings Ltd.,LANCORHOL,Realty,Construction - Real Estate,213.52
90,Veer Global Infraconstruction Ltd.,VGIL,Realty,Construction - Real Estate,212.96
91,Samor Reality Ltd.,SAMOR,Realty,Construction - Real Estate,208.01
92,Vipul Ltd.,VIPULLTD,Realty,Construction - Real Estate,201.71
93,Rainbow Foundations Ltd.,RAINBOWF,Realty,Construction - Real Estate,197.33
94,HB Estate Developers Ltd.,HBESD,Realty,Construction - Real Estate,172.2
95,Supreme Holdings & Hospitality (India) Ltd.,SUPREME,Realty,Construction - Real Estate,160.81
96,AMJ Land Holdings Ltd.,AMJLAND,Realty,Construction - Real Estate,159.9
97,Thakkers Developers Ltd.,THAKDEV,Realty,Construction - Real Estate,148.46
98,Mahendra Realtors & Infrastructure Ltd.,MRIL,Realty,Construction - Real Estate,144.01
99,Prajay Engineers Syndicate Ltd.,PRAENG,Realty,Construction - Real Estate,143.86
100,VR Infraspace Ltd.,VR,Realty,Construction - Real Estate,134.35
101,Raja Bahadur International Ltd.,RAJABAH,Realty,Construction - Real Estate,125.75
102,Shri Krishna Devcon Ltd.,SHRIKRISH,Realty,Construction - Real Estate,112.0
103,Landmark Property Development Company Ltd.,LPDC,Realty,Construction - Real Estate,109.06
104,Shantidoot Infra Services Ltd.,SISL,Realty,Construction - Real Estate,106.08
105,Art Nirman Ltd.,ARTNIRMAN,Realty,Construction - Real Estate,102.49
106,Maruti Infrastructure Ltd.,MAINFRA,Realty,Construction - Real Estate,100.78
107,Dharan Infra-EPC Ltd.,DHARAN,Realty,Construction - Real Estate,99.35
108,Grovy India Ltd.,GROVY,Realty,Construction - Real Estate,95.07
109,Prerna Infrabuild Ltd.,PRERINFRA,Realty,Construction - Real Estate,92.13
110,Garnet Construction Ltd.,GARNET,Realty,Construction - Real Estate,80.27
111,Radhe Developers (India) Ltd.,RADHEDE,Realty,Construction - Real Estate,79.04
112,Mega Nirman & Industries Ltd.,MNIL,Realty,Construction - Real Estate,78.87
113,Shervani Industrial Syndicate Ltd.,SHERVANI,Realty,Construction - Real Estate,75.65
114,PVV Infra Ltd.,PVVINFRA,Realty,Construction - Real Estate,75.03
115,Housing Development And Infrastructure Ltd.,HDIL,Realty,Construction - Real Estate,73.0
116,Shristi Infrastructure Development Corporation Ltd,SHRISTI,Realty,Construction - Real Estate,65.27
117,Parsvnath Developers Ltd.,PARSVNATH,Realty,Construction - Real Estate,64.84
118,Skyline Millars Ltd.,SKYLMILAR,Realty,Construction - Real Estate,61.91
119,Satchmo Holdings Ltd.,SATCH,Realty,Construction - Real Estate,61.4
120,BDR Buildcon Ltd.,BDR,Realty,Construction - Real Estate,58.24
121,Ansal Properties & Infrastructure Ltd.,ANSALAPI,Realty,Construction - Real Estate,54.46
122,Ansal Buildwell Ltd.,ANSALBU,Realty,Construction - Real Estate,53.75
123,Victoria Mills Ltd.,VICTMILL,Realty,Construction - Real Estate,52.14
124,Rodium Realty Ltd.,RODIUM,Realty,Construction - Real Estate,51.54
125,Vivid Mercantile Ltd.,VIVIDM,Realty,Construction - Real Estate,50.73
126,Country Condo's Ltd.,COUNCODOS,Realty,Construction - Real Estate,50.21
127,Prime Property Development Corporation Ltd.,PRIMEPRO,Realty,Construction - Real Estate,47.09
128,Real Eco-Energy Ltd.,REALECO,Realty,Construction - Real Estate,47.0
129,Manjeera Constructions Ltd.,MANJEERA,Realty,Construction - Real Estate,45.03
130,Simplex Realty Ltd.,SIMPLXREA,Realty,Construction - Real Estate,40.94
131,Ansal Housing Ltd.,ANSALHSG,Realty,Construction - Real Estate,39.14
132,Gothi Plascon (India) Ltd.,GOTHIPL,Realty,Construction - Real Estate,38.92
133,Homesfy Realty Ltd.,HOMESFY,Realty,Construction - Real Estate,38.41
134,Shaival Reality Ltd.,SHAIVAL,Realty,Construction - Real Estate,38.19
135,Bhanderi Infracon Ltd.,BHANDERI,Realty,Construction - Real Estate,36.35
136,Poddar Housing and Development Ltd.,PODDARHOUS,Realty,Construction - Real Estate,35.76
137,BSEL Algo Ltd.,BSELALGO,Realty,Construction - Real Estate,34.91
138,Parle Industries Ltd.,PARLEIND,Realty,Construction - Real Estate,33.21
139,Citadel Realty & Developers Ltd.,CITADEL,Realty,Construction - Real Estate,31.52
140,Tirupati Sarjan Ltd.,TIRSARJ,Realty,Construction - Real Estate,29.91
141,Premier Energy & Infrastructure Ltd.,PEIL,Realty,Construction - Real Estate,29.4
142,Narendra Properties Ltd.,NARPROP,Realty,Construction - Real Estate,27.68
143,Popular Estate Management Ltd.,POPULARES,Realty,Construction - Real Estate,25.16
144,Rap Corp Ltd.,RAP,Realty,Construction - Real Estate,23.46
145,Kamanwala Housing Construction Ltd.,KAMANWALA,Realty,Construction - Real Estate,23.25
146,Martin Burn Ltd.,MARBU,Realty,Construction - Real Estate,23.19
147,IITL Projects Ltd.,IITLPROJ,Realty,Construction - Real Estate,22.56
148,Shashijit Infraprojects Ltd.,SHASHIJIT,Realty,Construction - Real Estate,22.09
149,Neo Infracon Ltd.,NEOINFRA,Realty,Construction - Real Estate,20.73
150,MPDL Ltd.,MPDL,Realty,Construction - Real Estate,19.74
151,SSPDL Ltd.,SSPDL,Realty,Construction - Real Estate,17.8
152,KCL Infra Projects Ltd.,KCLINFRA,Realty,Construction - Real Estate,17.57
153,RTCL Ltd.,RAGHUTOB,Realty,Construction - Real Estate,16.44
154,Steel Strips Infrastructures Ltd.,STLSTRINF,Realty,Construction - Real Estate,16.41
155,S&T Corporation Ltd.,STCORP,Realty,Construction - Real Estate,16.33
156,Max Heights Infrastructure Ltd.,MAXHEIGHTS,Realty,Construction - Real Estate,16.33
157,Gyan Developers & Builders Ltd.,GYANDEV,Realty,Construction - Real Estate,15.19
