Rank,Stock_Name,Symbol,Sector,Industry,Market_Cap_Cr
1,Avenue Supermarts Ltd.,DMART,Retailing,Retailing,264427.04
2,Trent Ltd.,TRENT,Retailing,Retailing,159436.24
3,Vishal Mega Mart Ltd.,VMM,Retailing,Retailing,49424.73
4,Metro Brands Ltd.,METROBRAND,Retailing,Footwear,25750.61
5,Aditya Birla Lifestyle Brands Ltd.,ABLBL,Retailing,Retailing,10838.23
6,Relaxo Footwears Ltd.,RELAXO,Retailing,Footwear,9866.68
7,Bata India Ltd.,BATAINDIA,Retailing,Footwear,9709.61
8,Aditya Vision Ltd.,AVL,Retailing,Retailing,8056.92
9,Medplus Health Services Ltd.,MEDPLUS,Retailing,Retailing,8034.17
10,V2 Retail Ltd.,V2RETAIL,Retailing,Retailing,7890.76
11,Ethos Ltd.,ETHOSLTD,Retailing,Retailing,7359.03
12,Electronics Mart India Ltd.,EMIL,Retailing,Retailing,7300.61
13,Aditya Birla Fashion and Retail Ltd.,ABFRL,Retailing,Retailing,6833.79
14,Redtape Ltd.,REDTAPE,Retailing,Footwear,6755.31
15,Campus Activewear Ltd.,CAMPUS,Retailing,Footwear,6676.05
16,V-Mart Retail Ltd.,VMART,Retailing,Retailing,6426.51
17,Arvind Fashions Ltd.,ARVINDFASN,Retailing,Retailing,5978.92
18,Shoppers Stop Ltd.,SHOPERSTOP,Retailing,Retailing,4657.84
19,VIP Industries Ltd.,VIPIND,Retailing,Retailing,4256.64
20,Shankara Buildpro Ltd.,BUILDPRO,Retailing,Retailing,3026.68
21,Baazar Style Retail Ltd.,STYLEBAAZA,Retailing,Retailing,2787.04
22,PNGS Reva Diamond Jewellery Ltd.,PNGSREVA,Retailing,Retailing,1815.53
23,Go Fashion (India) Ltd.,GOCOLORS,Retailing,Retailing,1721.99
24,Keto Motors Ltd.,KETOMOTORS,Retailing,Retailing,1671.41
25,Sai Silks (Kalamandir) Ltd.,KALAMANDIR,Retailing,Retailing,1335.51
26,Patel Retail Ltd.,PATELRMART,Retailing,Retailing,734.48
27,PNGS Gargi Fashion Jewellery Ltd.,GARGI,Retailing,Retailing,602.72
28,Sreeleathers Ltd.,SREEL,Retailing,Footwear,558.85
29,Mirza International Ltd.,MIRZAINT,Retailing,Footwear,438.38
30,Liberty Shoes Ltd.,LIBERTSHOE,Retailing,Footwear,406.66
31,Lehar Footwears Ltd.,LEHAR,Retailing,Footwear,389.11
32,Bhatia Communications & Retail (India) Ltd.,BHATIA,Retailing,Retailing,382.57
33,Shankara Building Products Ltd.,SHANKARA,Retailing,Retailing,341.55
34,Purple United Sales Ltd.,PURPLEUTED,Retailing,Retailing,339.08
35,Brandman Retail Ltd.,BRANDMAN,Retailing,Retailing,335.18
36,Logica Infoway Ltd.,LOGICA,Retailing,Retailing,302.56
37,CKK Retail Mart Ltd.,CKKRETAIL,Retailing,Retailing,283.74
38,Spencer's Retail Ltd.,SPENCERS,Retailing,Retailing,278.15
39,Magson Retail & Distribution Ltd.,MAGSON,Retailing,Retailing,262.18
40,Jay Jalaram Technologies Ltd.,KORE,Retailing,Retailing,214.61
41,Brand Concepts Ltd.,BCONCEPTS,Retailing,Retailing,198.02
42,Superhouse Ltd.,SUPERHOUSE,Retailing,Footwear,186.32
43,Khadim India Ltd.,KHADIM,Retailing,Retailing,181.6
44,On Door Concepts Ltd.,ONDOOR,Retailing,Retailing,171.41
45,DSM Fresh Foods Ltd.,ZAPPFRESH,Retailing,Retailing,160.49
46,Indian Terrain Fashions Ltd.,INDTERRAIN,Retailing,Retailing,158.39
47,Rockingdeals Circular Economy Ltd.,ROCKINGDCE,Retailing,Retailing,149.92
48,Pro FX Tech Ltd.,PROFX,Retailing,Retailing,140.03
49,Future Retail Ltd.,FRETAIL,Retailing,Retailing,130.69
50,Praxis Home Retail Ltd.,PRAXIS,Retailing,Retailing,117.99
51,Fonebox Retail Ltd.,FONEBOX,Retailing,Retailing,101.06
52,Galaxy Supermarket Ltd.,GSLTD,Retailing,Retailing,101.0
53,Jay Ambe Supermarkets Ltd.,CITYSQUARE,Retailing,Retailing,97.68
54,Mehul Telecom Ltd.,MTL,Retailing,Retailing,94.05
55,Umiya Mobile Ltd.,UML,Retailing,Retailing,85.32
56,Womancart Ltd.,WOMANCART,Retailing,Retailing,83.61
57,Binny Mills Ltd.,BINNYMILLS,Retailing,Retailing,78.82
58,Chandni Machines Ltd.,CHANDNIMACH,Retailing,Retailing,75.42
59,Digidrive Distributors Ltd.,DIGIDRIVE,Retailing,Retailing,66.71
60,Grill Splendour Services Ltd.,BIRDYS,Retailing,Retailing,61.26
61,Kiaasa Retail Ltd.,KIAASA,Retailing,Retailing,56.68
62,Aditya Consumer Marketing Ltd.,ACML,Retailing,Retailing,55.24
63,KSR Footwear Ltd.,KSR,Retailing,Footwear,53.81
64,Future Consumer Ltd.,FCONSUMER,Retailing,Retailing,51.92
65,Archies Ltd.,ARCHIES,Retailing,Retailing,46.79
66,Bombay Metrics Supply Chain Ltd.,BMETRICS,Retailing,Retailing,45.19
67,OSIA Hyper Retail Ltd.,OSIAHYPER,Retailing,Retailing,43.53
68,Vinit Mobile Ltd.,VMOBILE,Retailing,Retailing,41.65
69,Sarup Industries Ltd.,SARUPINDUS,Retailing,Footwear,40.96
70,Manoj Jewellers Ltd.,MANOJJEWEL,Retailing,Retailing,37.74
71,Future Lifestyle Fashions Ltd.,FLFL,Retailing,Retailing,25.22
72,Benchmark Computer Solutions Ltd.,BENCHMARK,Retailing,Retailing,24.88
73,Diva Organic Living Ltd.,WORL,Retailing,Retailing,23.56
74,Future Enterprises Ltd.,FEL,Retailing,Retailing,22.29
75,Olympia Industries Ltd.,OLYMPTX,Retailing,Retailing,17.47
76,Davin Sons Retail Ltd.,DAVIN,Retailing,Retailing,17.19
77,Heads UP Ventures Ltd.,HEADSUP,Retailing,Retailing,15.68
78,JHS Svendgaard Retail Ventures Ltd.,RETAIL,Retailing,Retailing,14.69
79,Sabrimala Industries India Ltd.,SIIL,Retailing,Retailing,13.33
80,Shantiguru Industries Ltd.,SHANTIGURU,Retailing,Retailing,11.65
81,Mayur Leather Products Ltd.,MAYUR,Retailing,Footwear,10.55
82,Future Enterprises Ltd.-B-DVR,FELDVR,Retailing,Retailing,9.49
83,3C IT Solutions & Telecom (India) Ltd.,3CIT,Retailing,Retailing,9.18
84,Kalpa Commercial Ltd.,KALPACOMME,Retailing,Retailing,8.24
85,NB Footwear Ltd.,NBFOOT,Retailing,Footwear,8.13
86,Nivaka Fashions Ltd.,NIVAKA,Retailing,Retailing,5.55
87,Mafia Trends Ltd.,MAFIA,Retailing,Retailing,2.0
