Rank,Stock_Name,Symbol,Sector,Industry,Market_Cap_Cr
1,Bharti Airtel Ltd.,BHARTIARTL,Telecom,Telecommunication - Service  Provider,1243237.94
2,Vodafone Idea Ltd.,IDEA,Telecom,Telecommunication - Service  Provider,152763.68
3,Indus Towers Ltd.,INDUSTOWER,Telecom,Telecommunication - Service  Provider,101450.55
4,Bharti Hexacom Ltd.,BHARTIHEXA,Telecom,Telecommunication - Service  Provider,81055.0
5,Tata Communications Ltd.,TATACOMM,Telecom,Telecommunication - Service  Provider,48967.3
6,HFCL Ltd.,HFCL,Telecom,Telecom-Infrastructure,34163.05
7,ITI Ltd.,ITI,Telecom,Telecommunication - Equipment,26582.94
8,Black Box Ltd.,BBOX,Telecom,Telecommunication - Equipment,14151.99
9,Sedemac Mechatronics Ltd.,SEDEMAC,Telecom,Telecommunication - Equipment,13972.68
10,Tejas Networks Ltd.,TEJASNET,Telecom,Telecommunication - Equipment,9567.88
11,Railtel Corporation Of India Ltd.,RAILTEL,Telecom,Telecommunication - Service  Provider,9053.67
12,Tata Teleservices (Maharashtra) Ltd.,TTML,Telecom,Telecommunication - Service  Provider,7546.02
13,Pace Digitek Ltd.,PACEDIGITK,Telecom,Telecom-Infrastructure,3906.91
14,Bondada Engineering Ltd.,BONDADA,Telecom,Telecom-Infrastructure,3120.66
15,Vindhya Telelinks Ltd.,VINDHYATEL,Telecom,Telecom-Infrastructure,2843.44
16,Hathway Cable & Datacom Ltd.,HATHWAY,Telecom,Telecommunication - Service  Provider,1876.31
17,Mahanagar Telephone Nigam Ltd.,MTNL,Telecom,Telecommunication - Service  Provider,1658.16
18,GTL Infrastructure Ltd.,GTLINFRA,Telecom,Telecom-Infrastructure,1562.75
19,Valiant Communications Ltd.,VALIANT,Telecom,Telecommunication - Equipment,1385.45
20,STL Networks Ltd.,STLNETWORK,Telecom,Telecom-Infrastructure,1260.29
21,ADC India Communications Ltd.,ADCINDIA,Telecom,Telecommunication - Equipment,1139.51
22,Suyog Telematics Ltd.,SUYOG,Telecom,Telecommunication - Equipment,973.63
23,Sar Televenture Ltd.,SARTELE,Telecom,Telecom-Infrastructure,542.85
24,Kavveri Defence & Wireless Technologies Ltd.,KAVDEFENCE,Telecom,Telecommunication - Equipment,343.31
25,Frog Innovations Ltd.,FROG,Telecom,Telecommunication - Equipment,335.2
26,Precision Electronics Ltd.,PRECISIO,Telecom,Telecommunication - Equipment,254.6
27,Reliance Communications Ltd.,RCOM,Telecom,Telecommunication - Service  Provider,226.77
28,GTL Ltd.,GTL,Telecom,Telecommunication - Service  Provider,120.17
29,Kore Digital Ltd.,KDL,Telecom,Telecom-Infrastructure,115.85
30,Rama Telecom Ltd.,RTL,Telecom,Telecommunication - Service  Provider,109.62
31,Maestros Electronics & Telecommunications Systems Ltd.,METSL,Telecom,Telecommunication - Equipment,76.84
32,Accord Synergy Ltd.,ACCORD,Telecom,Telecommunication - Service  Provider,76.8
33,Steelman Telecom Ltd.,STML,Telecom,Telecommunication - Service  Provider,65.8
34,Punjab Communications Ltd.,PUNJCOMMU,Telecom,Telecommunication - Equipment,63.72
35,Telogica Ltd.,TELOGICA,Telecom,Telecommunication - Equipment,60.42
36,Quadrant Televentures Ltd.,QUADRANT,Telecom,Telecommunication - Equipment,33.67
37,Shyam Telecom Ltd.,SHYAMTEL,Telecom,Telecommunication - Equipment,15.99
38,Uniinfo Telecom Services Ltd.,UNIINFO,Telecom,Telecommunication - Equipment,12.51
39,Cistro Telelink Ltd.,CISTRO,Telecom,Telecommunication - Equipment,5.49
40,City Online Services Ltd.,CITYONLINE,Telecom,Telecommunication - Service  Provider,3.98
