Rank,Stock_Name,Symbol,Sector,Industry,Market_Cap_Cr
1,Page Industries Ltd.,PAGEIND,Textile,Textile,41124.33
2,K.P.R. Mill Ltd.,KPRMILL,Textile,Textile,37912.3
3,LMW Ltd.,LMW,Textile,Textile - Machinery,20164.8
4,Vardhman Textiles Ltd.,VTL,Textile,Textile,17105.13
5,Arvind Ltd.,ARVIND,Textile,Textile,15553.92
6,Welspun Living Ltd.,WELSPUNLIV,Textile,Textile,15503.39
7,Vedant Fashions Ltd.,MANYAVAR,Textile,Textile,12821.96
8,Trident Ltd.,TRIDENT,Textile,Textile - Spinning,12398.46
9,Pearl Global Industries Ltd.,PGIL,Textile,Textile,11442.09
10,Swan Corp Ltd.,SWANCORP,Textile,Textile,9535.36
11,Indo Count Industries Ltd.,ICIL,Textile,Textile,7523.09
12,Garware Technical Fibres Ltd.,GARFIBRES,Textile,Textile,7348.53
13,Kusumgar Ltd.,KUSUMGAR,Textile,Textile,6327.31
14,Alok Industries Ltd.,ALOKINDS,Textile,Textile,5774.57
15,Gokaldas Exports Ltd.,GOKEX,Textile,Textile,5738.0
16,Lohia Corp Ltd.,LCL,Textile,Textile - Machinery,5599.45
17,Raymond Lifestyle Ltd.,RAYMONDLSL,Textile,Textile,4513.83
18,Sanathan Textiles Ltd.,SANATHAN,Textile,Textile - Spinning,3973.32
19,Filatex India Ltd.,FILATEX,Textile,Textile - Spinning,3619.52
20,Lux Industries Ltd.,LUXIND,Textile,Textile,3577.48
21,Jindal Worldwide Ltd.,JINDWORLD,Textile,Textile,3540.19
22,Kewal Kiran Clothing Ltd.,KKCL,Textile,Textile,3149.05
23,Nitin Spinners Ltd.,NITINSPIN,Textile,Textile - Spinning,3112.06
24,Sangam (India) Ltd.,SANGAMIND,Textile,Textile,3012.28
25,Siyaram Silk Mills Ltd.,SIYSIL,Textile,Textile - Weaving,2895.52
26,Ganesha Ecosphere Ltd.,GANECOS,Textile,Textile - Manmade  Fibres,2838.9
27,Jindal Poly Films Ltd.,JINDALPOLY,Textile,Textile,2788.98
