Rank,Stock_Name,Symbol,Sector,Industry,Market_Cap_Cr
1,Adani Enterprises Ltd.,ADANIENT,Trading,Trading,411531.67
2,Premier Energies Ltd.,PREMIERENE,Trading,Trading,46126.01
3,Aegis Logistics Ltd.,AEGISLOG,Trading,Trading,44396.23
4,Aditya Infotech Ltd.,CPPLUS,Trading,Trading,41634.66
5,Redington Ltd.,REDINGTON,Trading,Trading,26076.09
6,Honasa Consumer Ltd.,HONASA,Trading,Trading,16390.87
7,RRP Semiconductor Ltd.,RRP,Trading,Trading,11758.19
8,Lloyds Enterprises Ltd.,LLOYDSENT,Trading,Trading,11685.76
9,MMTC Ltd.,MMTC,Trading,Trading,9648.0
10,SG Mart Ltd.,SGMART,Trading,Trading,9288.16
11,Cello World Ltd.,CELLO,Trading,Trading,8341.72
12,Jeena Sikho Lifecare Ltd.,JSLL,Trading,Trading,6512.74
13,GNG Electronics Ltd.,EBGNG,Trading,Trading,6440.51
14,Entero Healthcare Solutions Ltd.,ENTERO,Trading,Trading,6168.74
15,Rashi Peripherals Ltd.,RPTECH,Trading,Trading,5538.9
16,PDS Ltd.,PDSL,Trading,Trading,5253.13
17,Optiemus Infracom Ltd.,OPTIEMUS,Trading,Trading,5059.24
18,Symphony Ltd.,SYMPHONY,Trading,Trading,4268.61
19,Zota Health Care Ltd.,ZOTA,Trading,Trading,3917.98
20,Caliber Mining and Logistics Ltd.,CMLL,Trading,Trading,3453.8
21,Elitecon International Ltd.,ELITECON,Trading,Trading,2738.23
22,Fischer Medical Ventures Ltd.,FISCHER,Trading,Trading,2609.24
23,SIRCA Paints India Ltd.,SIRCA,Trading,Trading,2432.15
24,Confidence Petroleum India Ltd.,CONFIPET,Trading,Trading,2390.81
25,Vintage Coffee & Beverages Ltd.,VINCOFE,Trading,Trading,2172.42
26,Aayush Art And Bullion Ltd.,AAYUSHBULL,Trading,Trading,1907.74
27,Hindware Home Innovation Ltd.,HINDWAREAP,Trading,Trading,1640.31
28,Rajesh Power Services Ltd.,RAJESH,Trading,Trading,1506.32
29,Tembo Global Industries Ltd.,TEMBO,Trading,Trading,1425.51
30,India Motor Parts & Accessories Ltd.,IMPAL,Trading,Trading,1323.82
31,Sobhagya Mercantile Ltd.,SOBME,Trading,Trading,1252.46
32,TCC Concept Ltd.,TCC,Trading,Trading,1239.77
33,Macfos Ltd.,ROBU,Trading,Trading,1185.01
34,Orient Technologies Ltd.,ORIENTTECH,Trading,Trading,1184.54
35,Arisinfra Solutions Ltd.,ARIS,Trading,Trading,1096.86
36,Asgard Alcobev Ltd.,ASGARD,Trading,Trading,945.19
37,Dhunseri Ventures Ltd.,DVL,Trading,Trading,940.41
38,The Yamuna Syndicate Ltd.,YSL,Trading,Trading,928.85
39,Prizor Viztech Ltd.,PRIZOR,Trading,Trading,918.76
40,Laxmi Goldorna House Ltd.,LGHL,Trading,Trading,911.68
41,RRP Defense Ltd.,RRPDEFENSE,Trading,Trading,904.55
42,Bharat Global Developers Ltd.,BGDL,Trading,Trading,880.35
43,Hexa Tradex Ltd.,HEXATRADEX,Trading,Trading,867.89
44,Shah Foods Ltd.,SHAHFOOD,Trading,Trading,816.02
45,Nupur Recyclers Ltd.,NRL,Trading,Trading,808.11
46,Hardwyn India Ltd.,HARDWYN,Trading,Trading,775.42
47,Vision Infra Equipment Solutions Ltd.,VIESL,Trading,Trading,772.72
