Rank,Sector_Name,Symbol,Market_Cap_Cr
,Nifty100 Equal Weight,NIFTY100 EQL WGT,
,Nifty100 Low Volatility 30,NIFTY100 LOWVOL30,
,Nifty 50 Arbitrage,,
,Nifty 50 Futures PR,,
,Nifty 50 Futures TR,,
,Nifty200 Momentum 30,NIFTY200MOMENTM30,
,Nifty200 Alpha 30,NIFTY200 ALPHA 30,
,Nifty100 Alpha 30,NIFTY100 ALPHA 30,
,Nifty Alpha 50,NIFTY ALPHA 50,
,Nifty Alpha Low Volatility 30,NIFTY ALPHALOWVOL,
,Nifty Alpha Quality Low Volatility 30,NIFTY AQLV 30,
,Nifty Alpha Quality Value Low Volatility 30,NIFTY AQL 30,
,Nifty Dividend Opportunities 50,NIFTY DIV OPPS 50,
,Nifty Growth Sectors 15,NIFTY GROWSECT 15,
,Nifty High Beta 50,NIFTY HIGHBETA 50,
,Nifty Low Volatility 50,NIFTY LOW VOL 50,
,Nifty Top 10 Equal Weight,NIFTY TOP 10 EW,
,Nifty Top 15 Equal Weight,NIFTY TOP 15 EW,
,Nifty Top 20 Equal Weight,NIFTY TOP 20 EW,
,Nifty100 Quality 30,NIFTY100 QUALTY30,
,Nifty Midcap150 Momentum 50,NIFTYM150MOMNTM50,
,Nifty500 Flexicap Quality 30,NIFTY500 FLEXICAP,
,Nifty500 Low Volatility 50,NIFTY500 LOWVOL50,
,Nifty500 Momentum 50,NIFTY500MOMENTM50,
,Nifty500 Quality 50,NIFTY500 QLTY50,
,Nifty500 Multifactor MQVLv 50,NIFTY500 MQVLV50,
,Nifty Midcap150 Quality 50,NIFTY M150 QLTY50,
,Nifty Smallcap250 Quality 50,NIFTY SML250 Q50,
,Nifty Total Market Momentum Quality 50,NIFTY TMMQ 50,
,Nifty500 Multicap Momentum Quality 50,NIFTY MULTI MQ 50,
,Nifty MidSmallcap400 Momentum Quality 100,NIFTYMS400 MQ 100,
,Nifty Smallcap250 Momentum Quality 100,NIFTYSML250MQ 100,
,Nifty Quality Low Volatility 30,NIFTY QLTY LV 30,
,Nifty50 Dividend Points,NIFTY50 DIV POINT,
,Nifty50 Equal Weight,NIFTY50 EQL WGT,
,Nifty50 USD,NIFTY50 USD,
,Nifty50 PR 1x Inverse,NIFTY50 PR 1X INV,
,Nifty50 PR 2x Leverage,NIFTY50 PR 2X LEV,
,Nifty50 TR 1x Inverse,NIFTY50 TR 1X INV,
,Nifty50 TR 2x Leverage,NIFTY50 TR 2X LEV,
,Nifty50 Value 20,NIFTY50 VALUE 20,
,Nifty200 Value 30,NIFTY200 VALUE 30,
,Nifty500 Value 50,NIFTY500 VALUE 50,
,Nifty500 Equal Weight,NIFTY500 EQUAL WEIGHT,
,Nifty200 Quality 30,NIFTY200 QUALTY30,
,Nifty50 & Short Duration Debt – Dynamic P/B,,
,Nifty50 & Short Duration Debt – Dynamic P/E,,
,Nifty Equity Savings,,
