Company Name,Industry,Symbol,Series,ISIN Code
Axis Bank Ltd.,Financial Services,AXISBANK,EQ,INE238A01034
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV,EQ,INE918I01026
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,EQ,INE522F01014
Grasim Industries Ltd.,Construction Materials,GRASIM,EQ,INE047A01021
HCL Technologies Ltd.,Information Technology,HCLTECH,EQ,INE860A01027
HDFC Bank Ltd.,Financial Services,HDFCBANK,EQ,INE040A01034
Hindalco Industries Ltd.,Metals & Mining,HINDALCO,EQ,INE038A01020
ICICI Bank Ltd.,Financial Services,ICICIBANK,EQ,INE090A01021
ITC Ltd.,Fast Moving Consumer Goods,ITC,EQ,INE154A01025
Infosys Ltd.,Information Technology,INFY,EQ,INE009A01021
Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK,EQ,INE237A01036
NTPC Ltd.,Power,NTPC,EQ,INE733E01010
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC,EQ,INE213A01029
Power Grid Corporation of India Ltd.,Power,POWERGRID,EQ,INE752E01010
Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE,EQ,INE002A01018
State Bank of India,Financial Services,SBIN,EQ,INE062A01020
Tata Consultancy Services Ltd.,Information Technology,TCS,EQ,INE467B01029
Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components,TMPV,EQ,INE155A01022
Tata Steel Ltd.,Metals & Mining,TATASTEEL,EQ,INE081A01020
Wipro Ltd.,Information Technology,WIPRO,EQ,INE075A01022
