Company Name,Industry,Symbol,Series,ISIN Code
ABB India Ltd.,Capital Goods,ABB,EQ,INE117A01022
Adani Energy Solutions Ltd.,Power,ADANIENSOL,EQ,INE931S01010
Adani Green Energy Ltd.,Power,ADANIGREEN,EQ,INE364U01010
Adani Power Ltd.,Power,ADANIPOWER,EQ,INE814H01029
Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL,EQ,INE674K01013
BSE Ltd.,Financial Services,BSE,EQ,INE118H01025
Bharat Forge Ltd.,Automobile and Auto Components,BHARATFORG,EQ,INE465A01025
Bharat Heavy Electricals Ltd.,Capital Goods,BHEL,EQ,INE257A01026
CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER,EQ,INE067A01029
Cummins India Ltd.,Capital Goods,CUMMINSIND,EQ,INE298A01020
Federal Bank Ltd.,Financial Services,FEDERALBNK,EQ,INE171A01029
GE Vernova T&D India Ltd.,Capital Goods,GVT&D,EQ,INE200A01026
Glenmark Pharmaceuticals Ltd.,Healthcare,GLENMARK,EQ,INE935A01035
Hindalco Industries Ltd.,Metals & Mining,HINDALCO,EQ,INE038A01020
Hitachi Energy India Ltd.,Capital Goods,POWERINDIA,EQ,INE07Y701011
KEI Industries Ltd.,Capital Goods,KEI,EQ,INE878B01027
L&T Finance Ltd.,Financial Services,LTF,EQ,INE498L01015
Laurus Labs Ltd.,Healthcare,LAURUSLABS,EQ,INE947Q01028
Multi Commodity Exchange of India Ltd.,Financial Services,MCX,EQ,INE745G01043
NTPC Ltd.,Power,NTPC,EQ,INE733E01010
National Aluminium Co. Ltd.,Metals & Mining,NATIONALUM,EQ,INE139A01034
Polycab India Ltd.,Capital Goods,POLYCAB,EQ,INE455K01017
Samvardhana Motherson International Ltd.,Automobile and Auto Components,MOTHERSON,EQ,INE775A01035
Shriram Finance Ltd.,Financial Services,SHRIRAMFIN,EQ,INE721A01047
Solar Industries India Ltd.,Chemicals,SOLARINDS,EQ,INE343H01029
Steel Authority of India Ltd.,Metals & Mining,SAIL,EQ,INE114A01011
Tata Steel Ltd.,Metals & Mining,TATASTEEL,EQ,INE081A01020
Torrent Pharmaceuticals Ltd.,Healthcare,TORNTPHARM,EQ,INE685A01028
Vedanta Ltd.,Metals & Mining,VEDL,EQ,INE205A01025
Vodafone Idea Ltd.,Telecommunication,IDEA,EQ,INE669E01016
