Company Name,Industry,Symbol,Series,ISIN Code
AU Small Finance Bank Ltd.,Financial Services,AUBANK,EQ,INE949L01017
Adani Energy Solutions Ltd.,Power,ADANIENSOL,EQ,INE931S01010
Adani Green Energy Ltd.,Power,ADANIGREEN,EQ,INE364U01010
Adani Power Ltd.,Power,ADANIPOWER,EQ,INE814H01029
Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL,EQ,INE674K01013
Ashok Leyland Ltd.,Capital Goods,ASHOKLEY,EQ,INE208A01029
BSE Ltd.,Financial Services,BSE,EQ,INE118H01025
Bharat Forge Ltd.,Automobile and Auto Components,BHARATFORG,EQ,INE465A01025
Bharat Heavy Electricals Ltd.,Capital Goods,BHEL,EQ,INE257A01026
Cummins India Ltd.,Capital Goods,CUMMINSIND,EQ,INE298A01020
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,EQ,INE066A01021
FSN E-Commerce Ventures Ltd.,Consumer Services,NYKAA,EQ,INE388Y01029
Federal Bank Ltd.,Financial Services,FEDERALBNK,EQ,INE171A01029
Fortis Healthcare Ltd.,Healthcare,FORTIS,EQ,INE061F01013
GE Vernova T&D India Ltd.,Capital Goods,GVT&D,EQ,INE200A01026
Glenmark Pharmaceuticals Ltd.,Healthcare,GLENMARK,EQ,INE935A01035
Hindalco Industries Ltd.,Metals & Mining,HINDALCO,EQ,INE038A01020
Hitachi Energy India Ltd.,Capital Goods,POWERINDIA,EQ,INE07Y701011
Indian Bank,Financial Services,INDIANB,EQ,INE562A01011
L&T Finance Ltd.,Financial Services,LTF,EQ,INE498L01015
Laurus Labs Ltd.,Healthcare,LAURUSLABS,EQ,INE947Q01028
Multi Commodity Exchange of India Ltd.,Financial Services,MCX,EQ,INE745G01043
Muthoot Finance Ltd.,Financial Services,MUTHOOTFIN,EQ,INE414G01012
National Aluminium Co. Ltd.,Metals & Mining,NATIONALUM,EQ,INE139A01034
One 97 Communications Ltd.,Financial Services,PAYTM,EQ,INE982J01020
Polycab India Ltd.,Capital Goods,POLYCAB,EQ,INE455K01017
Shriram Finance Ltd.,Financial Services,SHRIRAMFIN,EQ,INE721A01047
Steel Authority of India Ltd.,Metals & Mining,SAIL,EQ,INE114A01011
Vedanta Ltd.,Metals & Mining,VEDL,EQ,INE205A01025
Vodafone Idea Ltd.,Telecommunication,IDEA,EQ,INE669E01016
