Company Name,Industry,Symbol,Series,ISIN Code
ACC Ltd.,Construction Materials,ACC,EQ,INE012A01025
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,EQ,INE079A01024
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,EQ,INE437A01024
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,INE021A01026
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010
Bajaj Housing Finance Ltd.,Financial Services,BAJAJHFL,EQ,INE377Y01014
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,EQ,INE397D01024
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,EQ,INE216A01030
Castrol India Ltd.,Oil Gas & Consumable Fuels,CASTROLIND,EQ,INE172A01027
Cipla Ltd.,Healthcare,CIPLA,EQ,INE059A01026
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,EQ,INE522F01014
Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL,EQ,INE259A01022
Dabur India Ltd.,Fast Moving Consumer Goods,DABUR,EQ,INE016A01026
Divi's Laboratories Ltd.,Healthcare,DIVISLAB,EQ,INE361B01024
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY,EQ,INE089A01031
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,EQ,INE066A01021
Federal Bank Ltd.,Financial Services,FEDERALBNK,EQ,INE171A01029
Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP,EQ,INE102D01028
HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE,EQ,INE795G01014
Havells India Ltd.,Consumer Durables,HAVELLS,EQ,INE176B01034
ICICI Lombard General Insurance Company Ltd.,Financial Services,ICICIGI,EQ,INE765G01017
ICICI Prudential Life Insurance Company Ltd.,Financial Services,ICICIPRULI,EQ,INE726G01019
Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IOC,EQ,INE242A01010
Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,IRCTC,EQ,INE335Y01020
Life Insurance Corporation of India,Financial Services,LICI,EQ,INE0J1Y01017
Lupin Ltd.,Healthcare,LUPIN,EQ,INE326A01037
MRF Ltd.,Automobile and Auto Components,MRF,EQ,INE883A01011
Marico Ltd.,Fast Moving Consumer Goods,MARICO,EQ,INE196A01026
Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI,EQ,INE585B01010
Max Financial Services Ltd.,Financial Services,MFSL,EQ,INE180A01020
NTPC Ltd.,Power,NTPC,EQ,INE733E01010
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC,EQ,INE213A01029
PI Industries Ltd.,Chemicals,PIIND,EQ,INE603J01030
Page Industries Ltd.,Textiles,PAGEIND,EQ,INE761H01022
Pidilite Industries Ltd.,Chemicals,PIDILITIND,EQ,INE318A01026
Power Grid Corporation of India Ltd.,Power,POWERGRID,EQ,INE752E01010
SBI Cards and Payment Services Ltd.,Financial Services,SBICARD,EQ,INE018E01016
Star Health and Allied Insurance Company Ltd.,Financial Services,STARHEALTH,EQ,INE575P01011
State Bank of India,Financial Services,SBIN,EQ,INE062A01020
Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA,EQ,INE044A01036
TVS Motor Company Ltd.,Automobile and Auto Components,TVSMOTOR,EQ,INE494B01023
Tata Consultancy Services Ltd.,Information Technology,TCS,EQ,INE467B01029
Tata Power Co. Ltd.,Power,TATAPOWER,EQ,INE245A01021
Tata Technologies Ltd.,Information Technology,TATATECH,EQ,INE142M01025
Tech Mahindra Ltd.,Information Technology,TECHM,EQ,INE669C01036
Torrent Pharmaceuticals Ltd.,Healthcare,TORNTPHARM,EQ,INE685A01028
UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO,EQ,INE481G01011
United Spirits Ltd.,Fast Moving Consumer Goods,UNITDSPR,EQ,INE854D01024
Wipro Ltd.,Information Technology,WIPRO,EQ,INE075A01022
Zydus Lifesciences Ltd.,Healthcare,ZYDUSLIFE,EQ,INE010B01027
