Company Name,Industry,Symbol,Series,ISIN Code
360 ONE WAM Ltd.,Financial Services,360ONE,EQ,INE466L01038
ABB India Ltd.,Capital Goods,ABB,EQ,INE117A01022
Acutaas Chemicals Ltd.,Healthcare,ACUTAAS,EQ,INE00FF01025
Aditya Birla Sun Life AMC Ltd.,Financial Services,ABSLAMC,EQ,INE404A01024
Ajanta Pharmaceuticals Ltd.,Healthcare,AJANTPHARM,EQ,INE031B01049
Anand Rathi Wealth Ltd.,Financial Services,ANANDRATHI,EQ,INE463V01026
Apar Industries Ltd.,Capital Goods,APARINDS,EQ,INE372A01015
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,INE021A01026
BSE Ltd.,Financial Services,BSE,EQ,INE118H01025
Bank of Maharashtra,Financial Services,MAHABANK,EQ,INE457A01014
Bharat Electronics Ltd.,Capital Goods,BEL,EQ,INE263A01024
CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER,EQ,INE067A01029
Caplin Point Laboratories Ltd.,Healthcare,CAPLIPOINT,EQ,INE475E01026
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,EQ,INE522F01014
Computer Age Management Services Ltd.,Financial Services,CAMS,EQ,INE596I01020
Cummins India Ltd.,Capital Goods,CUMMINSIND,EQ,INE298A01020
Data Patterns (India) Ltd.,Capital Goods,DATAPATTNS,EQ,INE0IX101010
Dr. Lal Path Labs Ltd.,Healthcare,LALPATHLAB,EQ,INE600L01024
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,EQ,INE066A01021
Finolex Cables Ltd.,Capital Goods,FINCABLES,EQ,INE235A01022
Force Motors Ltd.,Automobile and Auto Components,FORCEMOT,EQ,INE451A01017
Gabriel India Ltd.,Automobile and Auto Components,GABRIEL,EQ,INE524A01029
Garden Reach Shipbuilders & Engineers Ltd.,Capital Goods,GRSE,EQ,INE382Z01011
Godawari Power & Ispat Ltd.,Capital Goods,GPIL,EQ,INE177H01039
Great Eastern Shipping Co. Ltd.,Services,GESHIP,EQ,INE017A01032
Gujarat Mineral Development Corporation Ltd.,Metals & Mining,GMDCLTD,EQ,INE131A01031
HBL Engineering Ltd.,Capital Goods,HBLENGINE,EQ,INE292B01021
HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC,EQ,INE127D01025
Himadri Speciality Chemical Ltd.,Chemicals,HSCL,EQ,INE019C01026
Hindustan Copper Ltd.,Metals & Mining,HINDCOPPER,EQ,INE531E01026
Hitachi Energy India Ltd.,Capital Goods,POWERINDIA,EQ,INE07Y701011
KEI Industries Ltd.,Capital Goods,KEI,EQ,INE878B01027
Karur Vysya Bank Ltd.,Financial Services,KARURVYSYA,EQ,INE036D01028
Marico Ltd.,Fast Moving Consumer Goods,MARICO,EQ,INE196A01026
Motherson Sumi Wiring India Ltd.,Automobile and Auto Components,MSUMI,EQ,INE0FS801015
Motilal Oswal Financial Services Ltd.,Financial Services,MOTILALOFS,EQ,INE338I01027
Multi Commodity Exchange of India Ltd.,Financial Services,MCX,EQ,INE745G01043
Muthoot Finance Ltd.,Financial Services,MUTHOOTFIN,EQ,INE414G01012
NATCO Pharma Ltd.,Healthcare,NATCOPHARM,EQ,INE987B01026
NMDC Ltd.,Metals & Mining,NMDC,EQ,INE584A01023
National Aluminium Co. Ltd.,Metals & Mining,NATIONALUM,EQ,INE139A01034
Nippon Life India Asset Management Ltd.,Financial Services,NAM-INDIA,EQ,INE298J01013
Oracle Financial Services Software Ltd.,Information Technology,OFSS,EQ,INE881D01027
Polycab India Ltd.,Capital Goods,POLYCAB,EQ,INE455K01017
Schneider Electric Infrastructure Ltd.,Capital Goods,SCHNEIDER,EQ,INE839M01018
Solar Industries India Ltd.,Chemicals,SOLARINDS,EQ,INE343H01029
Triveni Turbine Ltd.,Capital Goods,TRITURBINE,EQ,INE152M01016
Usha Martin Ltd.,Capital Goods,USHAMART,EQ,INE228A01035
Vijaya Diagnostic Centre Ltd.,Healthcare,VIJAYA,EQ,INE043W01024
Welspun Corp Ltd.,Capital Goods,WELCORP,EQ,INE191B01025
