Company Name,Industry,Symbol,Series,ISIN Code
AWL Agri Business Ltd.,Fast Moving Consumer Goods,AWL,EQ,INE699H01024
Aster DM Quality Care Ltd.,Healthcare,ASTERDM,EQ,INE914M01019
Bandhan Bank Ltd.,Financial Services,BANDHANBNK,EQ,INE545U01014
Bank of Baroda,Financial Services,BANKBARODA,EQ,INE028A01039
Bank of India,Financial Services,BANKINDIA,EQ,INE084A01016
Bank of Maharashtra,Financial Services,MAHABANK,EQ,INE457A01014
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL,EQ,INE029A01011
CESC Ltd.,Power,CESC,EQ,INE486A01021
Canara Bank,Financial Services,CANBK,EQ,INE476A01022
Castrol India Ltd.,Oil Gas & Consumable Fuels,CASTROLIND,EQ,INE172A01027
Chambal Fertilizers & Chemicals Ltd.,Chemicals,CHAMBLFERT,EQ,INE085A01013
Cholamandalam Financial Holdings Ltd.,Financial Services,CHOLAHLDNG,EQ,INE149A01033
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,EQ,INE522F01014
Cyient Ltd.,Information Technology,CYIENT,EQ,INE136B01020
Federal Bank Ltd.,Financial Services,FEDERALBNK,EQ,INE171A01029
GAIL (India) Ltd.,Oil Gas & Consumable Fuels,GAIL,EQ,INE129A01019
Grasim Industries Ltd.,Construction Materials,GRASIM,EQ,INE047A01021
Great Eastern Shipping Co. Ltd.,Services,GESHIP,EQ,INE017A01032
Hindalco Industries Ltd.,Metals & Mining,HINDALCO,EQ,INE038A01020
Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO,EQ,INE094A01015
IRB Infrastructure Developers Ltd.,Construction,IRB,EQ,INE821I01022
Indian Bank,Financial Services,INDIANB,EQ,INE562A01011
Indian Oil Corporation Ltd.,Oil Gas & Consumable Fuels,IOC,EQ,INE242A01010
Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,IGL,EQ,INE203G01027
IndusInd Bank Ltd.,Financial Services,INDUSINDBK,EQ,INE095A01012
Jaiprakash Power Ventures Ltd.,Power,JPPOWER,EQ,INE351F01018
Karur Vysya Bank Ltd.,Financial Services,KARURVYSYA,EQ,INE036D01028
LIC Housing Finance Ltd.,Financial Services,LICHSGFIN,EQ,INE115A01026
NCC Ltd.,Construction,NCC,EQ,INE868B01028
NMDC Ltd.,Metals & Mining,NMDC,EQ,INE584A01023
NTPC Ltd.,Power,NTPC,EQ,INE733E01010
National Aluminium Co. Ltd.,Metals & Mining,NATIONALUM,EQ,INE139A01034
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC,EQ,INE213A01029
Oil India Ltd.,Oil Gas & Consumable Fuels,OIL,EQ,INE274J01014
Petronet LNG Ltd.,Oil Gas & Consumable Fuels,PETRONET,EQ,INE347G01014
Power Finance Corporation Ltd.,Financial Services,PFC,EQ,INE134E01011
Power Grid Corporation of India Ltd.,Power,POWERGRID,EQ,INE752E01010
Punjab National Bank,Financial Services,PNB,EQ,INE160A01022
RBL Bank Ltd.,Financial Services,RBLBANK,EQ,INE976G01028
REC Ltd.,Financial Services,RECLTD,EQ,INE020B01018
Redington Ltd.,Services,REDINGTON,EQ,INE891D01026
Reliance Power Ltd.,Power,RPOWER,EQ,INE614G01033
State Bank of India,Financial Services,SBIN,EQ,INE062A01020
Steel Authority of India Ltd.,Metals & Mining,SAIL,EQ,INE114A01011
Tata Chemicals Ltd.,Chemicals,TATACHEM,EQ,INE092A01019
Tata Motors Passenger Vehicles Ltd.,Automobile and Auto Components,TMPV,EQ,INE155A01022
UPL Ltd.,Chemicals,UPL,EQ,INE628A01036
Union Bank of India,Financial Services,UNIONBANK,EQ,INE692A01016
Vedanta Ltd.,Metals & Mining,VEDL,EQ,INE205A01025
Zee Entertainment Enterprises Ltd.,Media Entertainment & Publication,ZEEL,EQ,INE256A01028
