Company Name,Industry,Symbol,Series,ISIN Code
360 ONE WAM Ltd.,Financial Services,360ONE,EQ,INE466L01038
APL Apollo Tubes Ltd.,Capital Goods,APLAPOLLO,EQ,INE702C01027
AU Small Finance Bank Ltd.,Financial Services,AUBANK,EQ,INE949L01017
Acutaas Chemicals Ltd.,Healthcare,ACUTAAS,EQ,INE00FF01025
Adani Total Gas Ltd.,Oil Gas & Consumable Fuels,ATGL,EQ,INE399L01023
Aditya Birla Sun Life AMC Ltd.,Financial Services,ABSLAMC,EQ,INE404A01024
Ajanta Pharmaceuticals Ltd.,Healthcare,AJANTPHARM,EQ,INE031B01049
Anand Rathi Wealth Ltd.,Financial Services,ANANDRATHI,EQ,INE463V01026
Angel One Ltd.,Financial Services,ANGELONE,EQ,INE732I01021
Apar Industries Ltd.,Capital Goods,APARINDS,EQ,INE372A01015
Astral Ltd.,Capital Goods,ASTRAL,EQ,INE006I01046
Aurobindo Pharma Ltd.,Healthcare,AUROPHARMA,EQ,INE406A01037
BLS International Services Ltd.,Consumer Services,BLS,EQ,INE153T01027
BSE Ltd.,Financial Services,BSE,EQ,INE118H01025
Bank of Maharashtra,Financial Services,MAHABANK,EQ,INE457A01014
Bharat Dynamics Ltd.,Capital Goods,BDL,EQ,INE171Z01026
Bharat Forge Ltd.,Automobile and Auto Components,BHARATFORG,EQ,INE465A01025
Blue Star Ltd.,Consumer Durables,BLUESTARCO,EQ,INE472A01039
Caplin Point Laboratories Ltd.,Healthcare,CAPLIPOINT,EQ,INE475E01026
Castrol India Ltd.,Oil Gas & Consumable Fuels,CASTROLIND,EQ,INE172A01027
Central Depository Services (India) Ltd.,Financial Services,CDSL,EQ,INE736A01011
Chambal Fertilizers & Chemicals Ltd.,Chemicals,CHAMBLFERT,EQ,INE085A01013
City Union Bank Ltd.,Financial Services,CUB,EQ,INE491A01021
Coforge Ltd.,Information Technology,COFORGE,EQ,INE591G01025
Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL,EQ,INE259A01022
Computer Age Management Services Ltd.,Financial Services,CAMS,EQ,INE596I01020
Coromandel International Ltd.,Chemicals,COROMANDEL,EQ,INE169A01031
Data Patterns (India) Ltd.,Capital Goods,DATAPATTNS,EQ,INE0IX101010
Dixon Technologies (India) Ltd.,Consumer Durables,DIXON,EQ,INE935N01020
Dr. Lal Path Labs Ltd.,Healthcare,LALPATHLAB,EQ,INE600L01024
Elgi Equipments Ltd.,Capital Goods,ELGIEQUIP,EQ,INE285A01027
Engineers India Ltd.,Construction,ENGINERSIN,EQ,INE510A01028
Federal Bank Ltd.,Financial Services,FEDERALBNK,EQ,INE171A01029
Finolex Cables Ltd.,Capital Goods,FINCABLES,EQ,INE235A01022
Force Motors Ltd.,Automobile and Auto Components,FORCEMOT,EQ,INE451A01017
GE Vernova T&D India Ltd.,Capital Goods,GVT&D,EQ,INE200A01026
Gabriel India Ltd.,Automobile and Auto Components,GABRIEL,EQ,INE524A01029
Garden Reach Shipbuilders & Engineers Ltd.,Capital Goods,GRSE,EQ,INE382Z01011
Gillette India Ltd.,Fast Moving Consumer Goods,GILLETTE,EQ,INE322A01010
Gland Pharma Ltd.,Healthcare,GLAND,EQ,INE068V01023
Glenmark Pharmaceuticals Ltd.,Healthcare,GLENMARK,EQ,INE935A01035
Godawari Power & Ispat Ltd.,Capital Goods,GPIL,EQ,INE177H01039
Godfrey Phillips India Ltd.,Fast Moving Consumer Goods,GODFRYPHLP,EQ,INE260B01028
Granules India Ltd.,Healthcare,GRANULES,EQ,INE101D01020
Great Eastern Shipping Co. Ltd.,Services,GESHIP,EQ,INE017A01032
Gujarat Mineral Development Corporation Ltd.,Metals & Mining,GMDCLTD,EQ,INE131A01031
HBL Engineering Ltd.,Capital Goods,HBLENGINE,EQ,INE292B01021
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO,EQ,INE158A01026
Himadri Speciality Chemical Ltd.,Chemicals,HSCL,EQ,INE019C01026
Hindustan Copper Ltd.,Metals & Mining,HINDCOPPER,EQ,INE531E01026
Hitachi Energy India Ltd.,Capital Goods,POWERINDIA,EQ,INE07Y701011
Indiamart Intermesh Ltd.,Consumer Services,INDIAMART,EQ,INE933S01016
Indian Bank,Financial Services,INDIANB,EQ,INE562A01011
Indian Energy Exchange Ltd.,Financial Services,IEX,EQ,INE022Q01020
Indus Towers Ltd.,Telecommunication,INDUSTOWER,EQ,INE121J01017
JSW Dulux Ltd.,Consumer Durables,JSWDULUX,EQ,INE133A01011
Jammu & Kashmir Bank Ltd.,Financial Services,J&KBANK,EQ,INE168A01041
K.P.R. Mill Ltd.,Textiles,KPRMILL,EQ,INE930H01031
KEI Industries Ltd.,Capital Goods,KEI,EQ,INE878B01027
KPIT Technologies Ltd.,Information Technology,KPITTECH,EQ,INE04I401011
Karur Vysya Bank Ltd.,Financial Services,KARURVYSYA,EQ,INE036D01028
L&T Finance Ltd.,Financial Services,LTF,EQ,INE498L01015
L&T Technology Services Ltd.,Information Technology,LTTS,EQ,INE010V01017
Laurus Labs Ltd.,Healthcare,LAURUSLABS,EQ,INE947Q01028
Linde India Ltd.,Chemicals,LINDEINDIA,EQ,INE473A01011
Lupin Ltd.,Healthcare,LUPIN,EQ,INE326A01037
Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,MGL,EQ,INE002S01010
Manappuram Finance Ltd.,Financial Services,MANAPPURAM,EQ,INE522D01027
Marico Ltd.,Fast Moving Consumer Goods,MARICO,EQ,INE196A01026
Motherson Sumi Wiring India Ltd.,Automobile and Auto Components,MSUMI,EQ,INE0FS801015
Motilal Oswal Financial Services Ltd.,Financial Services,MOTILALOFS,EQ,INE338I01027
MphasiS Ltd.,Information Technology,MPHASIS,EQ,INE356A01018
Multi Commodity Exchange of India Ltd.,Financial Services,MCX,EQ,INE745G01043
NATCO Pharma Ltd.,Healthcare,NATCOPHARM,EQ,INE987B01026
NMDC Ltd.,Metals & Mining,NMDC,EQ,INE584A01023
Narayana Hrudayalaya Ltd.,Healthcare,NH,EQ,INE410P01011
National Aluminium Co. Ltd.,Metals & Mining,NATIONALUM,EQ,INE139A01034
Nava Ltd.,Power,NAVA,EQ,INE725A01030
Neuland Laboratories Ltd.,Healthcare,NEULANDLAB,EQ,INE794A01010
Nippon Life India Asset Management Ltd.,Financial Services,NAM-INDIA,EQ,INE298J01013
Oracle Financial Services Software Ltd.,Information Technology,OFSS,EQ,INE881D01027
PI Industries Ltd.,Chemicals,PIIND,EQ,INE603J01030
Page Industries Ltd.,Textiles,PAGEIND,EQ,INE761H01022
Persistent Systems Ltd.,Information Technology,PERSISTENT,EQ,INE262H01021
Polycab India Ltd.,Capital Goods,POLYCAB,EQ,INE455K01017
Radico Khaitan Ltd,Fast Moving Consumer Goods,RADICO,EQ,INE944F01028
Saregama India Ltd,Media Entertainment & Publication,SAREGAMA,EQ,INE979A01025
Schneider Electric Infrastructure Ltd.,Capital Goods,SCHNEIDER,EQ,INE839M01018
Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,SONACOMS,EQ,INE073K01018
Suzlon Energy Ltd.,Capital Goods,SUZLON,EQ,INE040H01021
Tata Elxsi Ltd.,Information Technology,TATAELXSI,EQ,INE670A01012
Thermax Ltd.,Capital Goods,THERMAX,EQ,INE152A01029
Transformers And Rectifiers (India) Ltd.,Capital Goods,TARIL,EQ,INE763I01026
Triveni Turbine Ltd.,Capital Goods,TRITURBINE,EQ,INE152M01016
UNO Minda Ltd.,Automobile and Auto Components,UNOMINDA,EQ,INE405E01023
Usha Martin Ltd.,Capital Goods,USHAMART,EQ,INE228A01035
