Company Name,Industry,Symbol,Series,ISIN Code
Action Construction Equipment Ltd.,Capital Goods,ACE,EQ,INE731H01025
Aditya Birla Sun Life AMC Ltd.,Financial Services,ABSLAMC,EQ,INE404A01024
Affle 3i Ltd.,Information Technology,AFFLE,EQ,INE00WC01027
Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,ARE&M,EQ,INE885A01032
Anand Rathi Wealth Ltd.,Financial Services,ANANDRATHI,EQ,INE463V01026
Angel One Ltd.,Financial Services,ANGELONE,EQ,INE732I01021
Aptus Value Housing Finance India Ltd.,Financial Services,APTUS,EQ,INE852O01025
BLS International Services Ltd.,Consumer Services,BLS,EQ,INE153T01027
Birlasoft Ltd.,Information Technology,BSOFT,EQ,INE836A01035
C.E. Info Systems Ltd.,Information Technology,MAPMYINDIA,EQ,INE0BV301023
Castrol India Ltd.,Oil Gas & Consumable Fuels,CASTROLIND,EQ,INE172A01027
Central Depository Services (India) Ltd.,Financial Services,CDSL,EQ,INE736A01011
Chambal Fertilizers & Chemicals Ltd.,Chemicals,CHAMBLFERT,EQ,INE085A01013
Clean Science and Technology Ltd.,Chemicals,CLEAN,EQ,INE227W01023
Computer Age Management Services Ltd.,Financial Services,CAMS,EQ,INE596I01020
Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,CROMPTON,EQ,INE299U01018
Cyient Ltd.,Information Technology,CYIENT,EQ,INE136B01020
Dr. Lal Path Labs Ltd.,Healthcare,LALPATHLAB,EQ,INE600L01024
Elgi Equipments Ltd.,Capital Goods,ELGIEQUIP,EQ,INE285A01027
Emami Ltd.,Fast Moving Consumer Goods,EMAMILTD,EQ,INE548C01032
Engineers India Ltd.,Construction,ENGINERSIN,EQ,INE510A01028
Finolex Cables Ltd.,Capital Goods,FINCABLES,EQ,INE235A01022
Gillette India Ltd.,Fast Moving Consumer Goods,GILLETTE,EQ,INE322A01010
Godawari Power & Ispat Ltd.,Capital Goods,GPIL,EQ,INE177H01039
Gravita India Ltd.,Metals & Mining,GRAVITA,EQ,INE024L01027
Himadri Speciality Chemical Ltd.,Chemicals,HSCL,EQ,INE019C01026
Home First Finance Company India Ltd.,Financial Services,HOMEFIRST,EQ,INE481N01025
Indiamart Intermesh Ltd.,Consumer Services,INDIAMART,EQ,INE933S01016
Indian Energy Exchange Ltd.,Financial Services,IEX,EQ,INE022Q01020
Indraprastha Gas Ltd.,Oil Gas & Consumable Fuels,IGL,EQ,INE203G01027
JSW Dulux Ltd.,Consumer Durables,JSWDULUX,EQ,INE133A01011
Kajaria Ceramics Ltd.,Consumer Durables,KAJARIACER,EQ,INE217B01036
Karur Vysya Bank Ltd.,Financial Services,KARURVYSYA,EQ,INE036D01028
LT Foods Ltd.,Fast Moving Consumer Goods,LTFOODS,EQ,INE818H01020
Latent View Analytics Ltd.,Information Technology,LATENTVIEW,EQ,INE0I7C01011
Mahanagar Gas Ltd.,Oil Gas & Consumable Fuels,MGL,EQ,INE002S01010
Motherson Sumi Wiring India Ltd.,Automobile and Auto Components,MSUMI,EQ,INE0FS801015
NATCO Pharma Ltd.,Healthcare,NATCOPHARM,EQ,INE987B01026
Poly Medicure Ltd.,Healthcare,POLYMED,EQ,INE205C01021
RITES Ltd.,Construction,RITES,EQ,INE320J01015
Railtel Corporation Of India Ltd.,Telecommunication,RAILTEL,EQ,INE0DD101019
Saregama India Ltd,Media Entertainment & Publication,SAREGAMA,EQ,INE979A01025
Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,SONACOMS,EQ,INE073K01018
Sonata Software Ltd.,Information Technology,SONATSOFTW,EQ,INE269A01021
Sun TV Network Ltd.,Media Entertainment & Publication,SUNTV,EQ,INE424H01027
Techno Electric & Engineering Company Ltd.,Construction,TECHNOE,EQ,INE285K01026
Triveni Turbine Ltd.,Capital Goods,TRITURBINE,EQ,INE152M01016
ZF Commercial Vehicle Control Systems India Ltd.,Automobile and Auto Components,ZFCVINDIA,EQ,INE342J01019
Zensar Technolgies Ltd.,Information Technology,ZENSARTECH,EQ,INE520A01027
eClerx Services Ltd.,Services,ECLERX,EQ,INE738I01010
