Company Name,Industry,Symbol,Series,ISIN Code
ABB India Ltd.,Capital Goods,ABB,EQ,INE117A01022
Acutaas Chemicals Ltd.,Healthcare,ACUTAAS,EQ,INE00FF01025
Aditya Birla Sun Life AMC Ltd.,Financial Services,ABSLAMC,EQ,INE404A01024
Ajanta Pharmaceuticals Ltd.,Healthcare,AJANTPHARM,EQ,INE031B01049
Anand Rathi Wealth Ltd.,Financial Services,ANANDRATHI,EQ,INE463V01026
Apar Industries Ltd.,Capital Goods,APARINDS,EQ,INE372A01015
Avanti Feeds Ltd.,Fast Moving Consumer Goods,AVANTIFEED,EQ,INE871C01038
BSE Ltd.,Financial Services,BSE,EQ,INE118H01025
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010
Banco Products (India) Ltd.,Automobile and Auto Components,BANCOINDIA,EQ,INE213C01025
Bank of Maharashtra,Financial Services,MAHABANK,EQ,INE457A01014
Bharat Electronics Ltd.,Capital Goods,BEL,EQ,INE263A01024
Bosch Ltd.,Automobile and Auto Components,BOSCHLTD,EQ,INE323A01026
CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER,EQ,INE067A01029
Caplin Point Laboratories Ltd.,Healthcare,CAPLIPOINT,EQ,INE475E01026
Coal India Ltd.,Oil Gas & Consumable Fuels,COALINDIA,EQ,INE522F01014
Cummins India Ltd.,Capital Goods,CUMMINSIND,EQ,INE298A01020
Cupid Ltd.,Fast Moving Consumer Goods,CUPID,EQ,INE509F01029
Dr. Lal Path Labs Ltd.,Healthcare,LALPATHLAB,EQ,INE600L01024
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,EQ,INE066A01021
Fiem Industries Ltd,Automobile and Auto Components,FIEMIND,EQ,INE737H01014
Force Motors Ltd.,Automobile and Auto Components,FORCEMOT,EQ,INE451A01017
GE Vernova T&D India Ltd.,Capital Goods,GVT&D,EQ,INE200A01026
Gabriel India Ltd.,Automobile and Auto Components,GABRIEL,EQ,INE524A01029
Godawari Power & Ispat Ltd.,Capital Goods,GPIL,EQ,INE177H01039
Gokul Agro Resources Ltd.,Fast Moving Consumer Goods,GOKULAGRO,EQ,INE314T01033
HBL Engineering Ltd.,Capital Goods,HBLENGINE,EQ,INE292B01021
HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC,EQ,INE127D01025
Himadri Speciality Chemical Ltd.,Chemicals,HSCL,EQ,INE019C01026
Hindustan Copper Ltd.,Metals & Mining,HINDCOPPER,EQ,INE531E01026
Hitachi Energy India Ltd.,Capital Goods,POWERINDIA,EQ,INE07Y701011
Indian Metals & Ferro Alloys Ltd.,Metals & Mining,IMFA,EQ,INE919H01018
Jamna Auto Industries Ltd.,Automobile and Auto Components,JAMNAAUTO,EQ,INE039C01032
KEI Industries Ltd.,Capital Goods,KEI,EQ,INE878B01027
Marico Ltd.,Fast Moving Consumer Goods,MARICO,EQ,INE196A01026
Multi Commodity Exchange of India Ltd.,Financial Services,MCX,EQ,INE745G01043
NATCO Pharma Ltd.,Healthcare,NATCOPHARM,EQ,INE987B01026
NMDC Ltd.,Metals & Mining,NMDC,EQ,INE584A01023
National Aluminium Co. Ltd.,Metals & Mining,NATIONALUM,EQ,INE139A01034
Nippon Life India Asset Management Ltd.,Financial Services,NAM-INDIA,EQ,INE298J01013
Oracle Financial Services Software Ltd.,Information Technology,OFSS,EQ,INE881D01027
Polycab India Ltd.,Capital Goods,POLYCAB,EQ,INE455K01017
SPR Auto Technologies Ltd.,Automobile and Auto Components,SHRIPISTON,EQ,INE526E01018
Schneider Electric Infrastructure Ltd.,Capital Goods,SCHNEIDER,EQ,INE839M01018
Solar Industries India Ltd.,Chemicals,SOLARINDS,EQ,INE343H01029
Supriya Lifescience Ltd.,Healthcare,SUPRIYA,EQ,INE07RO01027
TD Power Systems Ltd.,Capital Goods,TDPOWERSYS,EQ,INE419M01027
Tips Music Ltd.,Media Entertainment & Publication,TIPSMUSIC,EQ,INE716B01029
Torrent Pharmaceuticals Ltd.,Healthcare,TORNTPHARM,EQ,INE685A01028
Triveni Turbine Ltd.,Capital Goods,TRITURBINE,EQ,INE152M01016
