Company Name,Industry,Symbol,Series,ISIN Code
AU Small Finance Bank Ltd.,Financial Services,AUBANK,EQ,INE949L01017
Acutaas Chemicals Ltd.,Healthcare,ACUTAAS,EQ,INE00FF01025
Adani Energy Solutions Ltd.,Power,ADANIENSOL,EQ,INE931S01010
Adani Power Ltd.,Power,ADANIPOWER,EQ,INE814H01029
Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL,EQ,INE674K01013
Amber Enterprises India Ltd.,Consumer Durables,AMBER,EQ,INE371P01015
Anand Rathi Wealth Ltd.,Financial Services,ANANDRATHI,EQ,INE463V01026
Apar Industries Ltd.,Capital Goods,APARINDS,EQ,INE372A01015
Ashok Leyland Ltd.,Capital Goods,ASHOKLEY,EQ,INE208A01029
Ather Energy Ltd.,Automobile and Auto Components,ATHERENERG,EQ,INE0LEZ01016
BSE Ltd.,Financial Services,BSE,EQ,INE118H01025
Bank of India,Financial Services,BANKINDIA,EQ,INE084A01016
Bharat Forge Ltd.,Automobile and Auto Components,BHARATFORG,EQ,INE465A01025
Bharat Heavy Electricals Ltd.,Capital Goods,BHEL,EQ,INE257A01026
Canara Bank,Financial Services,CANBK,EQ,INE476A01022
Cummins India Ltd.,Capital Goods,CUMMINSIND,EQ,INE298A01020
Delhivery Ltd.,Services,DELHIVERY,EQ,INE148O01028
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,EQ,INE066A01021
FSN E-Commerce Ventures Ltd.,Consumer Services,NYKAA,EQ,INE388Y01029
Federal Bank Ltd.,Financial Services,FEDERALBNK,EQ,INE171A01029
Fortis Healthcare Ltd.,Healthcare,FORTIS,EQ,INE061F01013
GE Vernova T&D India Ltd.,Capital Goods,GVT&D,EQ,INE200A01026
Glenmark Pharmaceuticals Ltd.,Healthcare,GLENMARK,EQ,INE935A01035
HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC,EQ,INE127D01025
Hindalco Industries Ltd.,Metals & Mining,HINDALCO,EQ,INE038A01020
Hindustan Copper Ltd.,Metals & Mining,HINDCOPPER,EQ,INE531E01026
Hitachi Energy India Ltd.,Capital Goods,POWERINDIA,EQ,INE07Y701011
IIFL Finance Ltd.,Financial Services,IIFL,EQ,INE530B01024
Indian Bank,Financial Services,INDIANB,EQ,INE562A01011
Karur Vysya Bank Ltd.,Financial Services,KARURVYSYA,EQ,INE036D01028
L&T Finance Ltd.,Financial Services,LTF,EQ,INE498L01015
Laurus Labs Ltd.,Healthcare,LAURUSLABS,EQ,INE947Q01028
Manappuram Finance Ltd.,Financial Services,MANAPPURAM,EQ,INE522D01027
Max Financial Services Ltd.,Financial Services,MFSL,EQ,INE180A01020
Multi Commodity Exchange of India Ltd.,Financial Services,MCX,EQ,INE745G01043
Muthoot Finance Ltd.,Financial Services,MUTHOOTFIN,EQ,INE414G01012
National Aluminium Co. Ltd.,Metals & Mining,NATIONALUM,EQ,INE139A01034
Navin Fluorine International Ltd.,Chemicals,NAVINFLUOR,EQ,INE048G01026
One 97 Communications Ltd.,Financial Services,PAYTM,EQ,INE982J01020
Polycab India Ltd.,Capital Goods,POLYCAB,EQ,INE455K01017
RBL Bank Ltd.,Financial Services,RBLBANK,EQ,INE976G01028
Radico Khaitan Ltd,Fast Moving Consumer Goods,RADICO,EQ,INE944F01028
Shriram Finance Ltd.,Financial Services,SHRIRAMFIN,EQ,INE721A01047
Solar Industries India Ltd.,Chemicals,SOLARINDS,EQ,INE343H01029
State Bank of India,Financial Services,SBIN,EQ,INE062A01020
Steel Authority of India Ltd.,Metals & Mining,SAIL,EQ,INE114A01011
TVS Motor Company Ltd.,Automobile and Auto Components,TVSMOTOR,EQ,INE494B01023
Union Bank of India,Financial Services,UNIONBANK,EQ,INE692A01016
Vedanta Ltd.,Metals & Mining,VEDL,EQ,INE205A01025
Vodafone Idea Ltd.,Telecommunication,IDEA,EQ,INE669E01016
