Company Name,Industry,Symbol,Series,ISIN Code
Axis Bank Ltd.,Financial Services,AXISBANK,EQ,INE238A01034
Bajaj Finance Ltd.,Financial Services,BAJFINANCE,EQ,INE296A01032
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,EQ,INE397D01024
HDFC Bank Ltd.,Financial Services,HDFCBANK,EQ,INE040A01034
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR,EQ,INE030A01027
ICICI Bank Ltd.,Financial Services,ICICIBANK,EQ,INE090A01021
ITC Ltd.,Fast Moving Consumer Goods,ITC,EQ,INE154A01025
Infosys Ltd.,Information Technology,INFY,EQ,INE009A01021
Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK,EQ,INE237A01036
Larsen & Toubro Ltd.,Construction,LT,EQ,INE018A01030
Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M,EQ,INE101A01026
Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI,EQ,INE585B01010
Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE,EQ,INE002A01018
State Bank of India,Financial Services,SBIN,EQ,INE062A01020
Tata Consultancy Services Ltd.,Information Technology,TCS,EQ,INE467B01029
