Company Name,Industry,Symbol,Series,ISIN Code
Adani Energy Solutions Ltd.,Power,ADANIENSOL,EQ,INE931S01010
Adani Enterprises Ltd.,Metals & Mining,ADANIENT,EQ,INE423A01024
Adani Green Energy Ltd.,Power,ADANIGREEN,EQ,INE364U01010
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,EQ,INE742F01042
Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL,EQ,INE674K01013
Amber Enterprises India Ltd.,Consumer Durables,AMBER,EQ,INE371P01015
Angel One Ltd.,Financial Services,ANGELONE,EQ,INE732I01021
Apar Industries Ltd.,Capital Goods,APARINDS,EQ,INE372A01015
Ashok Leyland Ltd.,Capital Goods,ASHOKLEY,EQ,INE208A01029
BSE Ltd.,Financial Services,BSE,EQ,INE118H01025
Bandhan Bank Ltd.,Financial Services,BANDHANBNK,EQ,INE545U01014
Bank of India,Financial Services,BANKINDIA,EQ,INE084A01016
Bharat Heavy Electricals Ltd.,Capital Goods,BHEL,EQ,INE257A01026
Central Depository Services (India) Ltd.,Financial Services,CDSL,EQ,INE736A01011
Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN,EQ,INE121A01024
DLF Ltd.,Realty,DLF,EQ,INE271C01023
Dixon Technologies (India) Ltd.,Consumer Durables,DIXON,EQ,INE935N01020
Godrej Properties Ltd.,Realty,GODREJPROP,EQ,INE484J01027
HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC,EQ,INE127D01025
Hindustan Copper Ltd.,Metals & Mining,HINDCOPPER,EQ,INE531E01026
Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO,EQ,INE094A01015
Housing & Urban Development Corporation Ltd.,Financial Services,HUDCO,EQ,INE031A01017
IIFL Finance Ltd.,Financial Services,IIFL,EQ,INE530B01024
Indian Railway Finance Corporation Ltd.,Financial Services,IRFC,EQ,INE053F01010
Indian Renewable Energy Development Agency Ltd.,Financial Services,IREDA,EQ,INE202E01016
InterGlobe Aviation Ltd.,Services,INDIGO,EQ,INE646L01027
Jio Financial Services Ltd.,Financial Services,JIOFIN,EQ,INE758E01017
Kalyan Jewellers India Ltd.,Consumer Durables,KALYANKJIL,EQ,INE303R01014
Kaynes Technology India Ltd.,Capital Goods,KAYNES,EQ,INE918Z01012
L&T Finance Ltd.,Financial Services,LTF,EQ,INE498L01015
Lodha Developers Ltd.,Realty,LODHA,EQ,INE670K01029
Mahindra & Mahindra Financial Services Ltd.,Financial Services,M&MFIN,EQ,INE774D01024
Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M,EQ,INE101A01026
Mazagoan Dock Shipbuilders Ltd.,Capital Goods,MAZDOCK,EQ,INE249Z01020
Motilal Oswal Financial Services Ltd.,Financial Services,MOTILALOFS,EQ,INE338I01027
Multi Commodity Exchange of India Ltd.,Financial Services,MCX,EQ,INE745G01043
NBCC (India) Ltd.,Construction,NBCC,EQ,INE095N01031
Nippon Life India Asset Management Ltd.,Financial Services,NAM-INDIA,EQ,INE298J01013
One 97 Communications Ltd.,Financial Services,PAYTM,EQ,INE982J01020
PNB Housing Finance Ltd.,Financial Services,PNBHOUSING,EQ,INE572E01012
Power Finance Corporation Ltd.,Financial Services,PFC,EQ,INE134E01011
Prestige Estates Projects Ltd.,Realty,PRESTIGE,EQ,INE811K01011
REC Ltd.,Financial Services,RECLTD,EQ,INE020B01018
Rail Vikas Nigam Ltd.,Construction,RVNL,EQ,INE415G01027
Samvardhana Motherson International Ltd.,Automobile and Auto Components,MOTHERSON,EQ,INE775A01035
Shriram Finance Ltd.,Financial Services,SHRIRAMFIN,EQ,INE721A01047
Tata Steel Ltd.,Metals & Mining,TATASTEEL,EQ,INE081A01020
Ujjivan Small Finance Bank Ltd.,Financial Services,UJJIVANSFB,EQ,INE551W01018
Union Bank of India,Financial Services,UNIONBANK,EQ,INE692A01016
Vodafone Idea Ltd.,Telecommunication,IDEA,EQ,INE669E01016
