Company Name,Industry,Symbol,Series,ISIN Code
Apollo Hospitals Enterprise Ltd.,Healthcare,APOLLOHOSP,EQ,INE437A01024
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,INE021A01026
Avenue Supermarts Ltd.,Consumer Services,DMART,EQ,INE192R01011
Axis Bank Ltd.,Financial Services,AXISBANK,EQ,INE238A01034
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV,EQ,INE918I01026
Bharti Airtel Ltd.,Telecommunication,BHARTIARTL,EQ,INE397D01024
Britannia Industries Ltd.,Fast Moving Consumer Goods,BRITANNIA,EQ,INE216A01030
Cipla Ltd.,Healthcare,CIPLA,EQ,INE059A01026
Colgate Palmolive (India) Ltd.,Fast Moving Consumer Goods,COLPAL,EQ,INE259A01022
Dabur India Ltd.,Fast Moving Consumer Goods,DABUR,EQ,INE016A01026
Divi's Laboratories Ltd.,Healthcare,DIVISLAB,EQ,INE361B01024
Dr. Reddy's Laboratories Ltd.,Healthcare,DRREDDY,EQ,INE089A01031
Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP,EQ,INE102D01028
Grasim Industries Ltd.,Construction Materials,GRASIM,EQ,INE047A01021
HCL Technologies Ltd.,Information Technology,HCLTECH,EQ,INE860A01027
HDFC Bank Ltd.,Financial Services,HDFCBANK,EQ,INE040A01034
HDFC Life Insurance Company Ltd.,Financial Services,HDFCLIFE,EQ,INE795G01014
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO,EQ,INE158A01026
Hindustan Unilever Ltd.,Fast Moving Consumer Goods,HINDUNILVR,EQ,INE030A01027
ICICI Bank Ltd.,Financial Services,ICICIBANK,EQ,INE090A01021
ICICI Lombard General Insurance Company Ltd.,Financial Services,ICICIGI,EQ,INE765G01017
ITC Ltd.,Fast Moving Consumer Goods,ITC,EQ,INE154A01025
Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,IRCTC,EQ,INE335Y01020
Infosys Ltd.,Information Technology,INFY,EQ,INE009A01021
JSW Steel Ltd.,Metals & Mining,JSWSTEEL,EQ,INE019A01038
Kotak Mahindra Bank Ltd.,Financial Services,KOTAKBANK,EQ,INE237A01036
Larsen & Toubro Ltd.,Construction,LT,EQ,INE018A01030
Lupin Ltd.,Healthcare,LUPIN,EQ,INE326A01037
MRF Ltd.,Automobile and Auto Components,MRF,EQ,INE883A01011
Marico Ltd.,Fast Moving Consumer Goods,MARICO,EQ,INE196A01026
Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI,EQ,INE585B01010
NTPC Ltd.,Power,NTPC,EQ,INE733E01010
Nestle India Ltd.,Fast Moving Consumer Goods,NESTLEIND,EQ,INE239A01024
Page Industries Ltd.,Textiles,PAGEIND,EQ,INE761H01022
Pidilite Industries Ltd.,Chemicals,PIDILITIND,EQ,INE318A01026
Power Grid Corporation of India Ltd.,Power,POWERGRID,EQ,INE752E01010
Reliance Industries Ltd.,Oil Gas & Consumable Fuels,RELIANCE,EQ,INE002A01018
SBI Cards and Payment Services Ltd.,Financial Services,SBICARD,EQ,INE018E01016
SBI Life Insurance Company Ltd.,Financial Services,SBILIFE,EQ,INE123W01016
State Bank of India,Financial Services,SBIN,EQ,INE062A01020
Sun Pharmaceutical Industries Ltd.,Healthcare,SUNPHARMA,EQ,INE044A01036
Tata Consultancy Services Ltd.,Information Technology,TCS,EQ,INE467B01029
Tata Consumer Products Ltd.,Fast Moving Consumer Goods,TATACONSUM,EQ,INE192A01025
Tech Mahindra Ltd.,Information Technology,TECHM,EQ,INE669C01036
Titan Company Ltd.,Consumer Durables,TITAN,EQ,INE280A01028
Torrent Pharmaceuticals Ltd.,Healthcare,TORNTPHARM,EQ,INE685A01028
UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO,EQ,INE481G01011
United Spirits Ltd.,Fast Moving Consumer Goods,UNITDSPR,EQ,INE854D01024
Wipro Ltd.,Information Technology,WIPRO,EQ,INE075A01022
