Rank,Sector_Name,Symbol,Market_Cap_Cr
,Nifty India Corporate Group Index - Aditya Birla Group,,
,Nifty Capital Markets,NIFTY CAPITAL MKT,
,Nifty Commodities,NIFTY COMMODITIES,
,Nifty Conglomerate 50,NIFTYCONGLOMERATE,
,Nifty Core Housing,NIFTY CORE HOUSING,
,Nifty CPSE,NIFTY CPSE,
,Nifty Energy,NIFTY ENERGY,
,Nifty EV & New Age Automotive,NIFTY EV,
,Nifty Housing,NIFTY HOUSING,
,Nifty100 ESG,NIFTY100 ESG,
,Nifty100 Enhanced ESG,NIFTY100 ENHANCED ESG,
,Nifty100 ESG Sector Leaders,NIFTY100ESGSECLDR,
,Nifty India Consumption,NIFTY CONSUMPTION,
,Nifty India Defence,NIFTY IND DEFENCE,
,Nifty India Defence Equal Weight,,
,Nifty India Digital,NIFTY IND DIGITAL,
,Nifty India Infrastructure & Logistics,NIFTY INFRALOG,
,Nifty India Internet,NIFTY INTERNET,
,Nifty India Manufacturing,NIFTY INDIA MFG,
,Nifty India New Age Consumption,NIFTY NEW CONSUMP,
,Nifty India Railways PSU,NIFTY RAILWAYS PSU,
,Nifty India Tourism,NIFTY IND TOURISM,
,Nifty India Select 5 Corporate Groups (MAATR),NIFTY CORP MAATR,
,Nifty Infrastructure,NIFTY INFRA,
,Nifty India Corporate Group Index - Mahindra Group,,
,Nifty IPO,NIFTY IPO,
,Nifty Midcap Liquid 15,NIFTY MID LIQ 15,
,Nifty MidSmall India Consumption,NIFTY MS IND CONS,
,Nifty MNC,NIFTY MNC,
,Nifty Mobility,NIFTY MOBILITY,
,Nifty PSE,NIFTY PSE,
,Nifty REITs & InvITs,,
,Nifty REITs & InvITs 90:10,,
,Nifty Rural,NIFTY RURAL,
,Nifty Non-Cyclical Consumer,NIFTY NONCYC CONS,
,Nifty Services Sector,NIFTY SERV SECTOR,
,Nifty Shariah 25,NIFTY SHARIAH 25,
,Nifty Small Finance Banks & Microfinance Institutions,,
,Nifty Sugar & Ethanol,,
,Nifty India Corporate Group Index - Tata Group,,
,Nifty India Corporate Group Index - Tata Group 25% Cap,NIFTY TATA 25 CAP,
,Nifty Transportation & Logistics,NIFTY TRANS LOGIS,
,Nifty100 Liquid 15,NIFTY100 LIQ 15,
,Nifty50 Shariah,NIFTY50 SHARIAH,
,Nifty500 Shariah,NIFTY500 SHARIAH,
,Nifty500 Multicap India Manufacturing 50:30:20,NIFTY MULTI MFG,
,Nifty500 Multicap Infrastructure 50:30:20,NIFTY MULTI INFRA,
,Nifty500 Ahimsa,,
,Nifty SME Emerge,NIFTY SME EMERGE,
,Nifty Waves,NIFTY WAVES,
