Company Name,Industry,Symbol,Series,ISIN Code
AU Small Finance Bank Ltd.,Financial Services,AUBANK,EQ,INE949L01017
Ashok Leyland Ltd.,Capital Goods,ASHOKLEY,EQ,INE208A01029
BSE Ltd.,Financial Services,BSE,EQ,INE118H01025
Coforge Ltd.,Information Technology,COFORGE,EQ,INE591G01025
Dixon Technologies (India) Ltd.,Consumer Durables,DIXON,EQ,INE935N01020
Fortis Healthcare Ltd.,Healthcare,FORTIS,EQ,INE061F01013
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO,EQ,INE158A01026
Indus Towers Ltd.,Telecommunication,INDUSTOWER,EQ,INE121J01017
IndusInd Bank Ltd.,Financial Services,INDUSINDBK,EQ,INE095A01012
Multi Commodity Exchange of India Ltd.,Financial Services,MCX,EQ,INE745G01043
One 97 Communications Ltd.,Financial Services,PAYTM,EQ,INE982J01020
Persistent Systems Ltd.,Information Technology,PERSISTENT,EQ,INE262H01021
Suzlon Energy Ltd.,Capital Goods,SUZLON,EQ,INE040H01021
Swiggy Ltd.,Consumer Services,SWIGGY,EQ,INE00H001014
Yes Bank Ltd.,Financial Services,YESBANK,EQ,INE528G01035
