Company Name,Industry,Symbol,Series,ISIN Code
360 ONE WAM Ltd.,Financial Services,360ONE,EQ,INE466L01038
Aditya Birla Sun Life AMC Ltd.,Financial Services,ABSLAMC,EQ,INE404A01024
Anand Rathi Wealth Ltd.,Financial Services,ANANDRATHI,EQ,INE463V01026
Angel One Ltd.,Financial Services,ANGELONE,EQ,INE732I01021
BSE Ltd.,Financial Services,BSE,EQ,INE118H01025
Billionbrains Garage Ventures Ltd.,Financial Services,GROWW,EQ,INE0HOQ01053
Central Depository Services (India) Ltd.,Financial Services,CDSL,EQ,INE736A01011
Computer Age Management Services Ltd.,Financial Services,CAMS,EQ,INE596I01020
HDFC Asset Management Company Ltd.,Financial Services,HDFCAMC,EQ,INE127D01025
ICICI Prudential Asset Management Company Ltd.,Financial Services,ICICIAMC,EQ,INE346A01027
Indian Energy Exchange Ltd.,Financial Services,IEX,EQ,INE022Q01020
Kfin Technologies Ltd.,Financial Services,KFINTECH,EQ,INE138Y01010
Motilal Oswal Financial Services Ltd.,Financial Services,MOTILALOFS,EQ,INE338I01027
Multi Commodity Exchange of India Ltd.,Financial Services,MCX,EQ,INE745G01043
Nippon Life India Asset Management Ltd.,Financial Services,NAM-INDIA,EQ,INE298J01013
Nuvama Wealth Management Ltd.,Financial Services,NUVAMA,EQ,INE531F01023
UTI Asset Management Company Ltd.,Financial Services,UTIAMC,EQ,INE094J01016
