Company Name,Industry,Symbol,Series,ISIN Code
Adani Enterprises Ltd.,Metals & Mining,ADANIENT,EQ,INE423A01024
Adani Green Energy Ltd.,Power,ADANIGREEN,EQ,INE364U01010
Adani Ports and Special Economic Zone Ltd.,Services,ADANIPORTS,EQ,INE742F01042
Adani Power Ltd.,Power,ADANIPOWER,EQ,INE814H01029
Aditya Birla Capital Ltd.,Financial Services,ABCAPITAL,EQ,INE674K01013
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,EQ,INE079A01024
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010
Bajaj Finance Ltd.,Financial Services,BAJFINANCE,EQ,INE296A01032
Bajaj Finserv Ltd.,Financial Services,BAJAJFINSV,EQ,INE918I01026
Bajaj Holdings & Investment Ltd.,Financial Services,BAJAJHLDNG,EQ,INE118A01012
Bajaj Housing Finance Ltd.,Financial Services,BAJAJHFL,EQ,INE377Y01014
CESC Ltd.,Power,CESC,EQ,INE486A01021
CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER,EQ,INE067A01029
Ceat Ltd.,Automobile and Auto Components,CEATLTD,EQ,INE482A01020
Cholamandalam Financial Holdings Ltd.,Financial Services,CHOLAHLDNG,EQ,INE149A01033
Cholamandalam Investment and Finance Company Ltd.,Financial Services,CHOLAFIN,EQ,INE121A01024
Coromandel International Ltd.,Chemicals,COROMANDEL,EQ,INE169A01031
Firstsource Solutions Ltd.,Services,FSL,EQ,INE684F01012
Godrej Consumer Products Ltd.,Fast Moving Consumer Goods,GODREJCP,EQ,INE102D01028
Godrej Industries Ltd.,Diversified,GODREJIND,EQ,INE233A01035
Godrej Properties Ltd.,Realty,GODREJPROP,EQ,INE484J01027
Grasim Industries Ltd.,Construction Materials,GRASIM,EQ,INE047A01021
Hindalco Industries Ltd.,Metals & Mining,HINDALCO,EQ,INE038A01020
JSW Energy Ltd.,Power,JSWENERGY,EQ,INE121E01018
JSW Infrastructure Ltd.,Services,JSWINFRA,EQ,INE880J01026
JSW Steel Ltd.,Metals & Mining,JSWSTEEL,EQ,INE019A01038
Jindal Stainless Ltd.,Metals & Mining,JSL,EQ,INE220G01021
Jindal Steel Ltd.,Metals & Mining,JINDALSTEL,EQ,INE749A01030
Jubilant Foodworks Ltd.,Consumer Services,JUBLFOOD,EQ,INE797F01020
Jubilant Ingrevia Ltd.,Chemicals,JUBLINGREA,EQ,INE0BY001018
Jubilant Pharmova Ltd.,Healthcare,JUBLPHARMA,EQ,INE700A01033
Kec International Ltd.,Construction,KEC,EQ,INE389H01022
L&T Finance Ltd.,Financial Services,LTF,EQ,INE498L01015
L&T Technology Services Ltd.,Information Technology,LTTS,EQ,INE010V01017
LTM Ltd.,Information Technology,LTM,EQ,INE214T01019
Larsen & Toubro Ltd.,Construction,LT,EQ,INE018A01030
Mahindra & Mahindra Financial Services Ltd.,Financial Services,M&MFIN,EQ,INE774D01024
Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M,EQ,INE101A01026
PCBL Chemical Ltd.,Chemicals,PCBL,EQ,INE602A01031
Saregama India Ltd,Media Entertainment & Publication,SAREGAMA,EQ,INE979A01025
Tata Consultancy Services Ltd.,Information Technology,TCS,EQ,INE467B01029
Tata Motors Ltd.,Capital Goods,TMCV,EQ,INE1TAE01010
Tata Steel Ltd.,Metals & Mining,TATASTEEL,EQ,INE081A01020
Tech Mahindra Ltd.,Information Technology,TECHM,EQ,INE669C01036
Titan Company Ltd.,Consumer Durables,TITAN,EQ,INE280A01028
Trent Ltd.,Consumer Services,TRENT,EQ,INE849A01020
Tube Investments of India Ltd.,Automobile and Auto Components,TIINDIA,EQ,INE974X01010
UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO,EQ,INE481G01011
Vodafone Idea Ltd.,Telecommunication,IDEA,EQ,INE669E01016
Zensar Technolgies Ltd.,Information Technology,ZENSARTECH,EQ,INE520A01027
