Company Name,Industry,Symbol,Series,ISIN Code
ACC Ltd.,Construction Materials,ACC,EQ,INE012A01025
Amber Enterprises India Ltd.,Consumer Durables,AMBER,EQ,INE371P01015
Ambuja Cements Ltd.,Construction Materials,AMBUJACEM,EQ,INE079A01024
Asian Paints Ltd.,Consumer Durables,ASIANPAINT,EQ,INE021A01026
Bajaj Housing Finance Ltd.,Financial Services,BAJAJHFL,EQ,INE377Y01014
Berger Paints India Ltd.,Consumer Durables,BERGEPAINT,EQ,INE463A01038
Blue Star Ltd.,Consumer Durables,BLUESTARCO,EQ,INE472A01039
Brigade Enterprises Ltd.,Realty,BRIGADE,EQ,INE791I01019
Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,CROMPTON,EQ,INE299U01018
DLF Ltd.,Realty,DLF,EQ,INE271C01023
Dalmia Bharat Ltd.,Construction Materials,DALBHARAT,EQ,INE00R701025
Dixon Technologies (India) Ltd.,Consumer Durables,DIXON,EQ,INE935N01020
Godrej Properties Ltd.,Realty,GODREJPROP,EQ,INE484J01027
Grasim Industries Ltd.,Construction Materials,GRASIM,EQ,INE047A01021
Havells India Ltd.,Consumer Durables,HAVELLS,EQ,INE176B01034
J.K. Cement Ltd.,Construction Materials,JKCEMENT,EQ,INE823G01014
KEI Industries Ltd.,Capital Goods,KEI,EQ,INE878B01027
Kajaria Ceramics Ltd.,Consumer Durables,KAJARIACER,EQ,INE217B01036
LIC Housing Finance Ltd.,Financial Services,LICHSGFIN,EQ,INE115A01026
Lodha Developers Ltd.,Realty,LODHA,EQ,INE670K01029
Oberoi Realty Ltd.,Realty,OBEROIRLTY,EQ,INE093I01010
PG Electroplast Ltd.,Consumer Durables,PGEL,EQ,INE457L01029
PNB Housing Finance Ltd.,Financial Services,PNBHOUSING,EQ,INE572E01012
Phoenix Mills Ltd.,Realty,PHOENIXLTD,EQ,INE211B01039
Polycab India Ltd.,Capital Goods,POLYCAB,EQ,INE455K01017
Prestige Estates Projects Ltd.,Realty,PRESTIGE,EQ,INE811K01011
Shree Cement Ltd.,Construction Materials,SHREECEM,EQ,INE070A01015
The Ramco Cements Ltd.,Construction Materials,RAMCOCEM,EQ,INE331A01037
UltraTech Cement Ltd.,Construction Materials,ULTRACEMCO,EQ,INE481G01011
Voltas Ltd.,Consumer Durables,VOLTAS,EQ,INE226A01021
