Company Name,Industry,Symbol,Series,ISIN Code
Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,ARE&M,EQ,INE885A01032
Ashok Leyland Ltd.,Capital Goods,ASHOKLEY,EQ,INE208A01029
Bajaj Auto Ltd.,Automobile and Auto Components,BAJAJ-AUTO,EQ,INE917I01010
Bharat Forge Ltd.,Automobile and Auto Components,BHARATFORG,EQ,INE465A01025
Bosch Ltd.,Automobile and Auto Components,BOSCHLTD,EQ,INE323A01026
CG Power and Industrial Solutions Ltd.,Capital Goods,CGPOWER,EQ,INE067A01029
Eicher Motors Ltd.,Automobile and Auto Components,EICHERMOT,EQ,INE066A01021
Exide Industries Ltd.,Automobile and Auto Components,EXIDEIND,EQ,INE302A01020
Gujarat Fluorochemicals Ltd.,Chemicals,FLUOROCHEM,EQ,INE09N301011
Hero MotoCorp Ltd.,Automobile and Auto Components,HEROMOTOCO,EQ,INE158A01026
Himadri Speciality Chemical Ltd.,Chemicals,HSCL,EQ,INE019C01026
JBM Auto Ltd.,Automobile and Auto Components,JBMA,EQ,INE927D01044
Jupiter Wagons Ltd.,Capital Goods,JWL,EQ,INE209L01016
KPIT Technologies Ltd.,Information Technology,KPITTECH,EQ,INE04I401011
L&T Technology Services Ltd.,Information Technology,LTTS,EQ,INE010V01017
Mahindra & Mahindra Ltd.,Automobile and Auto Components,M&M,EQ,INE101A01026
Maruti Suzuki India Ltd.,Automobile and Auto Components,MARUTI,EQ,INE585B01010
Minda Corporation Ltd.,Automobile and Auto Components,MINDACORP,EQ,INE842C01021
Motherson Sumi Wiring India Ltd.,Automobile and Auto Components,MSUMI,EQ,INE0FS801015
Olectra Greentech Ltd.,Automobile and Auto Components,OLECTRA,EQ,INE260D01016
RattanIndia Enterprises Ltd.,Consumer Services,RTNINDIA,EQ,INE834M01019
Reliance Industries Ltd.,"Oil, Gas & Consumable Fuels",RELIANCE,EQ,INE002A01018
Samvardhana Motherson International Ltd.,Automobile and Auto Components,MOTHERSON,EQ,INE775A01035
Schaeffler India Ltd.,Automobile and Auto Components,SCHAEFFLER,EQ,INE513A01022
Sona BLW Precision Forgings Ltd.,Automobile and Auto Components,SONACOMS,EQ,INE073K01018
TVS Motor Company Ltd.,Automobile and Auto Components,TVSMOTOR,EQ,INE494B01023
Tata Chemicals Ltd.,Chemicals,TATACHEM,EQ,INE092A01019
Tata Elxsi Ltd.,Information Technology,TATAELXSI,EQ,INE670A01012
Tata Motors Ltd.,Automobile and Auto Components,TATAMOTORS,EQ,INE155A01022
Tata Technologies Ltd.,Information Technology,TATATECH,EQ,INE142M01025
Tube Investments of India Ltd.,Automobile and Auto Components,TIINDIA,EQ,INE974X01010
UNO Minda Ltd.,Automobile and Auto Components,UNOMINDA,EQ,INE405E01023
Varroc Engineering Ltd.,Automobile and Auto Components,VARROC,EQ,INE665L01035
