Company Name,Industry,Symbol,Series,ISIN Code
BEML Ltd.,Capital Goods,BEML,EQ,INE258A01024
Bharat Electronics Ltd.,Capital Goods,BEL,EQ,INE263A01024
Bharat Heavy Electricals Ltd.,Capital Goods,BHEL,EQ,INE257A01026
Bharat Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,BPCL,EQ,INE029A01011
Container Corporation of India Ltd.,Services,CONCOR,EQ,INE111A01025
Hindustan Petroleum Corporation Ltd.,Oil Gas & Consumable Fuels,HINDPETRO,EQ,INE094A01015
IRCON International Ltd.,Construction,IRCON,EQ,INE962Y01021
ITI Ltd.,Telecommunication,ITI,EQ,INE248A01017
Indian Railway Catering And Tourism Corporation Ltd.,Consumer Services,IRCTC,EQ,INE335Y01020
Indian Railway Finance Corporation Ltd.,Financial Services,IRFC,EQ,INE053F01010
Mangalore Refinery & Petrochemicals Ltd.,Oil Gas & Consumable Fuels,MRPL,EQ,INE103A01014
NTPC Ltd.,Power,NTPC,EQ,INE733E01010
Oil & Natural Gas Corporation Ltd.,Oil Gas & Consumable Fuels,ONGC,EQ,INE213A01029
RITES Ltd.,Construction,RITES,EQ,INE320J01015
Rail Vikas Nigam Ltd.,Construction,RVNL,EQ,INE415G01027
Railtel Corporation Of India Ltd.,Telecommunication,RAILTEL,EQ,INE0DD101019
Steel Authority of India Ltd.,Metals & Mining,SAIL,EQ,INE114A01011
